"event.name.alliancequestcastle","صراع الفرسان"
"event.name.alliancequestmoths","ليل العثة"
"event.name.alliancequestmusketeers","الشجاع والجميلة"
"event.name.chess","حدث الشطرنج"
"event.name.covenantquest1","مهمة المعاهدة"
"event.name.covenantquest2","مهمة المعاهدة"
"event.name.guestip1","حدث الضيوف الخاصين"
"event.name.recurringbeowulf","تحدي بيوولف"
"event.name.recurringcircus","سيرك ستارفول"
"event.name.recurringfestival","مهرجان التحدي 1"
"event.name.recurringfestivalb","مهرجان التحدي 2"
"event.name.recurringgargoyles","ملاذ المزاريب"
"event.name.recurringgargoyles2","عودة إلى الملاذ"
"event.name.recurringmasquerade","كارنفال الأسياد"
"event.name.recurringmightypets","الحيوانات الأليفة القوية"
"event.name.recurringopera","أسرار الأوبرا"
"event.name.recurringslayers","قتلة الأشباح الشرسة"
"event.name.recurringvillains","عصابة الأشرار"
"event.name.towermagic","برج السحر"
"event.name.towerninja","برج النينجا"
"event.name.towerowl","برج البوم"
"event.name.towerstyx","برج ستيكس"
"event.name.treasurequestalphaaether","مهمة الكنز"
"event.name.treasurequestascension","مهمة الكنز"
"event.name.treasurequestcovenantsuperelemental","مهمة الكنز"
"event.name.treasurequestgoblinastral","مهمة الكنز"
"event.name.treasurequestlgtroop","مهمة الكنز"
"event.name.treasurequesttome","مهمة الكنز"
"event.name.treasurequesttoweralliance","مهمة الكنز"
"event.name.treasurequestutility","مهمة الكنز"
"event.name.treasurequestxpblue","مهمة الكنز"
"event.name.treasurequestxpgreen","مهمة الكنز"
"event.name.treasurequestxppurple","مهمة الكنز"
"event.name.treasurequestxpred","مهمة الكنز"
"event.name.treasurequestxpyellow","مهمة الكنز"
