"event.name.alliancequestcastle","骑士冲击"
"event.name.alliancequestmoths","飞蛾之夜"
"event.name.alliancequestmusketeers","勇者与美人"
"event.name.covenantquest1","盟约任务"
"event.name.covenantquest2","盟约任务"
"event.name.guestip1","特邀活动"
"event.name.recurringbeowulf","贝奥武夫挑战"
"event.name.recurringcircus","星落马戏团"
"event.name.recurringfarmland","英勇植物"
"event.name.recurringfestival","挑战节 1"
"event.name.recurringfestivalb","挑战节 2"
"event.name.recurringgargoyles","石像鬼圣所"
"event.name.recurringgargoyles2","重返圣所"
"event.name.recurringmasquerade","众神狂欢节"
"event.name.recurringmightypets","超能萌宠"
"event.name.recurringopera","歌剧之谜"
"event.name.recurringslayers","坠落暗影杀手"
"event.name.recurringvillains","恶棍联盟"
"event.name.temple","风泽神殿"
"event.name.temple_event","风泽神殿"
"event.name.towermagic","魔法高塔"
"event.name.towerninja","忍者高塔"
"event.name.towerowl","猫头鹰高塔"
"event.name.towerstyx","冥河高塔"
"event.name.treasurequestalphaaether","宝藏任务"
"event.name.treasurequestascension","宝藏任务"
"event.name.treasurequestcovenantsuperelemental","宝藏任务"
"event.name.treasurequestgoblinastral","宝藏任务"
"event.name.treasurequestlgtroop","宝藏任务"
"event.name.treasurequesttome","宝藏任务"
"event.name.treasurequesttoweralliance","宝藏任务"
"event.name.treasurequestutility","宝藏任务"
"event.name.treasurequestxpblue","宝藏任务"
"event.name.treasurequestxpgreen","宝藏任务"
"event.name.treasurequestxppurple","宝藏任务"
"event.name.treasurequestxpred","宝藏任务"
"event.name.treasurequestxpyellow","宝藏任务"
