"event.name.alliancequestcastle","Riddersammenstød"
"event.name.alliancequestmoths","Møllenes nat"
"event.name.alliancequestmusketeers","De modige og de smukke"
"event.name.chess","Skakbegivenhed"
"event.name.covenantquest1","Pagtekspedition"
"event.name.covenantquest2","Pagtekspedition"
"event.name.guestip1","Særlig gæsteevent"
"event.name.recurringbeowulf","Beowulfs udfordring"
"event.name.recurringcircus","Cirkus Stjerneskud"
"event.name.recurringfestival","Udfordringsfestival I"
"event.name.recurringfestivalb","Udfordringsfestival II"
"event.name.recurringgargoyles","Gargoilernes tilflugtssted"
"event.name.recurringgargoyles2","Tilbage til Tilflugtsstedet"
"event.name.recurringmasquerade","Gudernes karneval"
"event.name.recurringmightypets","Mægtige kæledyr"
"event.name.recurringopera","Operaens hemmeligheder"
"event.name.recurringslayers","Dræberne fra Skyggebjerget"
"event.name.recurringvillains","Skurkeligaen"
"event.name.towermagic","Magitårn"
"event.name.towerninja","Ninjatårn"
"event.name.towerowl","Ugletårn"
"event.name.towerstyx","Styx-tårnet"
"event.name.treasurequestalphaaether","Skatteekspedition"
"event.name.treasurequestascension","Skatteekspedition"
"event.name.treasurequestcovenantsuperelemental","Skatteekspedition"
"event.name.treasurequestgoblinastral","Skatteekspedition"
"event.name.treasurequestlgtroop","Skatteekspedition"
"event.name.treasurequesttome","Skatteekspedition"
"event.name.treasurequesttoweralliance","Skatteekspedition"
"event.name.treasurequestutility","Skatteekspedition"
"event.name.treasurequestxpblue","Skatteekspedition"
"event.name.treasurequestxpgreen","Skatteekspedition"
"event.name.treasurequestxppurple","Skatteekspedition"
"event.name.treasurequestxpred","Skatteekspedition"
"event.name.treasurequestxpyellow","Skatteekspedition"
