"event.name.alliancequestcastle","Kampf der Ritter"
"event.name.alliancequestmoths","Nacht der Motte"
"event.name.alliancequestmusketeers","Die Mutigen & die Schönen"
"event.name.covenantquest1","Pakt-Quest"
"event.name.covenantquest2","Pakt-Quest"
"event.name.guestip1","Spezial-Gastevent"
"event.name.recurringbeowulf","Beowulfs Herausforderung"
"event.name.recurringcircus","Sternfall-Zirkus"
"event.name.recurringfarmland","Wachsames Gemüse"
"event.name.recurringfestival","Herausforderungsfest I"
"event.name.recurringfestivalb","Herausforderungsfest II"
"event.name.recurringgargoyles","Heiligtum der Gargoyles"
"event.name.recurringgargoyles2","Zurück zum Heiligtum"
"event.name.recurringmasquerade","Karneval der Götter"
"event.name.recurringmightypets","Mächtige Haustiere"
"event.name.recurringopera","Geheimnisse der Oper"
"event.name.recurringslayers","Töter grausamer Schatten"
"event.name.recurringvillains","Liga der Schurken"
"event.name.temple","Tempel von Windfall"
"event.name.temple_event","Tempel von Windfall"
"event.name.towermagic","Zauberturm"
"event.name.towerninja","Ninjaturm"
"event.name.towerowl","Eulenturm"
"event.name.towerstyx","Styx-Turm"
"event.name.treasurequestalphaaether","Schatzsuche"
"event.name.treasurequestascension","Schatzsuche"
"event.name.treasurequestcovenantsuperelemental","Schatzsuche"
"event.name.treasurequestgoblinastral","Schatzsuche"
"event.name.treasurequestlgtroop","Schatzsuche"
"event.name.treasurequesttome","Schatzsuche"
"event.name.treasurequesttoweralliance","Schatzsuche"
"event.name.treasurequestutility","Schatzsuche"
"event.name.treasurequestxpblue","Schatzsuche"
"event.name.treasurequestxpgreen","Schatzsuche"
"event.name.treasurequestxppurple","Schatzsuche"
"event.name.treasurequestxpred","Schatzsuche"
"event.name.treasurequestxpyellow","Schatzsuche"
