"event.name.alliancequestcastle","Clash of Knights"
"event.name.alliancequestmoths","Night of the Moth"
"event.name.alliancequestmusketeers","The Brave & The Beautiful"
"event.name.covenantquest1","Covenant Quest"
"event.name.covenantquest2","Covenant Quest"
"event.name.guestip1","Special Guest Event"
"event.name.recurringbeowulf","Beowulf's Challenge"
"event.name.recurringcircus","Starfall Circus"
"event.name.recurringfarmland","Vigilant Vegetables"
"event.name.recurringfestival","Challenge Festival I"
"event.name.recurringfestivalb","Challenge Festival II"
"event.name.recurringgargoyles","Sanctuary of Gargoyles"
"event.name.recurringgargoyles2","Return to Sanctuary"
"event.name.recurringmasquerade","Carnival of Gods"
"event.name.recurringmightypets","Mighty Pets"
"event.name.recurringopera","Secrets of the Opera"
"event.name.recurringslayers","Slayers of Fell Shadows"
"event.name.recurringvillains","League of Villains"
"event.name.temple","Windfall Temple"
"event.name.temple_event","Windfall Temple"
"event.name.towermagic","Tower of Magic"
"event.name.towerninja","Ninja Tower"
"event.name.towerowl","Owl Tower"
"event.name.towerstyx","Tower of Styx"
"event.name.treasurequestalphaaether","Treasure Quest"
"event.name.treasurequestascension","Treasure Quest"
"event.name.treasurequestcovenantsuperelemental","Treasure Quest"
"event.name.treasurequestgoblinastral","Treasure Quest"
"event.name.treasurequestlgtroop","Treasure Quest"
"event.name.treasurequesttome","Treasure Quest"
"event.name.treasurequesttoweralliance","Treasure Quest"
"event.name.treasurequestutility","Treasure Quest"
"event.name.treasurequestxpblue","Treasure Quest"
"event.name.treasurequestxpgreen","Treasure Quest"
"event.name.treasurequestxppurple","Treasure Quest"
"event.name.treasurequestxpred","Treasure Quest"
"event.name.treasurequestxpyellow","Treasure Quest"
