"event.name.alliancequestcastle","Choque de caballeros"
"event.name.alliancequestmoths","Noche de las polillas"
"event.name.alliancequestmusketeers","Los valientes y los bellos"
"event.name.covenantquest1","Aventura de coalición"
"event.name.covenantquest2","Aventura de coalición"
"event.name.guestip1","Evento de invitados especiales"
"event.name.recurringbeowulf","Desafío de Beowulf"
"event.name.recurringcircus","Circo Supernova"
"event.name.recurringfarmland","Verduras vigilantes"
"event.name.recurringfestival","Festival de desafíos I"
"event.name.recurringfestivalb","Festival de desafíos II"
"event.name.recurringgargoyles","Santuario de las gárgolas"
"event.name.recurringgargoyles2","Vuelta al santuario"
"event.name.recurringmasquerade","Carnaval de los dioses"
"event.name.recurringmightypets","Mascotas poderosas"
"event.name.recurringopera","Secretos de la ópera"
"event.name.recurringslayers","Asesinos de las tinieblas"
"event.name.recurringvillains","Liga de los Villanos"
"event.name.temple","Templo del golpe de suerte"
"event.name.temple_event","Templo del golpe de suerte"
"event.name.towermagic","Torre de la magia"
"event.name.towerninja","Torre ninja"
"event.name.towerowl","Torre de los búhos"
"event.name.towerstyx","Torre de Estigia"
"event.name.treasurequestalphaaether","Aventura de tesoros"
"event.name.treasurequestascension","Aventura de tesoros"
"event.name.treasurequestcovenantsuperelemental","Aventura de tesoros"
"event.name.treasurequestgoblinastral","Aventura de tesoros"
"event.name.treasurequestlgtroop","Aventura de tesoros"
"event.name.treasurequesttome","Aventura de tesoros"
"event.name.treasurequesttoweralliance","Aventura de tesoros"
"event.name.treasurequestutility","Aventura de tesoros"
"event.name.treasurequestxpblue","Aventura de tesoros"
"event.name.treasurequestxpgreen","Aventura de tesoros"
"event.name.treasurequestxppurple","Aventura de tesoros"
"event.name.treasurequestxpred","Aventura de tesoros"
"event.name.treasurequestxpyellow","Aventura de tesoros"
