"event.name.alliancequestcastle","Ritarien taisto"
"event.name.alliancequestmoths","Koiden yö"
"event.name.alliancequestmusketeers","Kauniit ja urheat"
"event.name.covenantquest1","Kovenanttiseikkailu"
"event.name.covenantquest2","Kovenanttiseikkailu"
"event.name.guestip1","Erikoisvierastapahtuma"
"event.name.recurringbeowulf","Beowulfin haaste"
"event.name.recurringcircus","Sirkus Tähtisade"
"event.name.recurringfarmland","Valppaat kasvit"
"event.name.recurringfestival","Haastefestivaali I"
"event.name.recurringfestivalb","Haastefestivaali II"
"event.name.recurringgargoyles","Gargoilien pyhäkkö"
"event.name.recurringgargoyles2","Paluu pyhäkköön"
"event.name.recurringmasquerade","Jumalten karnevaali"
"event.name.recurringmightypets","Mahtilemmikit"
"event.name.recurringopera","Oopperan salaisuudet"
"event.name.recurringslayers","Synkkien varjojen surmaajat"
"event.name.recurringvillains","Konnien liitto"
"event.name.temple","Suuren tuurin temppeli"
"event.name.temple_event","Suuren tuurin temppeli"
"event.name.towermagic","Taikatorni"
"event.name.towerninja","Ninjatorni"
"event.name.towerowl","Pöllötorni"
"event.name.towerstyx","Styksin torni"
"event.name.treasurequestalphaaether","Aarreseikkailu"
"event.name.treasurequestascension","Aarreseikkailu"
"event.name.treasurequestcovenantsuperelemental","Aarreseikkailu"
"event.name.treasurequestgoblinastral","Aarreseikkailu"
"event.name.treasurequestlgtroop","Aarreseikkailu"
"event.name.treasurequesttome","Aarreseikkailu"
"event.name.treasurequesttoweralliance","Aarreseikkailu"
"event.name.treasurequestutility","Aarreseikkailu"
"event.name.treasurequestxpblue","Aarreseikkailu"
"event.name.treasurequestxpgreen","Aarreseikkailu"
"event.name.treasurequestxppurple","Aarreseikkailu"
"event.name.treasurequestxpred","Aarreseikkailu"
"event.name.treasurequestxpyellow","Aarreseikkailu"
