"event.name.alliancequestcastle","Bataille de chevaliers"
"event.name.alliancequestmoths","La nuit de la mite"
"event.name.alliancequestmusketeers","Bravoure et beauté"
"event.name.chess","Événement d'échecs"
"event.name.covenantquest1","Quête de pacte"
"event.name.covenantquest2","Quête de pacte"
"event.name.guestip1","Événement d'invités spéciaux"
"event.name.recurringbeowulf","Défi de Beowulf"
"event.name.recurringcircus","Cirque Pluie d'étoiles"
"event.name.recurringfestival","Festival des défis I"
"event.name.recurringfestivalb","Festival des défis II"
"event.name.recurringgargoyles","Sanctuaire des gargouilles"
"event.name.recurringgargoyles2","Retour au Sanctuaire"
"event.name.recurringmasquerade","Carnaval des dieux"
"event.name.recurringmightypets","Animaux puissants"
"event.name.recurringopera","Les secrets de l'opéra"
"event.name.recurringslayers","Tueurs des ombres cruelles"
"event.name.recurringvillains","Ligue des vauriens"
"event.name.towermagic","Tour de la magie"
"event.name.towerninja","Tour des ninjas"
"event.name.towerowl","Tour du hibou"
"event.name.towerstyx","Tour du Styx"
"event.name.treasurequestalphaaether","Quête de trésor"
"event.name.treasurequestascension","Quête de trésor"
"event.name.treasurequestcovenantsuperelemental","Quête de trésor"
"event.name.treasurequestgoblinastral","Quête de trésor"
"event.name.treasurequestlgtroop","Quête de trésor"
"event.name.treasurequesttome","Quête de trésor"
"event.name.treasurequesttoweralliance","Quête de trésor"
"event.name.treasurequestutility","Quête de trésor"
"event.name.treasurequestxpblue","Quête de trésor"
"event.name.treasurequestxpgreen","Quête de trésor"
"event.name.treasurequestxppurple","Quête de trésor"
"event.name.treasurequestxpred","Quête de trésor"
"event.name.treasurequestxpyellow","Quête de trésor"
