"event.name.alliancequestcastle","Bentrokan Kesatria"
"event.name.alliancequestmoths","Malam Ngengat"
"event.name.alliancequestmusketeers","Si Pemberani & si Cantik"
"event.name.chess","Acara Catur"
"event.name.covenantquest1","Petualangan Perjanjian"
"event.name.covenantquest2","Petualangan Perjanjian"
"event.name.guestip1","Acara Tamu Khusus"
"event.name.recurringbeowulf","Tantangan Beowulf"
"event.name.recurringcircus","Sirkus Bintang Jatuh"
"event.name.recurringfestival","Festival Tantangan I"
"event.name.recurringfestivalb","Festival Tantangan II"
"event.name.recurringgargoyles","Suaka Gargoyle"
"event.name.recurringgargoyles2","Kembali ke Suaka"
"event.name.recurringmasquerade","Karnaval Dewa"
"event.name.recurringmightypets","Piaraan Perkasa"
"event.name.recurringopera","Rahasia Opera"
"event.name.recurringslayers","Pembunuh Bayangan Jatuh"
"event.name.recurringvillains","Liga Penjahat"
"event.name.towermagic","Menara Sihir"
"event.name.towerninja","Menara Ninja"
"event.name.towerowl","Menara Burung Hantu"
"event.name.towerstyx","Menara Stiks"
"event.name.treasurequestalphaaether","Petualangan Harta Karun"
"event.name.treasurequestascension","Petualangan Harta Karun"
"event.name.treasurequestcovenantsuperelemental","Petualangan Harta Karun"
"event.name.treasurequestgoblinastral","Petualangan Harta Karun"
"event.name.treasurequestlgtroop","Petualangan Harta Karun"
"event.name.treasurequesttome","Petualangan Harta Karun"
"event.name.treasurequesttoweralliance","Petualangan Harta Karun"
"event.name.treasurequestutility","Petualangan Harta Karun"
"event.name.treasurequestxpblue","Petualangan Harta Karun"
"event.name.treasurequestxpgreen","Petualangan Harta Karun"
"event.name.treasurequestxppurple","Petualangan Harta Karun"
"event.name.treasurequestxpred","Petualangan Harta Karun"
"event.name.treasurequestxpyellow","Petualangan Harta Karun"
