"event.name.alliancequestcastle","Cavalieri in guerra"
"event.name.alliancequestmoths","Notte della falena"
"event.name.alliancequestmusketeers","Coraggio e beltà"
"event.name.covenantquest1","Impresa del patto"
"event.name.covenantquest2","Impresa del patto"
"event.name.guestip1","Evento Ospite speciale"
"event.name.recurringbeowulf","Sfida di Beowulf"
"event.name.recurringcircus","Circo di Pioggia stellare"
"event.name.recurringfarmland","Verdure vigilanti"
"event.name.recurringfestival","Festival delle sfide I"
"event.name.recurringfestivalb","Festival delle sfide II"
"event.name.recurringgargoyles","Santuario dei Gargoyle"
"event.name.recurringgargoyles2","Ritorno al santuario"
"event.name.recurringmasquerade","Carnevale degli dèi"
"event.name.recurringmightypets","Animali bestiali"
"event.name.recurringopera","Segreti dell'Opera"
"event.name.recurringslayers","Assassini dell'Ombra mortale"
"event.name.recurringvillains","Lega dei cattivi"
"event.name.temple","Tempio della buona sorte"
"event.name.temple_event","Tempio della buona sorte"
"event.name.towermagic","Torre della magia"
"event.name.towerninja","Torre dei ninja"
"event.name.towerowl","Torre dei Gufi"
"event.name.towerstyx","Torre dello Stige"
"event.name.treasurequestalphaaether","Impresa del tesoro"
"event.name.treasurequestascension","Impresa del tesoro"
"event.name.treasurequestcovenantsuperelemental","Impresa del tesoro"
"event.name.treasurequestgoblinastral","Impresa del tesoro"
"event.name.treasurequestlgtroop","Impresa del tesoro"
"event.name.treasurequesttome","Impresa del tesoro"
"event.name.treasurequesttoweralliance","Impresa del tesoro"
"event.name.treasurequestutility","Impresa del tesoro"
"event.name.treasurequestxpblue","Impresa del tesoro"
"event.name.treasurequestxpgreen","Impresa del tesoro"
"event.name.treasurequestxppurple","Impresa del tesoro"
"event.name.treasurequestxpred","Impresa del tesoro"
"event.name.treasurequestxpyellow","Impresa del tesoro"
