"event.name.alliancequestcastle","クラッシュオブナイツ"
"event.name.alliancequestmoths","蛾の夜"
"event.name.alliancequestmusketeers","ブレイブ&ビューティフル"
"event.name.chess","チェスイベント"
"event.name.covenantquest1","盟約クエスト"
"event.name.covenantquest2","盟約クエスト"
"event.name.guestip1","スペシャルゲストイベント"
"event.name.recurringbeowulf","ベオウルフの挑戦"
"event.name.recurringcircus","スターフォールサーカス"
"event.name.recurringfestival","チャレンジ フェスティバル I"
"event.name.recurringfestivalb","チャレンジ フェスティバル II"
"event.name.recurringgargoyles","ガーゴイルの聖域"
"event.name.recurringgargoyles2","聖域への帰還"
"event.name.recurringmasquerade","神の祭典"
"event.name.recurringmightypets","マイティペット"
"event.name.recurringopera","オペラ座の秘密"
"event.name.recurringslayers","不吉な影のスレイヤー"
"event.name.recurringvillains","悪役のリーグ"
"event.name.towermagic","魔法のタワー"
"event.name.towerninja","ニンジャタワー"
"event.name.towerowl","オウルタワー"
"event.name.towerstyx","ステュクスタワー"
"event.name.treasurequestalphaaether","宝箱クエスト"
"event.name.treasurequestascension","宝箱クエスト"
"event.name.treasurequestcovenantsuperelemental","宝箱クエスト"
"event.name.treasurequestgoblinastral","宝箱クエスト"
"event.name.treasurequestlgtroop","宝箱クエスト"
"event.name.treasurequesttome","宝箱クエスト"
"event.name.treasurequesttoweralliance","宝箱クエスト"
"event.name.treasurequestutility","宝箱クエスト"
"event.name.treasurequestxpblue","宝箱クエスト"
"event.name.treasurequestxpgreen","宝箱クエスト"
"event.name.treasurequestxppurple","宝箱クエスト"
"event.name.treasurequestxpred","宝箱クエスト"
"event.name.treasurequestxpyellow","宝箱クエスト"
