"event.name.alliancequestcastle","기사의 격돌"
"event.name.alliancequestmoths","나방의 밤"
"event.name.alliancequestmusketeers","용자와 미녀"
"event.name.covenantquest1","서약 퀘스트"
"event.name.covenantquest2","서약 퀘스트"
"event.name.guestip1","특별 게스트 이벤트"
"event.name.recurringbeowulf","베오울프의 도전"
"event.name.recurringcircus","스타폴 서커스"
"event.name.recurringfarmland","경계하는 채소"
"event.name.recurringfestival","도전 축제 I"
"event.name.recurringfestivalb","도전 축제 II"
"event.name.recurringgargoyles","가고일의 안식처"
"event.name.recurringgargoyles2","안식처로 돌아가기"
"event.name.recurringmasquerade","신들의 축제"
"event.name.recurringmightypets","강력한 펫"
"event.name.recurringopera","오페라의 비밀"
"event.name.recurringslayers","펠 섀도우의 처단자"
"event.name.recurringvillains","빌런 리그"
"event.name.temple","윈드폴 사원"
"event.name.temple_event","윈드폴 사원"
"event.name.towermagic","마법 타워"
"event.name.towerninja","닌자 타워"
"event.name.towerowl","올빼미 탑"
"event.name.towerstyx","스틱스의 탑"
"event.name.treasurequestalphaaether","보물 퀘스트"
"event.name.treasurequestascension","보물 퀘스트"
"event.name.treasurequestcovenantsuperelemental","보물 퀘스트"
"event.name.treasurequestgoblinastral","보물 퀘스트"
"event.name.treasurequestlgtroop","보물 퀘스트"
"event.name.treasurequesttome","보물 퀘스트"
"event.name.treasurequesttoweralliance","보물 퀘스트"
"event.name.treasurequestutility","보물 퀘스트"
"event.name.treasurequestxpblue","보물 퀘스트"
"event.name.treasurequestxpgreen","보물 퀘스트"
"event.name.treasurequestxppurple","보물 퀘스트"
"event.name.treasurequestxpred","보물 퀘스트"
"event.name.treasurequestxpyellow","보물 퀘스트"
