"event.name.alliancequestcastle","Ridderstrijd"
"event.name.alliancequestmoths","Nacht van de mot"
"event.name.alliancequestmusketeers","De dappere en de schoonheid"
"event.name.chess","Schaakevenement"
"event.name.covenantquest1","Convenantopdracht"
"event.name.covenantquest2","Convenantopdracht"
"event.name.guestip1","Speciaal gastevenement"
"event.name.recurringbeowulf","De uitdaging van Beowulf"
"event.name.recurringcircus","Circus Valster"
"event.name.recurringfestival","Uitdagingsfestival I"
"event.name.recurringfestivalb","Uitdagingsfestival II"
"event.name.recurringgargoyles","Heiligdom van gargouilles"
"event.name.recurringgargoyles2","Terugkeer naar heiligdom"
"event.name.recurringmasquerade","Carnaval van de goden"
"event.name.recurringmightypets","Almachtige huisdieren"
"event.name.recurringopera","Geheimen van de opera"
"event.name.recurringslayers","Slachters uit de hooglandschaduwen"
"event.name.recurringvillains","Verbond van schurken"
"event.name.towermagic","Magische toren"
"event.name.towerninja","Ninjatoren"
"event.name.towerowl","Uilentoren"
"event.name.towerstyx","Styx-toren"
"event.name.treasurequestalphaaether","Schattenopdracht"
"event.name.treasurequestascension","Schattenopdracht"
"event.name.treasurequestcovenantsuperelemental","Schattenopdracht"
"event.name.treasurequestgoblinastral","Schattenopdracht"
"event.name.treasurequestlgtroop","Schattenopdracht"
"event.name.treasurequesttome","Schattenopdracht"
"event.name.treasurequesttoweralliance","Schattenopdracht"
"event.name.treasurequestutility","Schattenopdracht"
"event.name.treasurequestxpblue","Schattenopdracht"
"event.name.treasurequestxpgreen","Schattenopdracht"
"event.name.treasurequestxppurple","Schattenopdracht"
"event.name.treasurequestxpred","Schattenopdracht"
"event.name.treasurequestxpyellow","Schattenopdracht"
