"event.name.alliancequestcastle","Riddernes kamp"
"event.name.alliancequestmoths","Møllens natt"
"event.name.alliancequestmusketeers","Den modige og den vakre"
"event.name.covenantquest1","Paktoppdrag"
"event.name.covenantquest2","Paktoppdrag"
"event.name.guestip1","Spesiell gjest-hendelse"
"event.name.recurringbeowulf","Beowulfs utfordring"
"event.name.recurringcircus","Stjerneskudd-sirkus"
"event.name.recurringfarmland","Årvåkne grønnsaker"
"event.name.recurringfestival","Utfordringsfestival I"
"event.name.recurringfestivalb","Utfordringsfestival II"
"event.name.recurringgargoyles","Griffenes tilfluktssted"
"event.name.recurringgargoyles2","Returner til tilfluktssted"
"event.name.recurringmasquerade","Gudenes karneval"
"event.name.recurringmightypets","Mektige kjæledyr"
"event.name.recurringopera","Operaens hemmeligheter"
"event.name.recurringslayers","Slakterne fra Fell-skyggene"
"event.name.recurringvillains","Skurkeliga"
"event.name.temple","Vindfalltempel"
"event.name.temple_event","Vindfalltempel"
"event.name.towermagic","Magitårn"
"event.name.towerninja","Ninjatårn"
"event.name.towerowl","Ugletårn"
"event.name.towerstyx","Styx-tårn"
"event.name.treasurequestalphaaether","Skatteoppdrag"
"event.name.treasurequestascension","Skatteoppdrag"
"event.name.treasurequestcovenantsuperelemental","Skatteoppdrag"
"event.name.treasurequestgoblinastral","Skatteoppdrag"
"event.name.treasurequestlgtroop","Skatteoppdrag"
"event.name.treasurequesttome","Skatteoppdrag"
"event.name.treasurequesttoweralliance","Skatteoppdrag"
"event.name.treasurequestutility","Skatteoppdrag"
"event.name.treasurequestxpblue","Skatteoppdrag"
"event.name.treasurequestxpgreen","Skatteoppdrag"
"event.name.treasurequestxppurple","Skatteoppdrag"
"event.name.treasurequestxpred","Skatteoppdrag"
"event.name.treasurequestxpyellow","Skatteoppdrag"
