"event.name.alliancequestcastle","Starcie rycerzy"
"event.name.alliancequestmoths","Noc ćmy"
"event.name.alliancequestmusketeers","Piękni i odważni"
"event.name.chess","Wydarzenie szachowe"
"event.name.covenantquest1","Misja Przymierza"
"event.name.covenantquest2","Misja Przymierza"
"event.name.guestip1","Wydarzenie gościa specjalnego"
"event.name.recurringbeowulf","Wyzwanie Beowulfa"
"event.name.recurringcircus","Cyrk Spadającej Gwiazdy"
"event.name.recurringfestival","Festiwal Wyzwań I"
"event.name.recurringfestivalb","Festiwal Wyzwań II"
"event.name.recurringgargoyles","Sanktuarium Gargulców"
"event.name.recurringgargoyles2","Powrót do Sanktuarium"
"event.name.recurringmasquerade","Karnawał Bogów"
"event.name.recurringmightypets","Potężne zwierzaki"
"event.name.recurringopera","Tajemnice Opery"
"event.name.recurringslayers","Pogromcy Dzikich Cieni"
"event.name.recurringvillains","Liga Złoczyńców"
"event.name.towermagic","Wieża Magii"
"event.name.towerninja","Wieża Ninja"
"event.name.towerowl","Wieża Sów"
"event.name.towerstyx","Wieża Styksu"
"event.name.treasurequestalphaaether","Misja skarbu"
"event.name.treasurequestascension","Misja skarbu"
"event.name.treasurequestcovenantsuperelemental","Misja skarbu"
"event.name.treasurequestgoblinastral","Misja skarbu"
"event.name.treasurequestlgtroop","Misja skarbu"
"event.name.treasurequesttome","Misja skarbu"
"event.name.treasurequesttoweralliance","Misja skarbu"
"event.name.treasurequestutility","Misja skarbu"
"event.name.treasurequestxpblue","Misja skarbu"
"event.name.treasurequestxpgreen","Misja skarbu"
"event.name.treasurequestxppurple","Misja skarbu"
"event.name.treasurequestxpred","Misja skarbu"
"event.name.treasurequestxpyellow","Misja skarbu"
