"event.name.alliancequestcastle","Embate de Cavaleiros"
"event.name.alliancequestmoths","Noite da Mariposa"
"event.name.alliancequestmusketeers","Belos e Bravos"
"event.name.chess","Evento de Xadrez"
"event.name.covenantquest1","Objetivo do Pacto"
"event.name.covenantquest2","Objetivo do Pacto"
"event.name.guestip1","Evento de convidados especiais"
"event.name.recurringbeowulf","Desafio de Beowulf"
"event.name.recurringcircus","Circo Chuva Estelar"
"event.name.recurringfestival","Festival de Desafios I"
"event.name.recurringfestivalb","Festival de Desafios II"
"event.name.recurringgargoyles","Santuário dos Gárgulas"
"event.name.recurringgargoyles2","Retorno ao Santuário"
"event.name.recurringmasquerade","Carnaval dos Deuses"
"event.name.recurringmightypets","Feras de Estimação"
"event.name.recurringopera","Segredos da Ópera"
"event.name.recurringslayers","Matadores das Sombras"
"event.name.recurringvillains","Liga dos Vilões"
"event.name.towermagic","Torre da Magia"
"event.name.towerninja","Torre Ninja"
"event.name.towerowl","Torre da Coruja"
"event.name.towerstyx","Torre do Estige"
"event.name.treasurequestalphaaether","Objetivo de tesouro"
"event.name.treasurequestascension","Objetivo de tesouro"
"event.name.treasurequestcovenantsuperelemental","Objetivo de tesouro"
"event.name.treasurequestgoblinastral","Objetivo de tesouro"
"event.name.treasurequestlgtroop","Objetivo de tesouro"
"event.name.treasurequesttome","Objetivo de tesouro"
"event.name.treasurequesttoweralliance","Objetivo de tesouro"
"event.name.treasurequestutility","Objetivo de tesouro"
"event.name.treasurequestxpblue","Objetivo de tesouro"
"event.name.treasurequestxpgreen","Objetivo de tesouro"
"event.name.treasurequestxppurple","Objetivo de tesouro"
"event.name.treasurequestxpred","Objetivo de tesouro"
"event.name.treasurequestxpyellow","Objetivo de tesouro"
