"event.name.alliancequestcastle","Столкновение рыцарей"
"event.name.alliancequestmoths","Ночь мотылька"
"event.name.alliancequestmusketeers","Храбрые и прекрасные"
"event.name.chess","Шахматы"
"event.name.covenantquest1","Заветный квест"
"event.name.covenantquest2","Заветный квест"
"event.name.guestip1","Особое гостевое событие"
"event.name.recurringbeowulf","Испытание Беовульфа"
"event.name.recurringcircus","Звездный цирк"
"event.name.recurringfestival","Фестиваль испытаний I"
"event.name.recurringfestivalb","Фестиваль испытаний II"
"event.name.recurringgargoyles","Убежище горгулий"
"event.name.recurringgargoyles2","Возвращение в убежище"
"event.name.recurringmasquerade","Карнавал богов"
"event.name.recurringmightypets","Могучие питомцы"
"event.name.recurringopera","Секреты оперы"
"event.name.recurringslayers","Убийцы павших теней"
"event.name.recurringvillains","Лига злодеев"
"event.name.towermagic","Башня магии"
"event.name.towerninja","Башня ниндзя"
"event.name.towerowl","Совиная башня"
"event.name.towerstyx","Башня Стикса"
"event.name.treasurequestalphaaether","Квест сокровищ"
"event.name.treasurequestascension","Квест сокровищ"
"event.name.treasurequestcovenantsuperelemental","Квест сокровищ"
"event.name.treasurequestgoblinastral","Квест сокровищ"
"event.name.treasurequestlgtroop","Квест сокровищ"
"event.name.treasurequesttome","Квест сокровищ"
"event.name.treasurequesttoweralliance","Квест сокровищ"
"event.name.treasurequestutility","Квест сокровищ"
"event.name.treasurequestxpblue","Квест сокровищ"
"event.name.treasurequestxpgreen","Квест сокровищ"
"event.name.treasurequestxppurple","Квест сокровищ"
"event.name.treasurequestxpred","Квест сокровищ"
"event.name.treasurequestxpyellow","Квест сокровищ"
