"event.name.alliancequestcastle","Riddarnas kamp"
"event.name.alliancequestmoths","Malens natt"
"event.name.alliancequestmusketeers","De modiga och de vackra"
"event.name.chess","Schackevenemang"
"event.name.covenantquest1","Förbundsäventyr"
"event.name.covenantquest2","Förbundsäventyr"
"event.name.guestip1","Specialgästevenemang"
"event.name.recurringbeowulf","Beowulfs utmaning"
"event.name.recurringcircus","Stjärnfallscirkusen"
"event.name.recurringfestival","Utmaningsfestivalen I"
"event.name.recurringfestivalb","Utmaningsfestivalen II"
"event.name.recurringgargoyles","Groteskernas fristad"
"event.name.recurringgargoyles2","Återkomsten till fristaden"
"event.name.recurringmasquerade","Gudarnas karneval"
"event.name.recurringmightypets","Mäktiga djur"
"event.name.recurringopera","Operans hemligheter"
"event.name.recurringslayers","De grymma skuggornas dräpare"
"event.name.recurringvillains","Skurkarnas förbund"
"event.name.towermagic","Magitornet"
"event.name.towerninja","Ninjatornet"
"event.name.towerowl","Uggletornet"
"event.name.towerstyx","Styx torn"
"event.name.treasurequestalphaaether","Skattäventyr"
"event.name.treasurequestascension","Skattäventyr"
"event.name.treasurequestcovenantsuperelemental","Skattäventyr"
"event.name.treasurequestgoblinastral","Skattäventyr"
"event.name.treasurequestlgtroop","Skattäventyr"
"event.name.treasurequesttome","Skattäventyr"
"event.name.treasurequesttoweralliance","Skattäventyr"
"event.name.treasurequestutility","Skattäventyr"
"event.name.treasurequestxpblue","Skattäventyr"
"event.name.treasurequestxpgreen","Skattäventyr"
"event.name.treasurequestxppurple","Skattäventyr"
"event.name.treasurequestxpred","Skattäventyr"
"event.name.treasurequestxpyellow","Skattäventyr"
