"event.name.alliancequestcastle","Şövalyelerin Çarpışması"
"event.name.alliancequestmoths","Güve Gecesi"
"event.name.alliancequestmusketeers","Cesur ve Güzel"
"event.name.covenantquest1","Pakt Görevi"
"event.name.covenantquest2","Pakt Görevi"
"event.name.guestip1","Özel Konuk Etkinliği"
"event.name.recurringbeowulf","Beowulf'un Mücadelesi"
"event.name.recurringcircus","Yıldız Kayması Sirki"
"event.name.recurringfarmland","İhtiyatlı Sebzeler"
"event.name.recurringfestival","Mücadele Festivali I"
"event.name.recurringfestivalb","Mücadele Festivali II"
"event.name.recurringgargoyles","Yaratık Sığınağı"
"event.name.recurringgargoyles2","Sığınağa Dönüş"
"event.name.recurringmasquerade","Tanrılar Karnavalı"
"event.name.recurringmightypets","Güçlü Evcil Hayvanlar"
"event.name.recurringopera","Operanın Sırları"
"event.name.recurringslayers","Merhametsiz Gölgelerin Katilleri"
"event.name.recurringvillains","Kötü Adamlar Ligi"
"event.name.temple","Talih Tapınağı"
"event.name.temple_event","Talih Tapınağı"
"event.name.towermagic","Büyü Kulesi"
"event.name.towerninja","Ninja Kulesi"
"event.name.towerowl","Baykuş Kulesi"
"event.name.towerstyx","Stiks Kulesi"
"event.name.treasurequestalphaaether","Hazine Görevi"
"event.name.treasurequestascension","Hazine Görevi"
"event.name.treasurequestcovenantsuperelemental","Hazine Görevi"
"event.name.treasurequestgoblinastral","Hazine Görevi"
"event.name.treasurequestlgtroop","Hazine Görevi"
"event.name.treasurequesttome","Hazine Görevi"
"event.name.treasurequesttoweralliance","Hazine Görevi"
"event.name.treasurequestutility","Hazine Görevi"
"event.name.treasurequestxpblue","Hazine Görevi"
"event.name.treasurequestxpgreen","Hazine Görevi"
"event.name.treasurequestxppurple","Hazine Görevi"
"event.name.treasurequestxpred","Hazine Görevi"
"event.name.treasurequestxpyellow","Hazine Görevi"
