"herocard.family.title.abyss","蛮荒地界家族"
"herocard.family.title.abyss.short","蛮荒地界"
"herocard.family.title.abyss_hunter","深渊猎人家族"
"herocard.family.title.abyss_hunter.short","深渊猎人"
"herocard.family.title.alfheim","艾尔夫海姆王国"
"herocard.family.title.alfheim.short","艾尔夫海姆"
"herocard.family.title.asgard","阿斯加德王国"
"herocard.family.title.asgard.short","阿斯加德"
"herocard.family.title.astral_demons","星体恶魔"
"herocard.family.title.astral_demons.short","星体恶魔"
"herocard.family.title.astral_dwarfs","星体矮人家族"
"herocard.family.title.astral_dwarfs.short","星体矮人"
"herocard.family.title.astral_elves","星体精灵家族"
"herocard.family.title.astral_elves.short","星体精灵"
"herocard.family.title.atlantis","亚特兰蒂斯家族"
"herocard.family.title.atlantis.short","亚特兰蒂斯"
"herocard.family.title.bard","吟游诗人家族"
"herocard.family.title.bard.short","吟游诗人"
"herocard.family.title.beachparty","海滩派对家族"
"herocard.family.title.beachparty.short","海滩派对"
"herocard.family.title.bear","野熊家族"
"herocard.family.title.bear.short","野熊"
"herocard.family.title.bear_pve.short","野熊"
"herocard.family.title.beauty_beast","美女与野兽家族"
"herocard.family.title.beauty_beast.short","美女与野兽"
"herocard.family.title.beowulf","贝奥武夫家族"
"herocard.family.title.beowulf.short","贝奥武夫"
"herocard.family.title.champions","冠军家族"
"herocard.family.title.champions.short","冠军"
"herocard.family.title.circus","星落家族"
"herocard.family.title.circus.short","星落"
"herocard.family.title.classic","经典家族"
"herocard.family.title.classic.short","经典"
"herocard.family.title.construct","机械家族"
"herocard.family.title.construct.short","机械"
"herocard.family.title.cultist","异教徒家族"
"herocard.family.title.cultist.short","异教徒"
"herocard.family.title.cupid","爱神家族"
"herocard.family.title.cupid.short","爱神"
"herocard.family.title.easter","春谷家族"
"herocard.family.title.easter.short","春谷"
"herocard.family.title.fable","肃煞森林家族"
"herocard.family.title.fable.short","肃煞森林"
"herocard.family.title.faun","林地牧神家族"
"herocard.family.title.faun.short","林地牧神"
"herocard.family.title.fleur_de_sang","弗勒德桑家族"
"herocard.family.title.fleur_de_sang.short","弗勒德桑"
"herocard.family.title.fleur_de_sang_pve_tier1.short","弗勒德桑"
"herocard.family.title.fleur_de_sang_pve_tier2.short","弗勒德桑"
"herocard.family.title.fleur_de_sang_pve_tier3.short","弗勒德桑"
"herocard.family.title.forsaken","被遗弃者家族"
"herocard.family.title.forsaken.short","被遗弃者"
"herocard.family.title.fortune","幸运舞者家族"
"herocard.family.title.fortune.short","幸运"
"herocard.family.title.fox","狐狸家族"
"herocard.family.title.fox.short","狐狸"
"herocard.family.title.gargoyle","石像鬼家族"
"herocard.family.title.gargoyle.short","石像鬼"
