"herocard.family.title.abyss","Underrige-familie"
"herocard.family.title.abyss.short","Underriget"
"herocard.family.title.abyss_hunter","Afgrundsjæger-familien"
"herocard.family.title.abyss_hunter.short","Afgrundsjæger"
"herocard.family.title.alfheim","Alfheim-verden"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Asgard-verden"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Astraldæmoner"
"herocard.family.title.astral_demons.short","Astraldæmoner"
"herocard.family.title.astral_dwarfs","Astral-dværgefamilie"
"herocard.family.title.astral_dwarfs.short","Astraldværge"
"herocard.family.title.astral_elves","Astral-elverfamilie"
"herocard.family.title.astral_elves.short","Astral-elvere"
"herocard.family.title.atlantis","Atlantis-familie"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Skjaldfamilien"
"herocard.family.title.bard.short","Skjald"
"herocard.family.title.beachparty","Strandfest-familie"
"herocard.family.title.beachparty.short","Strandfest"
"herocard.family.title.bear","Bjørnefamilie"
"herocard.family.title.bear.short","Bjørn"
"herocard.family.title.bear_pve.short","Bjørn"
"herocard.family.title.beauty_beast","Skønheden og udyret-familien"
"herocard.family.title.beauty_beast.short","Skønheden og udyret"
"herocard.family.title.beowulf","Bjovulf-familien"
"herocard.family.title.beowulf.short","Bjovulf"
"herocard.family.title.champions","Mesterfamilien"
"herocard.family.title.champions.short","Mestre"
"herocard.family.title.circus","Familien Stjerneskud"
"herocard.family.title.circus.short","Stjerneskud"
"herocard.family.title.classic","Klassisk familie"
"herocard.family.title.classic.short","Klassisk"
"herocard.family.title.construct","Byggefamilie"
"herocard.family.title.construct.short","Bygge"
"herocard.family.title.cultist","Kultist-familie"
"herocard.family.title.cultist.short","Kultist"
"herocard.family.title.cupid","Amorfamilie"
"herocard.family.title.cupid.short","Amor"
"herocard.family.title.easter","Springvale-familie"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Grimmskoven-familie"
"herocard.family.title.fable.short","Grimmskoven"
"herocard.family.title.faun","Faunefamilie fra skoven"
"herocard.family.title.faun.short","Faun fra skoven"
"herocard.family.title.fleur_de_sang","Fleur-de-Sang-familie"
"herocard.family.title.fleur_de_sang.short","Fleur-de-Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur-de-Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur-de-Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur-de-Sang"
"herocard.family.title.forsaken","Den svigtede familie"
"herocard.family.title.forsaken.short","Svigtet"
"herocard.family.title.fortune","Familien Lykkedanser"
"herocard.family.title.fortune.short","Lykke"
"herocard.family.title.fox","Rævefamilie"
"herocard.family.title.fox.short","Ræv"
"herocard.family.title.gargoyle","Gargoilfamilie"
"herocard.family.title.gargoyle.short","Gargoil"
"herocard.family.title.garrison","Garnisonsvogter-familie"
"herocard.family.title.garrison.short","Garnisonsvogter"
"herocard.family.title.goblin","Goblinfamilie"
"herocard.family.title.goblin.short","Goblinmønt"
"herocard.family.title.guardian","Vogter-familie"
"herocard.family.title.guardian.short","Vogter"
"herocard.family.title.halloween","Morlovia-familien"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Helheim-verden"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Legendefamilien {0}"
"herocard.family.title.hotm.short","Legender {0}"
"herocard.family.title.institute","Institut-familien"
"herocard.family.title.institute.short","Instituttet"
"herocard.family.title.investigator","Efterforsker-familie"
"herocard.family.title.investigator.short","Efterforsker"
"herocard.family.title.japanese","Sakura-familie"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheim-verden"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Rejsefamilie"
"herocard.family.title.journey.short","Rejse"
"herocard.family.title.jungle_hunter","Junglejæger-familie"
"herocard.family.title.jungle_hunter.short","Junglejæger"
"herocard.family.title.kalevala","Kalevala-familien"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Rigefamilie"
"herocard.family.title.kingdom.short","Rige"
"herocard.family.title.knight","Avalon-familie"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagune-familie"
"herocard.family.title.lagoon.short","Lagune"
"herocard.family.title.magic","Magisk familie"
"herocard.family.title.magic.short","Magisk"
"herocard.family.title.magic_carpet","Flyvende tæppe-familie"
"herocard.family.title.magic_carpet.short","Flyvende tæppe"
"herocard.family.title.mahayoddha","Mahayoddha-familie"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Maskeret gud-familie"
"herocard.family.title.masquerade.short","Maskeret gud"
"herocard.family.title.masquerade_pve","Maskeret gud-familie"
"herocard.family.title.masquerade_pve.short","Maskeret gud"
"herocard.family.title.midgard","Midgard-verden"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Mægtige kæledyr-familie"
"herocard.family.title.mighty_pet.short","Mægtig kæledyr"
"herocard.family.title.mimic","Efterligner-familie"
"herocard.family.title.mimic.short","Efterligner"
"herocard.family.title.moon","Månefamilie"
"herocard.family.title.moon.short","Måne"
"herocard.family.title.moths","Mølfamilie"
"herocard.family.title.moths.short","Møl"
"herocard.family.title.musketeer","Musketer-familie"
"herocard.family.title.musketeer.short","Musketer"
"herocard.family.title.muspelheim","Muspelheim-verden"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Mystisk familie"
"herocard.family.title.mystery.short","Mystisk"
"herocard.family.title.nidavellir","Nidavellir-riget"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheim-verden"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninja-familien"
