"herocard.family.title.abyss","Unterwildnis-Familie"
"herocard.family.title.abyss.short","Underwild"
"herocard.family.title.abyss_hunter","Abgrundjäger-Familie"
"herocard.family.title.abyss_hunter.short","Abgrundjäger"
"herocard.family.title.alfheim","Alfheim-Reich"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Asgard-Reich"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Astraldämonen"
"herocard.family.title.astral_demons.short","Astraldämonen"
"herocard.family.title.astral_dwarfs","Astralzwerg-Familie"
"herocard.family.title.astral_dwarfs.short","Astralzwerge"
"herocard.family.title.astral_elves","Astralelfen-Familie"
"herocard.family.title.astral_elves.short","Astralelfen"
"herocard.family.title.atlantis","Atlantis-Familie"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Barden-Familie"
"herocard.family.title.bard.short","Barde"
"herocard.family.title.beachparty","Strandparty-Familie"
"herocard.family.title.beachparty.short","Strandparty"
"herocard.family.title.bear","Bärenfamilie"
"herocard.family.title.bear.short","Bär"
"herocard.family.title.bear_pve.short","Bär"
"herocard.family.title.beauty_beast","„Die Schöne und das Biest“-Familie"
"herocard.family.title.beauty_beast.short","Die Schöne und das Biest"
"herocard.family.title.beowulf","Beowulf-Familie"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Champions-Familie"
"herocard.family.title.champions.short","Champions"
"herocard.family.title.circus","Sternfall-Familie"
"herocard.family.title.circus.short","Sternfall"
"herocard.family.title.classic","Klassische Familie"
"herocard.family.title.classic.short","Klassisch"
"herocard.family.title.construct","Konstrukt-Familie"
"herocard.family.title.construct.short","Konstrukt"
"herocard.family.title.cultist","Kultisten-Familie"
"herocard.family.title.cultist.short","Kultist"
"herocard.family.title.cupid","Amor-Familie"
"herocard.family.title.cupid.short","Amor"
"herocard.family.title.easter","Sprosstal-Familie"
"herocard.family.title.easter.short","Sprosstal"
"herocard.family.title.fable","Grimmwald-Familie"
"herocard.family.title.fable.short","Grimmwald"
"herocard.family.title.faun","Waldfaun-Familie"
"herocard.family.title.faun.short","Waldfaun"
"herocard.family.title.fleur_de_sang","„Fleur de Sang“-Familie"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Verlorenen-Familie"
"herocard.family.title.forsaken.short","Verlorene"
"herocard.family.title.fox","Fuchsfamilie"
"herocard.family.title.fox.short","Fuchs"
"herocard.family.title.gargoyle","Gargoyle-Familie"
"herocard.family.title.gargoyle.short","Gargoyle"
"herocard.family.title.garrison","Garnisonswachen-Familie"
"herocard.family.title.garrison.short","Garnisonswache"
"herocard.family.title.goblin","Goblin-Familie"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Wächter-Familie"
"herocard.family.title.guardian.short","Wächter"
"herocard.family.title.halloween","Morlovia-Familie"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Helheim-Reich"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Familie: Legenden {0}"
"herocard.family.title.hotm.short","Legenden {0}"
"herocard.family.title.institute","Institut-Familie"
"herocard.family.title.institute.short","Das Institut"
"herocard.family.title.investigator","Ermittler-Familie"
"herocard.family.title.investigator.short","Ermittler"
"herocard.family.title.japanese","Sakura-Familie"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheim-Reich"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Reisefamilie"
"herocard.family.title.journey.short","Reise"
"herocard.family.title.jungle_hunter","Dschungeljäger-Familie"
"herocard.family.title.jungle_hunter.short","Dschungeljäger"
"herocard.family.title.kalevala","Kalevala-Familie"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Königreich-Familie"
"herocard.family.title.kingdom.short","Königreich"
"herocard.family.title.knight","Avalon-Familie"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagune-Familie"
"herocard.family.title.lagoon.short","Lagune"
"herocard.family.title.magic","Magie-Familie"
"herocard.family.title.magic.short","Magie"
"herocard.family.title.magic_carpet","„Zauberteppich-Reiter“-Familie"
"herocard.family.title.magic_carpet.short","Zauberteppich"
"herocard.family.title.mahayoddha","Mahayoddha-Familie"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","„Maskierter Gott“-Familie"
"herocard.family.title.masquerade.short","Maskierter Gott"
"herocard.family.title.masquerade_pve","„Maskierter Gott“-Familie"
"herocard.family.title.masquerade_pve.short","Maskierter Gott"
"herocard.family.title.midgard","Midgard-Reich"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","„Mächtige Haustiere“-Familie"
"herocard.family.title.mighty_pet.short","Mächtiges Haustier"
"herocard.family.title.mimic","Mimenfamilie"
"herocard.family.title.mimic.short","Mime"
"herocard.family.title.moon","Mond-Familie"
"herocard.family.title.moon.short","Mond"
"herocard.family.title.moths","Motten-Familie"
"herocard.family.title.moths.short","Motte"
"herocard.family.title.musketeer","Musketier-Familie"
"herocard.family.title.musketeer.short","Musketier"
"herocard.family.title.muspelheim","Muspelheim-Reich"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Geheime Familie"
"herocard.family.title.mystery.short","Geheim"
"herocard.family.title.nidavellir","Reich Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheim-Reich"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninja-Familie"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninja-Familie"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Opernfamilie"
"herocard.family.title.opera.short","Oper"
"herocard.family.title.outlaw","Gesetzlose der Liangshan-Familie"
