"herocard.family.title.abyss","Underwild Family"
"herocard.family.title.abyss.short","Underwild"
"herocard.family.title.abyss_hunter","Abyss Hunter Family"
"herocard.family.title.abyss_hunter.short","Abyss Hunter"
"herocard.family.title.alfheim","Alfheim Realm"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Asgard Realm"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_dwarfs","Astral Dwarfs Family"
"herocard.family.title.astral_dwarfs.short","Astral Dwarfs"
"herocard.family.title.astral_elves","Astral Elves Family"
"herocard.family.title.astral_elves.short","Astral Elves"
"herocard.family.title.atlantis","Atlantis Family"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Bard Family"
"herocard.family.title.bard.short","Bard"
"herocard.family.title.beachparty","Beach Party Family"
"herocard.family.title.beachparty.short","Beach Party"
"herocard.family.title.bear","Bear Family"
"herocard.family.title.bear.short","Bear"
"herocard.family.title.bear_pve.short","Bear"
"herocard.family.title.beowulf","Beowulf Family"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Champions Family"
"herocard.family.title.champions.short","Champions"
"herocard.family.title.circus","Starfall Family"
"herocard.family.title.circus.short","Starfall"
"herocard.family.title.classic","Classic Family"
"herocard.family.title.classic.short","Classic"
"herocard.family.title.construct","Construct Family"
"herocard.family.title.construct.short","Construct"
"herocard.family.title.cultist","Cultist Family"
"herocard.family.title.cultist.short","Cultist"
"herocard.family.title.cupid","Cupid Family"
"herocard.family.title.cupid.short","Cupid"
"herocard.family.title.easter","Springvale Family"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Grimforest Family"
"herocard.family.title.fable.short","Grimforest"
"herocard.family.title.faun","Woodland Faun Family"
"herocard.family.title.faun.short","Woodland Faun"
"herocard.family.title.forsaken","Forsaken Family"
"herocard.family.title.forsaken.short","Forsaken"
"herocard.family.title.fox","Fox Family"
"herocard.family.title.fox.short","Fox"
"herocard.family.title.gargoyle","Gargoyle Family"
"herocard.family.title.gargoyle.short","Gargoyle"
"herocard.family.title.garrison","Garrison Guard Family"
"herocard.family.title.garrison.short","Garrison Guard"
"herocard.family.title.goblin","Goblin Family"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Guardian Family"
"herocard.family.title.guardian.short","Guardian"
"herocard.family.title.guestip1","WWE Superstar Family"
"herocard.family.title.guestip1.short","WWE Superstar"
"herocard.family.title.halloween","Morlovia Family"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Helheim Realm"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Legends {0} Family"
"herocard.family.title.hotm.short","Legends {0}"
"herocard.family.title.institute","The Institute Family"
"herocard.family.title.institute.short","The Institute"
"herocard.family.title.investigator","Investigator Family"
"herocard.family.title.investigator.short","Investigator"
"herocard.family.title.japanese","Sakura Family"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheim Realm"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Journey Family"
"herocard.family.title.journey.short","Journey"
"herocard.family.title.jungle_hunter","Jungle Hunter Family"
"herocard.family.title.jungle_hunter.short","Jungle Hunter"
"herocard.family.title.kalevala","Kalevala Family"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Kingdom Family"
"herocard.family.title.kingdom.short","Kingdom"
"herocard.family.title.knight","Avalon Family"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagoon Family"
"herocard.family.title.lagoon.short","Lagoon"
"herocard.family.title.magic","Magic Family"
"herocard.family.title.magic.short","Magic"
"herocard.family.title.magic_carpet","Magic Carpet Family"
"herocard.family.title.magic_carpet.short","Magic Carpet"
"herocard.family.title.mahayoddha","Mahayoddha Family"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Masked God Family"
"herocard.family.title.masquerade.short","Masked God"
"herocard.family.title.masquerade_pve","Masked God Family"
"herocard.family.title.masquerade_pve.short","Masked God"
"herocard.family.title.midgard","Midgard Realm"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Mighty Pet Family"
"herocard.family.title.mighty_pet.short","Mighty Pet"
"herocard.family.title.mimic","Mimic Family"
"herocard.family.title.mimic.short","Mimic"
"herocard.family.title.moon","Moon Family"
"herocard.family.title.moon.short","Moon"
"herocard.family.title.moths","Moth Family"
"herocard.family.title.moths.short","Moth"
"herocard.family.title.musketeer","Musketeer Family"
"herocard.family.title.musketeer.short","Musketeer"
"herocard.family.title.muspelheim","Muspelheim Realm"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Mystery Family"
"herocard.family.title.mystery.short","Mystery"
"herocard.family.title.nidavellir","Nidavellir Realm"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheim Realm"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninja Family"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninja Family"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Opera Family"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Outlaws of Liangshan Family"
