"herocard.family.title.abyss","Familia de las profundidades"
"herocard.family.title.abyss.short","Profundidades"
"herocard.family.title.abyss_hunter","Familia de cazadores abisales"
"herocard.family.title.abyss_hunter.short","Cazadores abisales"
"herocard.family.title.alfheim","Reino de Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Reino de Asgard"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Demonios astrales"
"herocard.family.title.astral_demons.short","Demonios astrales"
"herocard.family.title.astral_dwarfs","Familia de los enanos astrales"
"herocard.family.title.astral_dwarfs.short","Enanos astrales"
"herocard.family.title.astral_elves","Familia de elfos astrales"
"herocard.family.title.astral_elves.short","Elfos astrales"
"herocard.family.title.atlantis","Familia Atlantis"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Familia de trovadores"
"herocard.family.title.bard.short","Trovadores"
"herocard.family.title.beachparty","Familia de Fiesta en la playa"
"herocard.family.title.beachparty.short","Fiesta en la playa"
"herocard.family.title.bear","Familia Osos"
"herocard.family.title.bear.short","Osos"
"herocard.family.title.bear_pve.short","Osos"
"herocard.family.title.beauty_beast","Familia de la Bella y la Bestia"
"herocard.family.title.beauty_beast.short","La Bella y la Bestia"
"herocard.family.title.beowulf","Familia de Beowulf"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Familia de campeones"
"herocard.family.title.champions.short","Campeones"
"herocard.family.title.circus","Familia Supernova"
"herocard.family.title.circus.short","Supernova"
"herocard.family.title.classic","Familia clásica"
"herocard.family.title.classic.short","Clásico"
"herocard.family.title.construct","Familia de creaciones"
"herocard.family.title.construct.short","Creaciones"
"herocard.family.title.cultist","Familia de la secta"
"herocard.family.title.cultist.short","Secta"
"herocard.family.title.cupid","Familia de cupidos"
"herocard.family.title.cupid.short","Cupidos"
"herocard.family.title.easter","Familia de Springvale"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Familia del Bosque sombrío"
"herocard.family.title.fable.short","Bosque sombrío"
"herocard.family.title.faun","Familia de faunos forestales"
"herocard.family.title.faun.short","Faunos forestales"
"herocard.family.title.fleur_de_sang","Familia de Fleur de Sang"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Familia de forajidos"
"herocard.family.title.forsaken.short","Forajidos"
"herocard.family.title.fortune","Familia de bailarines de la fortuna"
"herocard.family.title.fortune.short","Fortuna"
"herocard.family.title.fox","Familia de zorros"
"herocard.family.title.fox.short","Zorros"
"herocard.family.title.gargoyle","Familia de gárgolas"
"herocard.family.title.gargoyle.short","Gárgolas"
"herocard.family.title.garrison","Familia de guardias del fortín"
"herocard.family.title.garrison.short","Guardias del fortín"
"herocard.family.title.goblin","Familia de duendes"
"herocard.family.title.goblin.short","Duendes"
"herocard.family.title.guardian","Familia de guardianes"
"herocard.family.title.guardian.short","Guardianes"
"herocard.family.title.halloween","Familia de Morlovia"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Reino de Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Familia de leyendas {0}"
"herocard.family.title.hotm.short","Leyendas {0}"
"herocard.family.title.institute","Familia del Instituto"
"herocard.family.title.institute.short","Instituto"
"herocard.family.title.investigator","Familia de investigadores"
"herocard.family.title.investigator.short","Investigadores"
"herocard.family.title.japanese","Familia Sakura"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Reino de Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Familia de viajeros"
"herocard.family.title.journey.short","Viajeros"
"herocard.family.title.jungle_hunter","Familia de cazadores de la selva"
"herocard.family.title.jungle_hunter.short","Cazadores de la selva"
"herocard.family.title.kalevala","Familia del Kalevala"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Familia del reino"
"herocard.family.title.kingdom.short","Reino"
"herocard.family.title.knight","Familia de Avalon"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Familia Lagoon"
"herocard.family.title.lagoon.short","Lagoon"
"herocard.family.title.magic","Familia mágica"
"herocard.family.title.magic.short","Mágica"
"herocard.family.title.magic_carpet","Familia de alfombras mágicas"
"herocard.family.title.magic_carpet.short","Alfombras mágicas"
"herocard.family.title.mahayoddha","Familia de Mahayoddha"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Familia de dioses enmascarados"
"herocard.family.title.masquerade.short","Dioses enmascarados"
"herocard.family.title.masquerade_pve","Familia de dioses enmascarados"
"herocard.family.title.masquerade_pve.short","Dioses enmascarados"
"herocard.family.title.midgard","Reino de Midgard"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Familia de mascotas poderosas"
"herocard.family.title.mighty_pet.short","Mascota poderosa"
"herocard.family.title.mimic","Familia de copias"
"herocard.family.title.mimic.short","Copias"
"herocard.family.title.moon","Familia lunar"
"herocard.family.title.moon.short","Lunar"
"herocard.family.title.moths","Familia de las polillas"
"herocard.family.title.moths.short","Polillas"
"herocard.family.title.musketeer","Familia de mosqueteros"
"herocard.family.title.musketeer.short","Mosqueteros"
"herocard.family.title.muspelheim","Reino de Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Familia misteriosa"
"herocard.family.title.mystery.short","Misteriosa"
"herocard.family.title.nidavellir","Reino de Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Reino de Niflheim"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Familia ninja"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Familia ninja"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Familia de la ópera"
"herocard.family.title.opera.short","Ópera"
"herocard.family.title.outlaw","Familia de bandidos del pantano"
"herocard.family.title.outlaw.short","Bandidos del pantano"
"herocard.family.title.owl","Familia de búhos"
"herocard.family.title.owl.short","Búhos"
"herocard.family.title.pirate","Familia pirata"
"herocard.family.title.pirate.short","Pirata"
"herocard.family.title.plains_hunter","Familia de cazadores de las llanuras"
"herocard.family.title.plains_hunter.short","Cazadores de las llanuras"
"herocard.family.title.raven","Familia Cuervos"
"herocard.family.title.raven.short","Cuervos"
"herocard.family.title.raven_pve.short","Cuervos"
"herocard.family.title.sand","Familia del Imperio de la arena"
"herocard.family.title.sand.short","Imperio de la arena"
"herocard.family.title.shady_scoundrels","Familia de alimañas turbias"
"herocard.family.title.shady_scoundrels.short","Alimañas turbias"
"herocard.family.title.slayers","Familia de asesinos"
"herocard.family.title.slayers.short","Asesinos"
"herocard.family.title.slime","Familia viscosa"
"herocard.family.title.slime.short","Viscosos"
"herocard.family.title.stag","Familia Ciervos"
"herocard.family.title.stag.short","Ciervos"
"herocard.family.title.stag_pve.short","Ciervos"
"herocard.family.title.styx","Familia estigia"
"herocard.family.title.styx.short","Estigia"
"herocard.family.title.sun","Familia solar"
"herocard.family.title.sun.short","Solar"
"herocard.family.title.super_elemental","Familia superelemental"
"herocard.family.title.super_elemental.short","Superelemental"
"herocard.family.title.svartalfheim","Reino de Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Familia de pesadillas de Atlantis"
"herocard.family.title.tales1_baddies.short","Pesadillas de Atlantis"
"herocard.family.title.tales1_goodies","Familia de defensores de Atlantis"
"herocard.family.title.tales1_goodies.short","Defensores de Atlantis"
"herocard.family.title.titan_hunter","Familia de cazatitanes"
"herocard.family.title.titan_hunter.short","Cazatitantes"
"herocard.family.title.vanaheim","Reino de Vanaheim"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Familia de verduras valerosas"
"herocard.family.title.vegetable.short","Verduras valerosas"
"herocard.family.title.villains","Familia de villanos"
"herocard.family.title.villains.short","Villanos"
"herocard.family.title.wild_cat","Familia de felinos salvajes"
"herocard.family.title.wild_cat.short","Felinos salvajes"
"herocard.family.title.winter","Familia de invierno"
"herocard.family.title.winter.short","Invierno"
"herocard.family.title.wolf","Familia Lobos"
"herocard.family.title.wolf.short","Lobos"
"herocard.family.title.wolf_pve.short","Lobos"
"herocard.family.title.wonderland","Familia de las Maravillas"
"herocard.family.title.wonderland.short","País de las Maravillas"
"herocard.family.title.zodiac","Familia del año lunar"
"herocard.family.title.zodiac.short","Año lunar"
