"herocard.family.title.abyss","Syvänkölän perhe"
"herocard.family.title.abyss.short","Syvänkölä"
"herocard.family.title.abyss_hunter","Syvyyksien metsästäjien perhe"
"herocard.family.title.abyss_hunter.short","Syvyyksien metsästäjä"
"herocard.family.title.alfheim","Alfheimin valtakunta"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Asgårdin valtakunta"
"herocard.family.title.asgard.short","Asgård"
"herocard.family.title.astral_demons","Astraalidemonit"
"herocard.family.title.astral_demons.short","Astraalidemonit"
"herocard.family.title.astral_dwarfs","Astraalikääpiöperhe"
"herocard.family.title.astral_dwarfs.short","Astraalikääpiö"
"herocard.family.title.astral_elves","Astraalihaltiaperhe"
"herocard.family.title.astral_elves.short","Astraalihaltia"
"herocard.family.title.atlantis","Atlantis-perhe"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Bardiperhe"
"herocard.family.title.bard.short","Bardi"
"herocard.family.title.beachparty","Rantajuhlaperhe"
"herocard.family.title.beachparty.short","Rantajuhla"
"herocard.family.title.bear","Karhuperhe"
"herocard.family.title.bear.short","Karhu"
"herocard.family.title.bear_pve.short","Karhu"
"herocard.family.title.beauty_beast","Kaunotar ja hirviö -perhe"
"herocard.family.title.beauty_beast.short","Kaunotar ja hirviö"
"herocard.family.title.beowulf","Beowulf-perhe"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Mestariperhe"
"herocard.family.title.champions.short","Mestari"
"herocard.family.title.circus","Tähtisade-perhe"
"herocard.family.title.circus.short","Tähtisade"
"herocard.family.title.classic","Klassikkoperhe"
"herocard.family.title.classic.short","Klassikko"
"herocard.family.title.construct","Rakennelmaperhe"
"herocard.family.title.construct.short","Rakennelma"
"herocard.family.title.cultist","Kultistiperhe"
"herocard.family.title.cultist.short","Kultisti"
"herocard.family.title.cupid","Cupidoperhe"
"herocard.family.title.cupid.short","Cupido"
"herocard.family.title.easter","Kevätlaakson perhe"
"herocard.family.title.easter.short","Kevätlaakso"
"herocard.family.title.fable","Julmametsän perhe"
"herocard.family.title.fable.short","Julmametsä"
"herocard.family.title.faun","Metsäfauniperhe"
"herocard.family.title.faun.short","Metsäfauni"
"herocard.family.title.fleur_de_sang","Fleur de Sang -perhe"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Hylkiöperhe"
"herocard.family.title.forsaken.short","Hylkiö"
"herocard.family.title.fortune","Onnentanssijaperhe"
"herocard.family.title.fortune.short","Onnen"
"herocard.family.title.fox","Kettuperhe"
"herocard.family.title.fox.short","Kettu"
"herocard.family.title.gargoyle","Gargoiliperhe"
"herocard.family.title.gargoyle.short","Gargoili"
"herocard.family.title.garrison","Varuskunnan vartijaperhe"
"herocard.family.title.garrison.short","Varuskunnan vartija"
"herocard.family.title.goblin","Hiisiperhe"
"herocard.family.title.goblin.short","Hiisi"
"herocard.family.title.guardian","Vartijaperhe"
"herocard.family.title.guardian.short","Vartija"
"herocard.family.title.halloween","Morlovian perhe"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Helheimin valtakunta"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Legendat {0} -perhe"
"herocard.family.title.hotm.short","Legendat {0}"
"herocard.family.title.institute","Laitosperhe"
"herocard.family.title.institute.short","Laitos"
"herocard.family.title.investigator","Tutkijaperhe"
"herocard.family.title.investigator.short","Tutkija"
"herocard.family.title.japanese","Sakura-perhe"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheimin valtakunta"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Matkaperhe"
"herocard.family.title.journey.short","Matka"
"herocard.family.title.jungle_hunter","Viidakkometsästäjäperhe"
"herocard.family.title.jungle_hunter.short","Viidakkometsästäjä"
"herocard.family.title.kalevala","Kalevala-perhe"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Kuningaskuntaperhe"
"herocard.family.title.kingdom.short","Kuningaskunta"
"herocard.family.title.knight","Avalonin perhe"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Laguuniperhe"
"herocard.family.title.lagoon.short","Laguuni"
"herocard.family.title.magic","Taikaperhe"
"herocard.family.title.magic.short","Taika"
"herocard.family.title.magic_carpet","Taikamattoperhe"
"herocard.family.title.magic_carpet.short","Taikamatto"
"herocard.family.title.mahayoddha","Mahayoddha-perhe"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Naamiojumalaperhe"
"herocard.family.title.masquerade.short","Naamiojumala"
"herocard.family.title.masquerade_pve","Naamiojumalaperhe"
"herocard.family.title.masquerade_pve.short","Naamiojumala"
"herocard.family.title.midgard","Midgårdin valtakunta"
"herocard.family.title.midgard.short","Midgård"
"herocard.family.title.mighty_pet","Mahtilemmikkiperhe"
"herocard.family.title.mighty_pet.short","Mahtilemmikki"
"herocard.family.title.mimic","Matkijaperhe"
"herocard.family.title.mimic.short","Matkija"
"herocard.family.title.moon","Kuuperhe"
"herocard.family.title.moon.short","Kuu"
"herocard.family.title.moths","Koiperhe"
"herocard.family.title.moths.short","Koi"
"herocard.family.title.musketeer","Musketööriperhe"
"herocard.family.title.musketeer.short","Musketööri"
"herocard.family.title.muspelheim","Muspelheimin valtakunta"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Mysteeriperhe"
"herocard.family.title.mystery.short","Mysteeri"
"herocard.family.title.nidavellir","Nidavellirin valtakunta"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheimin valtakunta"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninja-perhe"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninja-perhe"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Oopperaperhe"
"herocard.family.title.opera.short","Ooppera"
"herocard.family.title.outlaw","Liangshanin henkipattoperhe"
"herocard.family.title.outlaw.short","Liangshanin henkipatto"
"herocard.family.title.owl","Pöllöperhe"
"herocard.family.title.owl.short","Pöllö"
"herocard.family.title.pirate","Merirosvoperhe"
"herocard.family.title.pirate.short","Merirosvo"
"herocard.family.title.plains_hunter","Tasankometsästäjäperhe"
"herocard.family.title.plains_hunter.short","Tasankometsästäjä"
"herocard.family.title.raven","Korppiperhe"
"herocard.family.title.raven.short","Korppi"
"herocard.family.title.raven_pve.short","Korppi"
"herocard.family.title.rodent","Seikkaileva jyrsijäperhe"
"herocard.family.title.rodent.short","Seikkaileva jyrsijä"
"herocard.family.title.ronin","Ronin-perhe"
"herocard.family.title.ronin.short","Ronin"
"herocard.family.title.sand","Hiekkavaltakuntaperhe"
"herocard.family.title.sand.short","Hiekkavaltakunta"
"herocard.family.title.shady_scoundrels","Ketkuperhe"
"herocard.family.title.shady_scoundrels.short","Ketku"
"herocard.family.title.slayers","Surmaajaperhe"
"herocard.family.title.slayers.short","Surmaaja"
"herocard.family.title.slime","Limaperhe"
"herocard.family.title.slime.short","Lima"
"herocard.family.title.stag","Hirviperhe"
"herocard.family.title.stag.short","Hirvi"
"herocard.family.title.stag_pve.short","Hirvi"
"herocard.family.title.styx","Styksperhe"
"herocard.family.title.styx.short","Styks"
"herocard.family.title.sun","Aurinkoperhe"
"herocard.family.title.sun.short","Aurinko"
"herocard.family.title.super_elemental","Superelementaaliperhe"
"herocard.family.title.super_elemental.short","Superelementaali"
"herocard.family.title.svartalfheim","Svartalfheimin valtakunta"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Atlantiksen painajaiset -perhe"
"herocard.family.title.tales1_baddies.short","Atlantiksen painajaiset"
"herocard.family.title.tales1_goodies","Atlantiksen puolustajat -perhe"
"herocard.family.title.tales1_goodies.short","Atlantiksen puolustajat"
"herocard.family.title.titan_hunter","Titaaninmetsästäjäperhe"
"herocard.family.title.titan_hunter.short","Titaaninmetsästäjä"
"herocard.family.title.vanaheim","Vanaheimin valtakunta"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Urhoollinen kasviperhe"
"herocard.family.title.vegetable.short","Urhoollinen kasvi"
"herocard.family.title.villains","Konnaperhe"
"herocard.family.title.villains.short","Konna"
"herocard.family.title.wild_cat","Villikissaperhe"
"herocard.family.title.wild_cat.short","Villikissa"
"herocard.family.title.winter","Talviperhe"
"herocard.family.title.winter.short","Talvi"
"herocard.family.title.wolf","Susiperhe"
"herocard.family.title.wolf.short","Susi"
"herocard.family.title.wolf_pve.short","Susi"
"herocard.family.title.wonderland","Ihmemaan perhe"
"herocard.family.title.wonderland.short","Ihmemaa"
"herocard.family.title.zodiac","Kuukalenteriperhe"
"herocard.family.title.zodiac.short","Kuukalenteri"
