"herocard.family.title.abyss","Famille Souterrain"
"herocard.family.title.abyss.short","Souterrain"
"herocard.family.title.abyss_hunter","Famille Chasseurs des abysses"
"herocard.family.title.abyss_hunter.short","Chasseur des abysses"
"herocard.family.title.alfheim","Royaume d'Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Royaume d'Asgard"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Démons astraux"
"herocard.family.title.astral_demons.short","Démons astraux"
"herocard.family.title.astral_dwarfs","Famille des nains astraux"
"herocard.family.title.astral_dwarfs.short","Nains astraux"
"herocard.family.title.astral_elves","Famille des elfes astraux"
"herocard.family.title.astral_elves.short","Elfes astraux"
"herocard.family.title.atlantis","Famille de l'Atlantide"
"herocard.family.title.atlantis.short","Atlantide"
"herocard.family.title.bard","Famille Barde"
"herocard.family.title.bard.short","Barde"
"herocard.family.title.beachparty","Famille Fête à la plage"
"herocard.family.title.beachparty.short","Fête à la plage"
"herocard.family.title.bear","Famille des ours"
"herocard.family.title.bear.short","Ours"
"herocard.family.title.bear_pve.short","Ours"
"herocard.family.title.beauty_beast","Famille de la belle et la bête"
"herocard.family.title.beauty_beast.short","La belle et la bête"
"herocard.family.title.beowulf","Famille Beowulf"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Famille de champions"
"herocard.family.title.champions.short","Champions"
"herocard.family.title.circus","Famille Pluie d'étoiles"
"herocard.family.title.circus.short","Pluie d'étoiles"
"herocard.family.title.classic","Famille classique"
"herocard.family.title.classic.short","Classique"
"herocard.family.title.construct","Famille Golems"
"herocard.family.title.construct.short","Golem"
"herocard.family.title.cultist","Famille des fanatiques"
"herocard.family.title.cultist.short","Fanatique"
"herocard.family.title.cupid","Famille Cupidon"
"herocard.family.title.cupid.short","Cupidon"
"herocard.family.title.easter","Famille du Vallon d'Or"
"herocard.family.title.easter.short","Le Vallon d'Or"
"herocard.family.title.fable","Famille Grimbois"
"herocard.family.title.fable.short","Grimbois"
"herocard.family.title.faun","Famille Faune des bois"
"herocard.family.title.faun.short","Faune des bois"
"herocard.family.title.fleur_de_sang","Famille Fleur de Sang"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Famille des Égarés"
"herocard.family.title.forsaken.short","Égarés"
"herocard.family.title.fox","Famille Renard"
"herocard.family.title.fox.short","Renard"
"herocard.family.title.gargoyle","Famille Gargouille"
"herocard.family.title.gargoyle.short","Gargouille"
"herocard.family.title.garrison","Famille de la garde de la garnison"
"herocard.family.title.garrison.short","Garde de la garnison"
"herocard.family.title.goblin","Famille des gobelins"
"herocard.family.title.goblin.short","Gobelin"
"herocard.family.title.guardian","Famille Gardiens"
"herocard.family.title.guardian.short","Gardien"
"herocard.family.title.halloween","Famille Morlovia"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Royaume d'Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Famille Légendes {0}"
"herocard.family.title.hotm.short","Légendes {0}"
"herocard.family.title.institute","Famille de l'Institut"
"herocard.family.title.institute.short","Institut"
"herocard.family.title.investigator","Famille des détectives"
"herocard.family.title.investigator.short","Détective"
"herocard.family.title.japanese","Famille Sakura"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Royaume de Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Famille Voyage"
"herocard.family.title.journey.short","Voyage"
"herocard.family.title.jungle_hunter","Famille Chasseurs de la jungle"
"herocard.family.title.jungle_hunter.short","Chasseur de la jungle"
"herocard.family.title.kalevala","Famille Kalevala"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Famille Royaume"
"herocard.family.title.kingdom.short","Royaume"
"herocard.family.title.knight","Famille Avalon"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Famille du lagon"
"herocard.family.title.lagoon.short","Lagon"
"herocard.family.title.magic","Famille magique"
"herocard.family.title.magic.short","Magique"
"herocard.family.title.magic_carpet","Famille du tapis volant"
"herocard.family.title.magic_carpet.short","Tapis volant"
"herocard.family.title.mahayoddha","Famille Mahayoddha"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Famille des dieux masqués"
"herocard.family.title.masquerade.short","Dieux masqués"
"herocard.family.title.masquerade_pve","Famille des dieux masqués"
"herocard.family.title.masquerade_pve.short","Dieux masqués"
"herocard.family.title.midgard","Royaume de Midgard"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Famille Animaux puissants"
"herocard.family.title.mighty_pet.short","Animal puissant"
"herocard.family.title.mimic","Famille des imposteurs"
"herocard.family.title.mimic.short","Imposteurs"
"herocard.family.title.moon","Famille Lune"
"herocard.family.title.moon.short","Lune"
"herocard.family.title.moths","Famille des mites"
"herocard.family.title.moths.short","Mites"
"herocard.family.title.musketeer","Famille des mousquetaires"
"herocard.family.title.musketeer.short","Mousquetaire"
"herocard.family.title.muspelheim","Royaume de Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Famille mystère"
"herocard.family.title.mystery.short","Mystère"
"herocard.family.title.nidavellir","Royaume de Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Royaume de Niflheim"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Famille de ninjas"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Famille de ninjas"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Famille Opéra"
"herocard.family.title.opera.short","Opéra"
"herocard.family.title.outlaw","Famille des hors-la-loi de Liangshan"
"herocard.family.title.outlaw.short","Hors-la-loi de Liangshan"
"herocard.family.title.owl","Famille de hiboux"
"herocard.family.title.owl.short","Hibou"
"herocard.family.title.pirate","Famille pirate"
"herocard.family.title.pirate.short","Pirate"
"herocard.family.title.plains_hunter","Famille Chasseurs des plaines"
"herocard.family.title.plains_hunter.short","Chasseur des plaines"
"herocard.family.title.raven","Famille des Corbeaux"
"herocard.family.title.raven.short","Corbeau"
"herocard.family.title.raven_pve.short","Corbeau"
"herocard.family.title.sand","Famille de l'Empire des sables"
"herocard.family.title.sand.short","Empire des sables"
"herocard.family.title.shady_scoundrels","Famille des scélérats"
"herocard.family.title.shady_scoundrels.short","Scélérats"
"herocard.family.title.slayers","Famille Tueurs"
"herocard.family.title.slayers.short","Tueur"
"herocard.family.title.slime","Famille Gluants"
"herocard.family.title.slime.short","Gluant"
"herocard.family.title.stag","Famille des cerfs"
"herocard.family.title.stag.short","Cerfs"
"herocard.family.title.stag_pve.short","Cerfs"
"herocard.family.title.styx","Famille Styx"
"herocard.family.title.styx.short","Styx"
"herocard.family.title.sun","Famille Soleil"
"herocard.family.title.sun.short","Soleil"
"herocard.family.title.super_elemental","Famille Super élémentaire"
"herocard.family.title.super_elemental.short","Super élémentaire"
"herocard.family.title.svartalfheim","Royaume de Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Famille Cauchemars de l'Atlantide"
"herocard.family.title.tales1_baddies.short","Cauchemars de l'Atlantide"
"herocard.family.title.tales1_goodies","Famille Défenseurs de l'Atlantide"
"herocard.family.title.tales1_goodies.short","Défenseurs de l'Atlantide"
"herocard.family.title.vanaheim","Royaume de Vanaheim"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Famille des braves légumes"
"herocard.family.title.vegetable.short","Braves légumes"
"herocard.family.title.villains","Famille Vauriens"
"herocard.family.title.villains.short","Vaurien"
"herocard.family.title.wild_cat","Famille des chats sauvages"
"herocard.family.title.wild_cat.short","Chats sauvages"
"herocard.family.title.winter","Famille hivernale"
"herocard.family.title.winter.short","Hiver"
"herocard.family.title.wolf","Famille des Loups"
"herocard.family.title.wolf.short","Loup"
"herocard.family.title.wolf_pve.short","Loup"
"herocard.family.title.wonderland","Famille Pays des merveilles"
"herocard.family.title.wonderland.short","Pays des merveilles"
"herocard.family.title.zodiac","Famille Année lunaire"
"herocard.family.title.zodiac.short","Année lunaire"
