"herocard.family.title.abyss","Keluarga Jurang Liar"
"herocard.family.title.abyss.short","Jurang Liar"
"herocard.family.title.abyss_hunter","Keluarga Pemburu Jurang"
"herocard.family.title.abyss_hunter.short","Pemburu Jurang"
"herocard.family.title.alfheim","Area Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Area Asgard"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Setan Astral"
"herocard.family.title.astral_demons.short","Setan Astral"
"herocard.family.title.astral_dwarfs","Keluarga Kurcaci Astral"
"herocard.family.title.astral_dwarfs.short","Kurcaci Astral"
"herocard.family.title.astral_elves","Keluarga Elf Astral"
"herocard.family.title.astral_elves.short","Elf Astral"
"herocard.family.title.atlantis","Keluarga Atlantis"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Keluarga Penyair"
"herocard.family.title.bard.short","Penyair"
"herocard.family.title.beachparty","Keluarga Pesta Pantai"
"herocard.family.title.beachparty.short","Pesta Pantai"
"herocard.family.title.bear","Keluarga Beruang"
"herocard.family.title.bear.short","Beruang"
"herocard.family.title.bear_pve.short","Beruang"
"herocard.family.title.beauty_beast","Keluarga Cantik dan si Buruk Rupa"
"herocard.family.title.beauty_beast.short","Cantik dan si Buruk Rupa"
"herocard.family.title.beowulf","Keluarga Beowulf"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Keluarga Juara"
"herocard.family.title.champions.short","Juara"
"herocard.family.title.circus","Keluarga Bintang Jatuh"
"herocard.family.title.circus.short","Bintang Jatuh"
"herocard.family.title.classic","Keluarga Klasik"
"herocard.family.title.classic.short","Klasik"
"herocard.family.title.construct","Keluarga Konstruksi"
"herocard.family.title.construct.short","Konstruksi"
"herocard.family.title.cultist","Keluarga Kultus"
"herocard.family.title.cultist.short","Kultus"
"herocard.family.title.cupid","Keluarga Cupid"
"herocard.family.title.cupid.short","Cupid"
"herocard.family.title.easter","Keluarga Springvale"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Keluarga Hutankelam"
"herocard.family.title.fable.short","Hutankelam"
"herocard.family.title.faun","Keluarga Faun Hutan"
"herocard.family.title.faun.short","Faun Hutan"
"herocard.family.title.fleur_de_sang","Keluarga Fleur de Sang"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Keluarga yang Diabaikan"
"herocard.family.title.forsaken.short","Yang Diabaikan"
"herocard.family.title.fortune","Keluarga Penari Hoki"
"herocard.family.title.fortune.short","Hoki"
"herocard.family.title.fox","Keluarga Rubah"
"herocard.family.title.fox.short","Rubah"
"herocard.family.title.gargoyle","Keluarga Gargoyle"
"herocard.family.title.gargoyle.short","Gargoyle"
"herocard.family.title.garrison","Keluarga Penjaga Garnisun"
"herocard.family.title.garrison.short","Penjaga Garnisun"
"herocard.family.title.goblin","Keluarga Goblin"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Keluarga Penjaga"
"herocard.family.title.guardian.short","Penjaga"
"herocard.family.title.halloween","Keluarga Morlovia"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Area Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Keluarga {0} Legenda"
"herocard.family.title.hotm.short","{0} Legenda"
"herocard.family.title.institute","Keluarga Institut"
"herocard.family.title.institute.short","Institut"
"herocard.family.title.investigator","Keluarga Penyelidik"
"herocard.family.title.investigator.short","Penyelidik"
"herocard.family.title.japanese","Keluarga Sakura"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Area Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Keluarga Perjalanan"
"herocard.family.title.journey.short","Perjalanan"
"herocard.family.title.jungle_hunter","Keluarga Pemburu Hutan"
"herocard.family.title.jungle_hunter.short","Pemburu Hutan"
"herocard.family.title.kalevala","Keluarga Kalevala"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Keluarga Kerajaan"
"herocard.family.title.kingdom.short","Kerajaan"
"herocard.family.title.knight","Keluarga Avalon"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Keluarga Laguna"
"herocard.family.title.lagoon.short","Laguna"
"herocard.family.title.magic","Keluarga Sihir"
"herocard.family.title.magic.short","Sihir"
"herocard.family.title.magic_carpet","Keluarga Karpet Ajaib"
"herocard.family.title.magic_carpet.short","Karpet Ajaib"
"herocard.family.title.mahayoddha","Keluarga Mahayoddha"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Keluarga Dewa Bertopeng"
