"herocard.family.title.abyss","Famiglia Profondità"
"herocard.family.title.abyss.short","Profondità"
"herocard.family.title.abyss_hunter","Famiglia Cacciatori degli abissi"
"herocard.family.title.abyss_hunter.short","Cacciatori degli abissi"
"herocard.family.title.alfheim","Regno di Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Regno di Asgard"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Demoni astrali"
"herocard.family.title.astral_demons.short","Demoni astrali"
"herocard.family.title.astral_dwarfs","Famiglia Nani astrali"
"herocard.family.title.astral_dwarfs.short","Nani astrali"
"herocard.family.title.astral_elves","Famiglia Elfi astrali"
"herocard.family.title.astral_elves.short","Elfi astrali"
"herocard.family.title.atlantis","Famiglia Atlantide"
"herocard.family.title.atlantis.short","Atlantide"
"herocard.family.title.bard","Famiglia Bardi"
"herocard.family.title.bard.short","Bardi"
"herocard.family.title.beachparty","Famiglia Festa sulla spiaggia"
"herocard.family.title.beachparty.short","Festa sulla spiaggia"
"herocard.family.title.bear","Famiglia Orsi"
"herocard.family.title.bear.short","Orso"
"herocard.family.title.bear_pve.short","Orso"
"herocard.family.title.beauty_beast","Famiglia La Bella e la Bestia"
"herocard.family.title.beauty_beast.short","La Bella e la Bestia"
"herocard.family.title.beowulf","Famiglia Beowulf"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Famiglia Campioni"
"herocard.family.title.champions.short","Campioni"
"herocard.family.title.circus","Famiglia Pioggia stellare"
"herocard.family.title.circus.short","Pioggia stellare"
"herocard.family.title.classic","Famiglia Classici"
"herocard.family.title.classic.short","Classici"
"herocard.family.title.construct","Famiglia Costrutti"
"herocard.family.title.construct.short","Costrutti"
"herocard.family.title.cultist","Famiglia Cultisti"
"herocard.family.title.cultist.short","Cultisti"
"herocard.family.title.cupid","Famiglia Amorini"
"herocard.family.title.cupid.short","Amorini"
"herocard.family.title.easter","Famiglia di Springvale"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Famiglia Tetrobosco"
"herocard.family.title.fable.short","Tetrobosco"
"herocard.family.title.faun","Famiglia Fauni dei boschi"
"herocard.family.title.faun.short","Fauni dei boschi"
"herocard.family.title.fleur_de_sang","Famiglia Fleur de Sang"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Famiglia Abbandonati"
"herocard.family.title.forsaken.short","Abbandonati"
"herocard.family.title.fortune","Famiglia Danzatori della fortuna"
"herocard.family.title.fortune.short","Fortuna"
"herocard.family.title.fox","Famiglia Volpi"
"herocard.family.title.fox.short","Volpi"
"herocard.family.title.gargoyle","Famiglia Gargoyle"
"herocard.family.title.gargoyle.short","Gargoyle"
"herocard.family.title.garrison","Famiglia Guardie di Guarnigione"
"herocard.family.title.garrison.short","Guardia di Guarnigione"
"herocard.family.title.goblin","Famiglia goblin"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Famiglia Guardiani"
"herocard.family.title.guardian.short","Guardiani"
"herocard.family.title.halloween","Famiglia Morlovia"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Regno di Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Famiglia Leggende {0}"
"herocard.family.title.hotm.short","Leggende {0}"
"herocard.family.title.institute","La famiglia dell'Istituto"
"herocard.family.title.institute.short","L'Istituto"
"herocard.family.title.investigator","Famiglia Investigatori"
