"herocard.family.title.abyss","アンダーワイルドファミリー"
"herocard.family.title.abyss.short","アンダーワイルド"
"herocard.family.title.abyss_hunter","地獄のハンターファミリー"
"herocard.family.title.abyss_hunter.short","地獄のハンター"
"herocard.family.title.alfheim","アルフヘイム領域"
"herocard.family.title.alfheim.short","アルフヘイム"
"herocard.family.title.asgard","アースガルズ領域"
"herocard.family.title.asgard.short","アースガルズ"
"herocard.family.title.astral_demons","アストラルデーモン"
"herocard.family.title.astral_demons.short","アストラルデーモン"
"herocard.family.title.astral_dwarfs","アストラルドワーフファミリー"
"herocard.family.title.astral_dwarfs.short","アストラルドワーフ"
"herocard.family.title.astral_elves","アストラルエルフファミリー"
"herocard.family.title.astral_elves.short","アストラルエルフ"
"herocard.family.title.atlantis","アトランティスファミリー"
"herocard.family.title.atlantis.short","アトランティス"
"herocard.family.title.bard","詩人ファミリー"
"herocard.family.title.bard.short","詩人"
"herocard.family.title.beachparty","ビーチパーティーファミリー"
"herocard.family.title.beachparty.short","ビーチパーティー"
"herocard.family.title.bear","クマファミリー"
"herocard.family.title.bear.short","クマ"
"herocard.family.title.bear_pve.short","クマ"
"herocard.family.title.beauty_beast","美女と野獣ファミリー"
"herocard.family.title.beauty_beast.short","美女と野獣"
"herocard.family.title.beowulf","ベオウルフ ファミリー"
"herocard.family.title.beowulf.short","ベオウルフ"
"herocard.family.title.champions","チャンピオンファミリー"
"herocard.family.title.champions.short","チャンピオン"
"herocard.family.title.circus","スターフォールファミリー"
"herocard.family.title.circus.short","スターフォール"
"herocard.family.title.classic","クラシック ファミリー"
"herocard.family.title.classic.short","クラシック"
"herocard.family.title.construct","蓄積ファミリー"
"herocard.family.title.construct.short","蓄積"
"herocard.family.title.cultist","カルト信者のファミリー"
"herocard.family.title.cultist.short","カルト信者"
"herocard.family.title.cupid","キューピッドファミリー"
"herocard.family.title.cupid.short","キューピッド"
"herocard.family.title.easter","スプリングヴェイルファミリー"
"herocard.family.title.easter.short","スプリングヴェイル"
"herocard.family.title.fable","グリムの森ファミリー"
"herocard.family.title.fable.short","グリムの森"
"herocard.family.title.faun","森のファウヌスファミリー"
"herocard.family.title.faun.short","森のファウヌス"
"herocard.family.title.fleur_de_sang","血の花ファミリー"
"herocard.family.title.fleur_de_sang.short","血の花"
"herocard.family.title.fleur_de_sang_pve_tier1.short","血の花"
"herocard.family.title.fleur_de_sang_pve_tier2.short","血の花"
"herocard.family.title.fleur_de_sang_pve_tier3.short","血の花"
"herocard.family.title.forsaken","見捨てられしファミリー"
"herocard.family.title.forsaken.short","見捨てられし者たち"
"herocard.family.title.fox","キツネファミリー"
"herocard.family.title.fox.short","キツネ"
"herocard.family.title.gargoyle","ガーゴイルファミリー"
"herocard.family.title.gargoyle.short","ガーゴイル"
"herocard.family.title.garrison","守備隊衛兵のファミリー"
"herocard.family.title.garrison.short","守備隊衛兵"
"herocard.family.title.goblin","ゴブリンファミリー"
"herocard.family.title.goblin.short","ゴブリン"
"herocard.family.title.guardian","ガーディアンファミリー"
"herocard.family.title.guardian.short","ガーディアン"
"herocard.family.title.halloween","モルロヴィアファミリー"
"herocard.family.title.halloween.short","モルロヴィア"
"herocard.family.title.helheim","ヘルヘイム領域"
"herocard.family.title.helheim.short","ヘルヘイム"
"herocard.family.title.hotm","{0}年レジェンドファミリー"
"herocard.family.title.hotm.short","{0}年レジェンド"
"herocard.family.title.institute","研究所ファミリー"
"herocard.family.title.institute.short","研究所"
"herocard.family.title.investigator","調査官のファミリー"
"herocard.family.title.investigator.short","調査官"
"herocard.family.title.japanese","サクラファミリー"
"herocard.family.title.japanese.short","サクラ"
"herocard.family.title.jotunheim","ヨトゥンヘイム領域"
"herocard.family.title.jotunheim.short","ヨトゥンヘイム"
"herocard.family.title.journey","旅人ファミリー"
