"herocard.family.title.abyss","언더와일드 패밀리"
"herocard.family.title.abyss.short","언더와일드"
"herocard.family.title.abyss_hunter","심연의 헌터 패밀리"
"herocard.family.title.abyss_hunter.short","심연의 헌터"
"herocard.family.title.alfheim","알프하임 왕국"
"herocard.family.title.alfheim.short","알프하임"
"herocard.family.title.asgard","아스가르드 왕국"
"herocard.family.title.asgard.short","아스가르드"
"herocard.family.title.astral_demons","아스트랄 악귀"
"herocard.family.title.astral_demons.short","아스트랄 악귀"
"herocard.family.title.astral_dwarfs","아스트랄 드워프 패밀리"
"herocard.family.title.astral_dwarfs.short","아스트랄 드워프"
"herocard.family.title.astral_elves","아스트랄 엘프 패밀리"
"herocard.family.title.astral_elves.short","아스트랄 엘프"
"herocard.family.title.atlantis","아틀란티스 패밀리"
"herocard.family.title.atlantis.short","아틀란티스"
"herocard.family.title.bard","시인 패밀리"
"herocard.family.title.bard.short","시인"
"herocard.family.title.beachparty","해변 파티 패밀리"
"herocard.family.title.beachparty.short","해변 파티"
"herocard.family.title.bear","곰 패밀리"
"herocard.family.title.bear.short","곰"
"herocard.family.title.bear_pve.short","곰"
"herocard.family.title.beauty_beast","미녀와 야수 패밀리"
"herocard.family.title.beauty_beast.short","미녀와 야수"
"herocard.family.title.beowulf","베오울프 패밀리"
"herocard.family.title.beowulf.short","베오울프"
"herocard.family.title.champions","챔피언 패밀리"
"herocard.family.title.champions.short","챔피언"
"herocard.family.title.circus","스타폴 패밀리"
"herocard.family.title.circus.short","스타폴"
"herocard.family.title.classic","클래식 패밀리"
"herocard.family.title.classic.short","클래식"
"herocard.family.title.construct","수호물 패밀리"
"herocard.family.title.construct.short","수호물"
"herocard.family.title.cultist","숭배자 패밀리"
"herocard.family.title.cultist.short","숭배자"
"herocard.family.title.cupid","큐피드 패밀리"
"herocard.family.title.cupid.short","큐피드"
"herocard.family.title.easter","스프링베일 패밀리"
"herocard.family.title.easter.short","스프링베일"
"herocard.family.title.fable","음험한 숲 패밀리"
"herocard.family.title.fable.short","음험한 숲"
"herocard.family.title.faun","숲속 파우누스 패밀리"
"herocard.family.title.faun.short","숲속 파우누스"
"herocard.family.title.fleur_de_sang","플뢰르 드 상 패밀리"
"herocard.family.title.fleur_de_sang.short","플뢰르 드 상"
"herocard.family.title.fleur_de_sang_pve_tier1.short","플뢰르 드 상"
"herocard.family.title.fleur_de_sang_pve_tier2.short","플뢰르 드 상"
"herocard.family.title.fleur_de_sang_pve_tier3.short","플뢰르 드 상"
"herocard.family.title.forsaken","버림받은 패밀리"
"herocard.family.title.forsaken.short","버림받은"
"herocard.family.title.fortune","행운 댄서 패밀리"
"herocard.family.title.fortune.short","행운"
"herocard.family.title.fox","여우 패밀리"
"herocard.family.title.fox.short","여우"
"herocard.family.title.gargoyle","가고일 패밀리"
"herocard.family.title.gargoyle.short","가고일"
"herocard.family.title.garrison","수비대 경비병 패밀리"
"herocard.family.title.garrison.short","수비대 경비병"
"herocard.family.title.goblin","고블린 패밀리"
"herocard.family.title.goblin.short","고블린"
"herocard.family.title.guardian","수호자 패밀리"
"herocard.family.title.guardian.short","수호자"
"herocard.family.title.halloween","몰로비아 패밀리"
"herocard.family.title.halloween.short","몰로비아"
"herocard.family.title.helheim","헬하임 왕국"
"herocard.family.title.helheim.short","헬하임"
"herocard.family.title.hotm","전설 {0} 패밀리"
"herocard.family.title.hotm.short","전설 {0}"
"herocard.family.title.institute","근본 패밀리"
"herocard.family.title.institute.short","근본"
"herocard.family.title.investigator","조사원 패밀리"
"herocard.family.title.investigator.short","조사원"
"herocard.family.title.japanese","사쿠라 패밀리"
"herocard.family.title.japanese.short","사쿠라"
"herocard.family.title.jotunheim","요툰하임 왕국"
"herocard.family.title.jotunheim.short","요툰하임"
"herocard.family.title.journey","여행 패밀리"
"herocard.family.title.journey.short","여행"
"herocard.family.title.jungle_hunter","정글 헌터 패밀리"
"herocard.family.title.jungle_hunter.short","정글 헌터"
"herocard.family.title.kalevala","칼레발라 패밀리"
"herocard.family.title.kalevala.short","칼레발라"
"herocard.family.title.kingdom","왕국 패밀리"
"herocard.family.title.kingdom.short","왕국"
"herocard.family.title.knight","아발론 패밀리"
"herocard.family.title.knight.short","아발론"
"herocard.family.title.lagoon","라군 패밀리"
"herocard.family.title.lagoon.short","라군"
"herocard.family.title.magic","매직 패밀리"
"herocard.family.title.magic.short","매직"
"herocard.family.title.magic_carpet","마법 양탄자 패밀리"
"herocard.family.title.magic_carpet.short","마법 양탄자"
"herocard.family.title.mahayoddha","마헤이요다 패밀리"
"herocard.family.title.mahayoddha.short","마헤이요다"
"herocard.family.title.masquerade","가면 쓴 신 패밀리"
"herocard.family.title.masquerade.short","가면 쓴 신"
"herocard.family.title.masquerade_pve","가면 쓴 신 패밀리"
"herocard.family.title.masquerade_pve.short","가면 쓴 신"
"herocard.family.title.midgard","미드가르드 왕국"
"herocard.family.title.midgard.short","미드가르드"
"herocard.family.title.mighty_pet","강력한 펫 패밀리"
"herocard.family.title.mighty_pet.short","강력한 펫"
"herocard.family.title.mimic","미믹 패밀리"
"herocard.family.title.mimic.short","미믹"
"herocard.family.title.moon","달 패밀리"
"herocard.family.title.moon.short","달"
"herocard.family.title.moths","나방 패밀리"
"herocard.family.title.moths.short","나방"
"herocard.family.title.musketeer","총사 패밀리"
