"herocard.family.title.abyss","Onderwildernis-familie"
"herocard.family.title.abyss.short","Onderwildernis"
"herocard.family.title.abyss_hunter","Afgrondjagerfamilie"
"herocard.family.title.abyss_hunter.short","Afgrondjager"
"herocard.family.title.alfheim","Alfheim-rijk"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Asgard-rijk"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Astrale demonen"
"herocard.family.title.astral_demons.short","Astrale demonen"
"herocard.family.title.astral_dwarfs","Astrale dwergen-familie"
"herocard.family.title.astral_dwarfs.short","Astrale dwergen"
"herocard.family.title.astral_elves","Astrale elfen-familie"
"herocard.family.title.astral_elves.short","Astrale elfen"
"herocard.family.title.atlantis","Atlantis-familie"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Bard-familie"
"herocard.family.title.bard.short","Bard"
"herocard.family.title.beachparty","Strandfeest-familie"
"herocard.family.title.beachparty.short","Strandfeest"
"herocard.family.title.bear","Berenfamilie"
"herocard.family.title.bear.short","Beer"
"herocard.family.title.bear_pve.short","Beer"
"herocard.family.title.beauty_beast","Belle en het beest-familie"
"herocard.family.title.beauty_beast.short","Belle en het beest"
"herocard.family.title.beowulf","Beowulf-familie"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Kampioensfamilie"
"herocard.family.title.champions.short","Kampioenen"
"herocard.family.title.circus","Valster-familie"
"herocard.family.title.circus.short","Valster"
"herocard.family.title.classic","Klassieke familie"
"herocard.family.title.classic.short","Klassiek"
"herocard.family.title.construct","Constructie-familie"
"herocard.family.title.construct.short","Constructie"
"herocard.family.title.cultist","Sekteledenfamilie"
"herocard.family.title.cultist.short","Sektelid"
"herocard.family.title.cupid","Cupido-familie"
"herocard.family.title.cupid.short","Cupido"
"herocard.family.title.easter","Springvale-familie"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Familie uit het Boze woud"
"herocard.family.title.fable.short","Boze woud"
"herocard.family.title.faun","Bosgodfamilie"
"herocard.family.title.faun.short","Bosgod"
"herocard.family.title.fleur_de_sang","Bloedbloemen-familie"
"herocard.family.title.fleur_de_sang.short","Bloedbloemen"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Bloedbloemen"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Bloedbloemen"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Bloedbloemen"
"herocard.family.title.forsaken","Verlaten familie"
"herocard.family.title.forsaken.short","Verlaten"
"herocard.family.title.fox","Vosfamilie"
"herocard.family.title.fox.short","Vos"
"herocard.family.title.gargoyle","Gargouillefamilie"
"herocard.family.title.gargoyle.short","Gargouille"
"herocard.family.title.garrison","Garnizoenwachterfamilie"
"herocard.family.title.garrison.short","Garnizoenwachter"
"herocard.family.title.goblin","Koboldenfamilie"
"herocard.family.title.goblin.short","Kobolden"
"herocard.family.title.guardian","Wachtersfamilie"
"herocard.family.title.guardian.short","Wachter"
"herocard.family.title.halloween","Morlovië-familie"
"herocard.family.title.halloween.short","Morlovië"
"herocard.family.title.helheim","Helheim-rijk"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","{0}-legendenfamilie"
"herocard.family.title.hotm.short","{0}-legenden"
"herocard.family.title.institute","Het instituut-familie"
"herocard.family.title.institute.short","Het instituut"
"herocard.family.title.investigator","Onderzoekersfamilie"
"herocard.family.title.investigator.short","Onderzoeker"
"herocard.family.title.japanese","Sakura-familie"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Jotunheim-rijk"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Reizigersfamilie"
"herocard.family.title.journey.short","Reis"
"herocard.family.title.jungle_hunter","Junglejagerfamilie"
"herocard.family.title.jungle_hunter.short","Junglejager"
"herocard.family.title.kalevala","Kalevala-familie"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Koninkrijk-familie"
"herocard.family.title.kingdom.short","Koninkrijk"
"herocard.family.title.knight","Avalonfamilie"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Lagune-familie"
"herocard.family.title.lagoon.short","Lagune"
"herocard.family.title.magic","Magische familie"
"herocard.family.title.magic.short","Magie"
"herocard.family.title.magic_carpet","Vliegend tapijt-familie"
"herocard.family.title.magic_carpet.short","Vliegend tapijt"
"herocard.family.title.mahayoddha","Mahayoddha-familie"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Gemaskerde god-familie"
"herocard.family.title.masquerade.short","Gemaskerde god"
"herocard.family.title.masquerade_pve","Gemaskerde god-familie"
"herocard.family.title.masquerade_pve.short","Gemaskerde god"
"herocard.family.title.midgard","Midgard-rijk"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Almachtige huisdieren-familie"
"herocard.family.title.mighty_pet.short","Almachtige huisdieren"
"herocard.family.title.mimic","Nabootsersfamilie"
"herocard.family.title.mimic.short","Nabootsers"
"herocard.family.title.moon","Maanfamilie"
"herocard.family.title.moon.short","Maan"
"herocard.family.title.moths","Mottenfamilie"
"herocard.family.title.moths.short","Mot"
"herocard.family.title.musketeer","Musketier-familie"
"herocard.family.title.musketeer.short","Musketier"
"herocard.family.title.muspelheim","Muspelheim-rijk"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Mysterieuze familie"
"herocard.family.title.mystery.short","Mysterie"
"herocard.family.title.nidavellir","Nidavellir-rijk"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Niflheim-rijk"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Ninja-familie"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Ninja-familie"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Opera-familie"
"herocard.family.title.opera.short","Opera"
"herocard.family.title.outlaw","Ballingen van de Liangshan-familie"
"herocard.family.title.outlaw.short","Ballingen van de Liangshan"
"herocard.family.title.owl","Uilenfamilie"
"herocard.family.title.owl.short","Uil"
"herocard.family.title.pirate","Piratenfamilie"
"herocard.family.title.pirate.short","Piraat"
"herocard.family.title.plains_hunter","Vlaktenjagerfamilie"
"herocard.family.title.plains_hunter.short","Monsterjager"
"herocard.family.title.raven","Ravenfamilie"
"herocard.family.title.raven.short","Raaf"
"herocard.family.title.raven_pve.short","Raaf"
"herocard.family.title.sand","Zandrijkfamilie"
"herocard.family.title.sand.short","Zandrijk"
"herocard.family.title.shady_scoundrels","Louche ploertenfamilie"
"herocard.family.title.shady_scoundrels.short","Louche ploerten"
"herocard.family.title.slayers","Slachtersfamilie"
"herocard.family.title.slayers.short","Slachter"
"herocard.family.title.slime","Slijmfamilie"
"herocard.family.title.slime.short","Slijm"
