"herocard.family.title.abyss","Undergrunn-familie"
"herocard.family.title.abyss.short","Undergrunn"
"herocard.family.title.abyss_hunter","Avgrunnjegerfamilie"
"herocard.family.title.abyss_hunter.short","Avgrunnjeger"
"herocard.family.title.alfheim","Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Heimen Asgard"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Astraldemoner"
"herocard.family.title.astral_demons.short","Astraldemoner"
"herocard.family.title.astral_dwarfs","Astraldvergenes familie"
"herocard.family.title.astral_dwarfs.short","Astraldverger"
"herocard.family.title.astral_elves","Astralalver-familie"
"herocard.family.title.astral_elves.short","Astralalver"
"herocard.family.title.atlantis","Atlantis-familie"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Skald-familien"
"herocard.family.title.bard.short","Skald"
"herocard.family.title.beachparty","Strandfest-familie"
"herocard.family.title.beachparty.short","Strandfest"
"herocard.family.title.bear","Bjørne-familie"
"herocard.family.title.bear.short","Bjørn"
"herocard.family.title.bear_pve.short","Bjørn"
"herocard.family.title.beauty_beast","Skjønnheten og udyret-familie"
"herocard.family.title.beauty_beast.short","Skjønnheten og udyret"
"herocard.family.title.beowulf","Beowulf-familie"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Mesters familie"
"herocard.family.title.champions.short","Mestere"
"herocard.family.title.circus","Stjerneskudd-familie"
"herocard.family.title.circus.short","Stjerneskudd"
"herocard.family.title.classic","Klassisk familie"
"herocard.family.title.classic.short","Klassisk"
"herocard.family.title.construct","Konstruktørfamilie"
"herocard.family.title.construct.short","Konstruktør"
"herocard.family.title.cultist","Kultist-familien"
"herocard.family.title.cultist.short","Dyrker"
"herocard.family.title.cupid","Cupido-familie"
"herocard.family.title.cupid.short","Cupido"
"herocard.family.title.easter","Springvale-familie"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Grimskog-familie"
"herocard.family.title.fable.short","Grimskog"
"herocard.family.title.faun","Skogsfaun-familie"
"herocard.family.title.faun.short","Skogsfaun"
"herocard.family.title.fleur_de_sang","Fleur de Sang-familie"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Forlatt familie"
"herocard.family.title.forsaken.short","Forlatt"
"herocard.family.title.fortune","Lykkedanser-familie"
"herocard.family.title.fortune.short","Lykke"
"herocard.family.title.fox","Revefamilie"
"herocard.family.title.fox.short","Rev"
"herocard.family.title.gargoyle","Griffamilie"
"herocard.family.title.gargoyle.short","Griff"
"herocard.family.title.garrison","Garnisonervakt-familien"
"herocard.family.title.garrison.short","Garnisonervakt"
"herocard.family.title.goblin","Goblin-familie"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Vokter-familie"
"herocard.family.title.guardian.short","Vokter"
"herocard.family.title.halloween","Morlovia-familie"
"herocard.family.title.halloween.short","Morlovia"
"herocard.family.title.helheim","Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Legende {0}-familie"
