"herocard.family.title.abyss","Rodzina Podziemia"
"herocard.family.title.abyss.short","Podziemie"
"herocard.family.title.abyss_hunter","Rodzina łowców z otchłani"
"herocard.family.title.abyss_hunter.short","Łowca z otchłani"
"herocard.family.title.alfheim","Królestwo Alfheimu"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Królestwo Asgardu"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Astralne demony"
"herocard.family.title.astral_demons.short","Astralne demony"
"herocard.family.title.astral_dwarfs","Rodzina astralnych krasnoludów"
"herocard.family.title.astral_dwarfs.short","Astralne krasnoludy"
"herocard.family.title.astral_elves","Rodzina astralnych elfów"
"herocard.family.title.astral_elves.short","Astralne elfy"
"herocard.family.title.atlantis","Rodzina z Atlantydy"
"herocard.family.title.atlantis.short","Atlantyda"
"herocard.family.title.bard","Rodzina Bardów"
"herocard.family.title.bard.short","Bard"
"herocard.family.title.beachparty","Rodzina imprezy na plaży"
"herocard.family.title.beachparty.short","Impreza na plaży"
"herocard.family.title.bear","Rodzina niedźwiedzi"
"herocard.family.title.bear.short","Niedźwiedź"
"herocard.family.title.bear_pve.short","Niedźwiedź"
"herocard.family.title.beauty_beast","Rodzina pięknych i bestii"
"herocard.family.title.beauty_beast.short","Piękne i bestie"
"herocard.family.title.beowulf","Rodzina Beowulfa"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Rodzina Czempionów"
"herocard.family.title.champions.short","Czempioni"
"herocard.family.title.circus","Rodzina Spadającej Gwiazdy"
"herocard.family.title.circus.short","Spadająca Gwiazda"
"herocard.family.title.classic","Rodzina klasyczna"
"herocard.family.title.classic.short","Klasyczny"
"herocard.family.title.construct","Rodzina konstruktów"
"herocard.family.title.construct.short","Konstrukt"
"herocard.family.title.cultist","Rodzina kultystów"
"herocard.family.title.cultist.short","Kultysta"
"herocard.family.title.cupid","Rodzina kupidynów"
"herocard.family.title.cupid.short","Kupidyny"
"herocard.family.title.easter","Rodzina z Doliny Wiosny"
"herocard.family.title.easter.short","Dolina Wiosny"
"herocard.family.title.fable","Rodzina z Ciemnolasu"
"herocard.family.title.fable.short","Ciemnolas"
"herocard.family.title.faun","Rodzina leśnych faunów"
"herocard.family.title.faun.short","Leśny faun"
