"herocard.family.title.abyss","Família Submundo Selvagem"
"herocard.family.title.abyss.short","Submundo Selvagem"
"herocard.family.title.abyss_hunter","Família Caçadores do Abismo"
"herocard.family.title.abyss_hunter.short","Caçador do Abismo"
"herocard.family.title.alfheim","Reino de Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Reino de Asgard"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Demônios Astrais"
"herocard.family.title.astral_demons.short","Demônios Astrais"
"herocard.family.title.astral_dwarfs","Família Anões Astrais"
"herocard.family.title.astral_dwarfs.short","Anões Astrais"
"herocard.family.title.astral_elves","Famílias Elfos Astrais"
"herocard.family.title.astral_elves.short","Elfos Astrais"
"herocard.family.title.atlantis","Família da Atlântida"
"herocard.family.title.atlantis.short","Atlântida"
"herocard.family.title.bard","Família Bardo"
"herocard.family.title.bard.short","Bardo"
"herocard.family.title.beachparty","Família Festa na Praia"
"herocard.family.title.beachparty.short","Festa na Praia"
"herocard.family.title.bear","Família Urso"
"herocard.family.title.bear.short","Urso"
"herocard.family.title.bear_pve.short","Urso"
"herocard.family.title.beauty_beast","Família Bela e Fera"
"herocard.family.title.beauty_beast.short","Bela e Fera"
"herocard.family.title.beowulf","Família Beowulf"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Família Campeões"
"herocard.family.title.champions.short","Campeões"
"herocard.family.title.circus","Família Chuva Estelar"
"herocard.family.title.circus.short","Chuva Estelar"
"herocard.family.title.classic","Família Clássicos"
"herocard.family.title.classic.short","Clássico"
"herocard.family.title.construct","Família Construto"
"herocard.family.title.construct.short","Construto"
"herocard.family.title.cultist","Família Cultista"
"herocard.family.title.cultist.short","Cultista"
"herocard.family.title.cupid","Família Cupido"
"herocard.family.title.cupid.short","Cupido"
"herocard.family.title.easter","Família de Springvale"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Família Grimforest"
"herocard.family.title.fable.short","Grimforest"
"herocard.family.title.faun","Família Fauno do Bosque"
"herocard.family.title.faun.short","Fauno do Bosque"
"herocard.family.title.fleur_de_sang","Família Fleur de Sang"
"herocard.family.title.fleur_de_sang.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier1.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier2.short","Fleur de Sang"
"herocard.family.title.fleur_de_sang_pve_tier3.short","Fleur de Sang"
"herocard.family.title.forsaken","Família Abandonados"
"herocard.family.title.forsaken.short","Abandonados"
"herocard.family.title.fox","Família Raposa"
"herocard.family.title.fox.short","Raposa"
"herocard.family.title.gargoyle","Família Gárgula"
"herocard.family.title.gargoyle.short","Gárgula"
"herocard.family.title.garrison","Família Guarde de Guarnição"
"herocard.family.title.garrison.short","Guarda de Guarnição"
"herocard.family.title.goblin","Família Goblin"
"herocard.family.title.goblin.short","Goblin"
"herocard.family.title.guardian","Família Guardião"
"herocard.family.title.guardian.short","Guardião"
"herocard.family.title.halloween","Família Morlóvia"
"herocard.family.title.halloween.short","Morlóvia"
"herocard.family.title.helheim","Reino de Helheim"
"herocard.family.title.helheim.short","Helheim"
"herocard.family.title.hotm","Família {0} Lendas"
"herocard.family.title.hotm.short","{0} Lendas"
"herocard.family.title.institute","Família Instituto"
"herocard.family.title.institute.short","Instituto"
"herocard.family.title.investigator","Família Investigador"
"herocard.family.title.investigator.short","Investigador"
"herocard.family.title.japanese","Família Sakura"
"herocard.family.title.japanese.short","Sakura"
"herocard.family.title.jotunheim","Reino de Jotunheim"
"herocard.family.title.jotunheim.short","Jotunheim"
"herocard.family.title.journey","Família Jornada"
"herocard.family.title.journey.short","Jornada"
"herocard.family.title.jungle_hunter","Família Caçadores da Selva"
"herocard.family.title.jungle_hunter.short","Caçadores da Selva"
"herocard.family.title.kalevala","Família Kalevala"
"herocard.family.title.kalevala.short","Kalevala"
"herocard.family.title.kingdom","Família Reino"
"herocard.family.title.kingdom.short","Reino"
"herocard.family.title.knight","Família Avalon"
"herocard.family.title.knight.short","Avalon"
"herocard.family.title.lagoon","Família Laguna"
"herocard.family.title.lagoon.short","Laguna"
"herocard.family.title.magic","Família Mágica"
"herocard.family.title.magic.short","Mágica"
"herocard.family.title.magic_carpet","Família Tapete Mágico"
"herocard.family.title.magic_carpet.short","Tapete Mágico"
"herocard.family.title.mahayoddha","Família Mahayoddha"
"herocard.family.title.mahayoddha.short","Mahayoddha"
"herocard.family.title.masquerade","Família Deuses Mascarados"
"herocard.family.title.masquerade.short","Deuses Mascarados"
"herocard.family.title.masquerade_pve","Família Deuses Mascarados"
"herocard.family.title.masquerade_pve.short","Deuses Mascarados"
"herocard.family.title.midgard","Reino de Midgard"
"herocard.family.title.midgard.short","Midgard"
"herocard.family.title.mighty_pet","Família Fera de Estimação"
"herocard.family.title.mighty_pet.short","Fera de Estimação"
"herocard.family.title.mimic","Família Mimese"
"herocard.family.title.mimic.short","Mimese"
"herocard.family.title.moon","Família Lua"
"herocard.family.title.moon.short","Lua"
"herocard.family.title.moths","Família Mariposa"
"herocard.family.title.moths.short","Mariposa"
"herocard.family.title.musketeer","Família Mosqueteiro"
"herocard.family.title.musketeer.short","Mosqueteiro"
"herocard.family.title.muspelheim","Reino de Muspelheim"
"herocard.family.title.muspelheim.short","Muspelheim"
"herocard.family.title.myrkheim","Myrkheim"
"herocard.family.title.myrkheim.short","Myrkheim"
"herocard.family.title.mystery","Família Mistério"
"herocard.family.title.mystery.short","Mistério"
"herocard.family.title.nidavellir","Reino de Nidavellir"
"herocard.family.title.nidavellir.short","Nidavellir"
"herocard.family.title.niflheim","Reino de Niflheim"
"herocard.family.title.niflheim.short","Niflheim"
"herocard.family.title.ninja","Família Ninja"
"herocard.family.title.ninja.short","Ninja"
"herocard.family.title.ninja2","Família Ninja"
"herocard.family.title.ninja2.short","Ninja"
"herocard.family.title.opera","Família Ópera"
"herocard.family.title.opera.short","Ópera"
"herocard.family.title.outlaw","Família Bandidos de Liangshan"
"herocard.family.title.outlaw.short","Bandidos de Liangshan"
"herocard.family.title.owl","Família Coruja"
"herocard.family.title.owl.short","Coruja"
"herocard.family.title.pirate","Família Pirata"
"herocard.family.title.pirate.short","Pirata"
"herocard.family.title.plains_hunter","Família Caçadores das Planícies"
"herocard.family.title.plains_hunter.short","Caçadores das Planícies"
"herocard.family.title.raven","Família Corvo"
"herocard.family.title.raven.short","Corvo"
"herocard.family.title.raven_pve.short","Corvo"
"herocard.family.title.sand","Família Império de Areia"
"herocard.family.title.sand.short","Império de Areia"
"herocard.family.title.shady_scoundrels","Família Salafrários"
"herocard.family.title.shady_scoundrels.short","Salafrários"
"herocard.family.title.slayers","Família Matadores"
"herocard.family.title.slayers.short","Matador"
"herocard.family.title.slime","Família Gosma"
"herocard.family.title.slime.short","Gosma"
"herocard.family.title.stag","Família Cervo"
"herocard.family.title.stag.short","Cervo"
"herocard.family.title.stag_pve.short","Cervo"
"herocard.family.title.styx","Família Estige"
"herocard.family.title.styx.short","Estige"
"herocard.family.title.sun","Família Sol"
"herocard.family.title.sun.short","Sol"
"herocard.family.title.super_elemental","Família Superelemental"
"herocard.family.title.super_elemental.short","Superelemental"
"herocard.family.title.svartalfheim","Reino de Svartalfheim"
"herocard.family.title.svartalfheim.short","Svartalfheim"
"herocard.family.title.tales1_baddies","Família Pesadelos de Atlântida"
"herocard.family.title.tales1_baddies.short","Pesadelos de Atlântida"
"herocard.family.title.tales1_goodies","Família Defensores de Atlântida"
"herocard.family.title.tales1_goodies.short","Defensores de Atlântida"
"herocard.family.title.titan_hunter","Família Caçadores de Titãs"
"herocard.family.title.titan_hunter.short","Caçadores de Titãs"
"herocard.family.title.vanaheim","Reino de Vanaheim"
"herocard.family.title.vanaheim.short","Vanaheim"
"herocard.family.title.vegetable","Família Hortaliça Honrada"
"herocard.family.title.vegetable.short","Hortaliça Honrada"
"herocard.family.title.villains","Família Vilões"
"herocard.family.title.villains.short","Vilão"
"herocard.family.title.wild_cat","Família Gato Selvagem"
"herocard.family.title.wild_cat.short","Gato Selvagem"
"herocard.family.title.winter","Família Inverno"
"herocard.family.title.winter.short","Inverno"
"herocard.family.title.wolf","Família Lobo"
"herocard.family.title.wolf.short","Lobo"
"herocard.family.title.wolf_pve.short","Lobo"
"herocard.family.title.wonderland","Família País das Maravilhas"
"herocard.family.title.wonderland.short","País das Maravilhas"
"herocard.family.title.zodiac","Família Ano Lunar"
"herocard.family.title.zodiac.short","Ano Lunar"
