"herocard.family.title.abyss","Undre vildmarken-familj"
"herocard.family.title.abyss.short","Undre vildmarken"
"herocard.family.title.abyss_hunter","Avgrundsjägarfamiljen"
"herocard.family.title.abyss_hunter.short","Avgrundsjägare"
"herocard.family.title.alfheim","Riket Alfheim"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Riket Asgård"
"herocard.family.title.asgard.short","Asgård"
"herocard.family.title.astral_demons","Stjärndemoner"
"herocard.family.title.astral_demons.short","Stjärndemoner"
"herocard.family.title.astral_dwarfs","Stjärndvärgsfamiljen"
"herocard.family.title.astral_dwarfs.short","Stjärndvärgar"
"herocard.family.title.astral_elves","Stjärnalvsfamiljen"
"herocard.family.title.astral_elves.short","Stjärnalver"
"herocard.family.title.atlantis","Atlantisfamiljen"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Bardfamiljen"
"herocard.family.title.bard.short","Bard"
"herocard.family.title.beachparty","Strandfestfamiljen"
"herocard.family.title.beachparty.short","Strandfest"
"herocard.family.title.bear","Björnfamiljen"
"herocard.family.title.bear.short","Björn"
"herocard.family.title.bear_pve.short","Björn"
"herocard.family.title.beauty_beast","Skönheten och odjuret-familjen"
"herocard.family.title.beauty_beast.short","Skönheten och odjuret"
"herocard.family.title.beowulf","Beowulf-familjen"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Förkämpefamilj"
"herocard.family.title.champions.short","Förkämpar"
"herocard.family.title.circus","Stjärnfallsfamiljen"
"herocard.family.title.circus.short","Stjärnfall"
"herocard.family.title.classic","Klassisk familj"
"herocard.family.title.classic.short","Klassisk"
"herocard.family.title.construct","Konstruktionsfamiljen"
"herocard.family.title.construct.short","Konstruktion"
"herocard.family.title.cultist","Fanatikerfamiljen"
"herocard.family.title.cultist.short","Fanatiker"
"herocard.family.title.cupid","Amorinfamiljen"
"herocard.family.title.cupid.short","Amorin"
"herocard.family.title.easter","Springvalefamiljen"
"herocard.family.title.easter.short","Springvale"
"herocard.family.title.fable","Grimskogsfamiljen"
"herocard.family.title.fable.short","Grimskogen"
