"herocard.family.title.abyss","地底荒野家族"
"herocard.family.title.abyss.short","地底荒野"
"herocard.family.title.abyss_hunter","深淵獵人家族"
"herocard.family.title.abyss_hunter.short","深淵獵人"
"herocard.family.title.alfheim","亞爾夫海姆王國"
"herocard.family.title.alfheim.short","亞爾夫海姆"
"herocard.family.title.asgard","阿斯嘉王國"
"herocard.family.title.asgard.short","阿斯嘉"
"herocard.family.title.astral_dwarfs","星界矮人家族"
"herocard.family.title.astral_dwarfs.short","星界矮人"
"herocard.family.title.astral_elves","星界巫師家族"
"herocard.family.title.astral_elves.short","星界巫師"
"herocard.family.title.atlantis","亞特蘭蒂斯家族"
"herocard.family.title.atlantis.short","亞特蘭蒂斯"
"herocard.family.title.bard","吟遊詩人家族"
"herocard.family.title.bard.short","吟遊詩人"
"herocard.family.title.beachparty","海灘派對家族"
"herocard.family.title.beachparty.short","海灘派對"
"herocard.family.title.bear","大熊家族"
"herocard.family.title.bear.short","熊"
"herocard.family.title.bear_pve.short","熊"
"herocard.family.title.beowulf","貝武夫家族"
"herocard.family.title.beowulf.short","貝武夫"
"herocard.family.title.champions","勇士家族"
"herocard.family.title.champions.short","勇士"
"herocard.family.title.circus","星隕家族"
"herocard.family.title.circus.short","星隕"
"herocard.family.title.classic","經典家族"
"herocard.family.title.classic.short","經典"
"herocard.family.title.construct","構造體家族"
"herocard.family.title.construct.short","構造體"
"herocard.family.title.cultist","邪教徒家族"
"herocard.family.title.cultist.short","邪教徒"
"herocard.family.title.cupid","邱比特家族"
"herocard.family.title.cupid.short","邱比特"
"herocard.family.title.easter","斯普林維爾家族"
"herocard.family.title.easter.short","斯普林維爾"
"herocard.family.title.fable","肅煞森林家族"
"herocard.family.title.fable.short","肅煞森林"
"herocard.family.title.faun","木地羊人家族"
"herocard.family.title.faun.short","木地羊人"
"herocard.family.title.forsaken","遺棄家族"
"herocard.family.title.forsaken.short","遺棄"
"herocard.family.title.fox","狐狸家族"
"herocard.family.title.fox.short","狐狸"
"herocard.family.title.gargoyle","石像鬼家族"
"herocard.family.title.gargoyle.short","石像鬼"
"herocard.family.title.garrison","衛戍守衛家族"
"herocard.family.title.garrison.short","衛戍守衛"
"herocard.family.title.goblin","哥布林家族"
"herocard.family.title.goblin.short","哥布林"
"herocard.family.title.guardian","守護者家族"
"herocard.family.title.guardian.short","守護者"
"herocard.family.title.guestip1","WWE Superstar Family"
"herocard.family.title.guestip1.short","WWE Superstar"
"herocard.family.title.halloween","莫洛維亞家族"
"herocard.family.title.halloween.short","莫洛維亞"
"herocard.family.title.helheim","冥界王國"
"herocard.family.title.helheim.short","冥界"
