"herocard.family.title.abyss","Underwild Ailesi"
"herocard.family.title.abyss.short","Underwild"
"herocard.family.title.abyss_hunter","Cehennem Avcısı Ailesi"
"herocard.family.title.abyss_hunter.short","Cehennem Avcısı"
"herocard.family.title.alfheim","Alfheim Diyarı"
"herocard.family.title.alfheim.short","Alfheim"
"herocard.family.title.asgard","Asgard Diyarı"
"herocard.family.title.asgard.short","Asgard"
"herocard.family.title.astral_demons","Astral İblisler"
"herocard.family.title.astral_demons.short","Astral İblisler"
"herocard.family.title.astral_dwarfs","Astral Cüceler Ailesi"
"herocard.family.title.astral_dwarfs.short","Astral Cüceler"
"herocard.family.title.astral_elves","Astral Elfler Ailesi"
"herocard.family.title.astral_elves.short","Astral Elfler"
"herocard.family.title.atlantis","Atlantis Ailesi"
"herocard.family.title.atlantis.short","Atlantis"
"herocard.family.title.bard","Ozan Ailesi"
"herocard.family.title.bard.short","Ozan"
"herocard.family.title.beachparty","Plaj Partisi Ailesi"
"herocard.family.title.beachparty.short","Plaj Partisi"
"herocard.family.title.bear","Ayı Ailesi"
"herocard.family.title.bear.short","Ayı"
"herocard.family.title.bear_pve.short","Ayı"
"herocard.family.title.beauty_beast","Güzel ve Canavar Ailesi"
"herocard.family.title.beauty_beast.short","Güzel ve Canavar"
"herocard.family.title.beowulf","Beowulf Ailesi"
"herocard.family.title.beowulf.short","Beowulf"
"herocard.family.title.champions","Şampiyon Ailesi"
"herocard.family.title.champions.short","Şampiyon"
"herocard.family.title.circus","Yıldız Kayması Ailesi"
"herocard.family.title.circus.short","Yıldız Kayması"
"herocard.family.title.classic","Klasik Aile"
"herocard.family.title.classic.short","Klasik"
"herocard.family.title.construct","Yapı Ailesi"
"herocard.family.title.construct.short","Yapı"
"herocard.family.title.cultist","Tarikatçı Ailesi"
"herocard.family.title.cultist.short","Tarikatçı"
"herocard.family.title.cupid","Aşk Meleği Ailesi"
"herocard.family.title.cupid.short","Aşk Meleği"
"herocard.family.title.easter","Bahar Vadisi Ailesi"
"herocard.family.title.easter.short","Bahar Vadisi"
"herocard.family.title.fable","Grim Ormanı Ailesi"
"herocard.family.title.fable.short","Grim Ormanı"
"herocard.family.title.faun","Orman Faunu Ailesi"
"herocard.family.title.faun.short","Orman Faunu"
