"heroes.name.astral_cosmicspeaker","宇宙讲者"
"heroes.name.astral_demilune","新月"
"heroes.name.astral_dreadstar","恐惧之星"
"heroes.name.astral_dwarf_ceris","西里斯"
"heroes.name.astral_dwarf_chires","奇雷斯"
"heroes.name.astral_dwarf_errin","埃林"
"heroes.name.astral_dwarf_gongoth","贡戈斯"
"heroes.name.astral_dwarf_haumri","哈乌里"
"heroes.name.astral_dwarf_hygil","海吉尔"
"heroes.name.astral_dwarf_ixinn","艾辛"
"heroes.name.astral_dwarf_lemniss","莱姆尼斯"
"heroes.name.astral_dwarf_maegwyn","麦戈文"
"heroes.name.astral_dwarf_orcur","奥科"
"heroes.name.astral_dwarf_pluth","普鲁斯"
"heroes.name.astral_dwarf_quari","夸里"
"heroes.name.astral_dwarf_salniss","萨尔尼斯"
"heroes.name.astral_dwarf_sedille","赛迪尔"
"heroes.name.astral_dwarf_vard","瓦德"
"heroes.name.astral_hammerclang","叮当铁锤"
"heroes.name.astral_lemonwood","莱蒙伍德"
"heroes.name.astral_lionstring","星纱"
"heroes.name.astral_melodymuse","仙乐缪斯"
"heroes.name.astral_moonbell","月之钟"
"heroes.name.astral_mooncure","月医"
"heroes.name.astral_moonflower","月之花"
"heroes.name.astral_sparklight","闪焰"
"heroes.name.astral_starlass","星瞳"
"heroes.name.astral_starswift","星闪"
"heroes.name.astral_starwalker","星游者"
"heroes.name.astral_voidstar","虚空之星"
"heroes.name.ballerina_armand","阿曼德·孟夏曼"
"heroes.name.ballerina_benno","本诺"
"heroes.name.ballerina_charlotta","夏洛塔"
"heroes.name.ballerina_christine_daae","克里斯蒂娜·达埃"
"heroes.name.ballerina_daroga","达洛加"
"heroes.name.ballerina_firmin","费尔明·理查德"
"heroes.name.ballerina_madame_giry","吉莉夫人"
"heroes.name.ballerina_meg_giry","梅格·吉瑞"
"heroes.name.ballerina_odette","奥黛特"
"heroes.name.ballerina_odile","奥迪尔"
"heroes.name.ballerina_phantom_of_the_opera","歌剧魅影"
"heroes.name.ballerina_prince_siegfried","齐格弗里德王子"
"heroes.name.ballerina_raul","拉乌尔"
"heroes.name.ballerina_swan_maiden","天鹅室女"
"heroes.name.ballerina_uberta","乌贝尔塔"
"heroes.name.ballerina_von_rothbart","冯·罗斯巴特"
"heroes.name.bard_astrid","阿斯特丽德"
"heroes.name.bard_balafon","萨利马塔"
"heroes.name.bard_belladonna","贝拉多娜"
"heroes.name.bard_bhaltair","巴尔泰尔"
"heroes.name.bard_bonzo","邦佐"
"heroes.name.bard_celimene","塞里门妮"
"heroes.name.bard_darkbeat","黑比特"
"heroes.name.bard_dunnar_hart","邓纳·哈特"
"heroes.name.bard_garyas","格里亚斯"
"heroes.name.bard_lyria","莉亚"
"heroes.name.bard_merith","梅里斯"
"heroes.name.bard_narcisa","娜希莎"
"heroes.name.bard_ogima","欧吉马"
"heroes.name.bard_phenexa","菲妮克莎"
"heroes.name.bard_rhys","里斯"
"heroes.name.bard_winifred","威妮弗蕾德"
"heroes.name.bard_zarel","扎丽尔"
"heroes.name.bard_zhabog","扎伯格"
"heroes.name.beachparty_andy_jay","安迪·杰"
"heroes.name.beachparty_brebarg","布雷巴格"
"heroes.name.beachparty_davey_wavey","戴维·韦威"
"heroes.name.beachparty_dillo","狄洛"
"heroes.name.beachparty_dolrak","多拉克"
"heroes.name.beachparty_flip","飞力普"
"heroes.name.beachparty_itham","伊潭"
"heroes.name.beachparty_mazoga","马佐加"
"heroes.name.beachparty_misty","蜜丝缇"
"heroes.name.beachparty_mortimer","莫迪默"
"heroes.name.beachparty_serena","塞雷娜"
"heroes.name.beachparty_zenukwa","泽努克瓦"
"heroes.name.beowulf_aeschere","爱斯舍尔"
"heroes.name.beowulf_beowulf","贝奥武夫"
"heroes.name.beowulf_breca","布雷卡"
"heroes.name.beowulf_ecgtheow","艾格齐乌"
"heroes.name.beowulf_freawaru","弗蕾亚瓦鲁"
"heroes.name.beowulf_grendel","格伦德尔"
"heroes.name.beowulf_grendels_mother","格伦德尔之母"
"heroes.name.beowulf_hrothgar","赫罗斯加"
"heroes.name.beowulf_hygd","希格德"
"heroes.name.beowulf_modthryth","莫德瑞丝"
"heroes.name.beowulf_nithgaest","恶怨妖灵"
"heroes.name.beowulf_unferth","昂伏斯"
"heroes.name.beowulf_wealhtheow","韦尔霍夫"
"heroes.name.beowulf_weland","维兰德"
"heroes.name.beowulf_wiglaf","维格拉夫"
"heroes.name.blackguard_commander","迪波特斯"
"heroes.name.blackguard_female_archer","夜影"
"heroes.name.blackguard_female_captain","普利斯卡"
"heroes.name.blackguard_knight","里加"
"heroes.name.blackguard_scout","朱利叶斯"
"heroes.name.blackguard_skulker","雷恩菲尔德"
"heroes.name.castle_bear_armel","阿梅尔"
"heroes.name.castle_bear_bearnadette","贝尔纳黛特"
"heroes.name.castle_bear_humbert","亨伯特"
"heroes.name.castle_bear_koda","科达"
"heroes.name.castle_bear_teddy","泰迪"
"heroes.name.castle_bear_torben","托本"
"heroes.name.castle_bear_winnie","温妮"
"heroes.name.castle_bear_yona","尤娜"
"heroes.name.castle_raven_aderyn","阿德琳"
"heroes.name.castle_raven_eloise","埃洛伊丝"
"heroes.name.castle_raven_franz","弗朗茨"
"heroes.name.castle_raven_lewena","莱维娜"
"heroes.name.castle_raven_quintin","昆汀"
"heroes.name.castle_raven_rayne","莱恩"
"heroes.name.castle_raven_wren","雷恩"
"heroes.name.castle_stag_alvar","阿尔瓦"
"heroes.name.castle_stag_cecilia","塞西莉亚"
"heroes.name.castle_stag_daemon","戴蒙"
"heroes.name.castle_stag_fawn","小鹿"
"heroes.name.castle_stag_lysanor","莱莎诺"
"heroes.name.castle_stag_raleigh","劳利"
"heroes.name.castle_stag_siofra","希奥弗拉"
"heroes.name.castle_stag_xiamara","夏玛拉"
"heroes.name.castle_wolf_bertulf","柏图尔夫"
"heroes.name.castle_wolf_esme","埃斯米"
"heroes.name.castle_wolf_ferant","费朗特"
"heroes.name.castle_wolf_ludwig","路德维希"
"heroes.name.castle_wolf_quenell","奎奈尔"
"heroes.name.castle_wolf_wolfgang","沃尔夫冈"
"heroes.name.champions_lazara","拉扎拉"
"heroes.name.champions_mistra","米斯特拉"
"heroes.name.champions_nogu","诺古"
"heroes.name.champions_norman","诺曼"
"heroes.name.champions_ramona","拉蒙娜"
"heroes.name.champions_satori","开悟"
"heroes.name.christmas_albin","阿尔宾"
"heroes.name.christmas_augustus","奥古斯都"
"heroes.name.christmas_buster","巴斯特"
"heroes.name.christmas_carol","卡罗尔"
"heroes.name.christmas_cookie","库奇"
"heroes.name.christmas_dizzy","迪基"
"heroes.name.christmas_elf","巴迪"
"heroes.name.christmas_frosty","霜冻雪人"
"heroes.name.christmas_ginger","金姬"
"heroes.name.christmas_holly","霍莉"
"heroes.name.christmas_jolly","乔力"
"heroes.name.christmas_krampus","克朗普斯"
"heroes.name.christmas_mr_pengi","潘吉先生"
"heroes.name.christmas_mrs_claus","北方之母"
"heroes.name.christmas_ottilia","奥蒂利娅"
"heroes.name.christmas_peppermint","薄荷"
"heroes.name.christmas_reindeer","鲁道夫"
"heroes.name.christmas_santa","圣诞老人"
"heroes.name.christmas_tinsel","金丝儿"
"heroes.name.christmas_zappa","扎帕"
"heroes.name.circus_bobo","波波"
"heroes.name.circus_candy","坎迪"
