"heroes.name_fancy.astral_cosmicspeaker","Astral-elvernes astronom"
"heroes.name_fancy.astral_demilune","Astral-elvernes orakel"
"heroes.name_fancy.astral_demon_agharoth","Astraldæmon portvogter"
"heroes.name_fancy.astral_demon_anatemah","Astraldæmon kejserinde"
"heroes.name_fancy.astral_demon_ibelis","Astraldæmonisk skyggevagt"
"heroes.name_fancy.astral_demon_mael","Astraldæmon forfølger"
"heroes.name_fancy.astral_demon_paimon","Astraldæmon lovgiver"
"heroes.name_fancy.astral_demon_salome","Astraldæmonisk selskabsløve"
"heroes.name_fancy.astral_demon_turundh","Astraldæmonisk inkvisitor"
"heroes.name_fancy.astral_demon_xshahr","Astraldæmon krigsherre"
"heroes.name_fancy.astral_dreadstar","Astral-elvernes konge"
"heroes.name_fancy.astral_dwarf_ceris","Astral-dværgenes magiker"
"heroes.name_fancy.astral_dwarf_chires","Astral-dværg: Sødtand"
"heroes.name_fancy.astral_dwarf_errin","Astral-dværgenes legetøjsmager"
"heroes.name_fancy.astral_dwarf_gongoth","Astral-dværgenes udfordrer"
"heroes.name_fancy.astral_dwarf_haumri","Astral-dværgenes sandsiger"
"heroes.name_fancy.astral_dwarf_hygil","Astraldværg - kartograf"
"heroes.name_fancy.astral_dwarf_ixinn","Astral-dværgenes nedbryder"
"heroes.name_fancy.astral_dwarf_lemniss","Astraldværg - minearbejder"
"heroes.name_fancy.astral_dwarf_maegwyn","Astral-dværgenes kroværtinde"
"heroes.name_fancy.astral_dwarf_orcur","Astral-dværgenes gartner"
"heroes.name_fancy.astral_dwarf_pluth","Astral-dværgenes altmuligmand"
"heroes.name_fancy.astral_dwarf_quari","Astral-dværgenes pilgrim"
"heroes.name_fancy.astral_dwarf_salniss","Astral-dværgenes vogter"
"heroes.name_fancy.astral_dwarf_sedille","Astraldværg - lysbærer"
"heroes.name_fancy.astral_dwarf_vard","Astral-dværgenes stormester"
"heroes.name_fancy.astral_hammerclang","Astral-elvernes smed"
"heroes.name_fancy.astral_lemonwood","Astral-elvernes skytte"
"heroes.name_fancy.astral_lionstring","Astral-elvernes skrædder"
"heroes.name_fancy.astral_melodymuse","Astralelver-digter"
"heroes.name_fancy.astral_moonbell","Astral-elvernes hidkalder"
"heroes.name_fancy.astral_mooncure","Astral-elvernes røgelsesmester"
"heroes.name_fancy.astral_moonflower","Astral-elvernes botanikker"
"heroes.name_fancy.astral_sparklight","Astral-elvermester"
"heroes.name_fancy.astral_starlass","Astralelver-skytte"
"heroes.name_fancy.astral_starswift","Ung astral-elver"
"heroes.name_fancy.astral_starwalker","Astral-elvernes konge"
"heroes.name_fancy.astral_voidstar","Astralelver-storridder"
"heroes.name_fancy.ballerina_armand","Skeptiske kunstmæcener"
"heroes.name_fancy.ballerina_benno","Ven af tronen"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Operaens sangfugl"
"heroes.name_fancy.ballerina_daroga","Gentleman med jadegrønne øjne"
"heroes.name_fancy.ballerina_firmin","Nylig bidragsyder"
"heroes.name_fancy.ballerina_madame_giry","Dansernes matron"
"heroes.name_fancy.ballerina_meg_giry","Primaballerina"
"heroes.name_fancy.ballerina_odette","Den hvide svane"
"heroes.name_fancy.ballerina_odile","Sort Svane"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Mystisk geni"
"heroes.name_fancy.ballerina_prince_siegfried","Den fremtidige Konge"
"heroes.name_fancy.ballerina_raul","Den kærlighedsramte adelsmand"
"heroes.name_fancy.ballerina_swan_maiden","En af de små svaner"
"heroes.name_fancy.ballerina_uberta","Enkedronningen"
"heroes.name_fancy.ballerina_von_rothbart","Den frygtede tryllekunstner"
"heroes.name_fancy.bard_astrid","Genopstandelsens skjald"
"heroes.name_fancy.bard_balafon","Åndefestivalernes skjald"
"heroes.name_fancy.bard_belladonna","Overnaturlighedens skjald"
"heroes.name_fancy.bard_bhaltair","Endværgsorkester"
