"heroes.name_fancy.astral_cosmicspeaker","Astralelfenastronom"
"heroes.name_fancy.astral_demilune","Astralelfenorakel"
"heroes.name_fancy.astral_demon_agharoth","Astraldämon-Torwächter"
"heroes.name_fancy.astral_demon_anatemah","Astraldämon-Kaiserin"
"heroes.name_fancy.astral_demon_ibelis","Astraldämon-Schattenwache"
"heroes.name_fancy.astral_demon_mael","Astraldämon-Verfolger"
"heroes.name_fancy.astral_demon_paimon","Astraldämon-Wächter"
"heroes.name_fancy.astral_demon_salome","Astraldämon-Promi"
"heroes.name_fancy.astral_demon_turundh","Astraldämon-Inquisitor"
"heroes.name_fancy.astral_demon_xshahr","Astraldämon-Kriegsherr"
"heroes.name_fancy.astral_dreadstar","Königin der Astralelfen"
"heroes.name_fancy.astral_dwarf_ceris","Magus der Astralzwerge"
"heroes.name_fancy.astral_dwarf_chires","Süßzahn der Astralzwerge"
"heroes.name_fancy.astral_dwarf_errin","Spielzeugmacherin der Astralzwerge"
"heroes.name_fancy.astral_dwarf_gongoth","Herausforderer der Astralzwerge"
"heroes.name_fancy.astral_dwarf_haumri","Augur der Astralzwerge"
"heroes.name_fancy.astral_dwarf_hygil","Kartograf der Astralzwerge"
"heroes.name_fancy.astral_dwarf_ixinn","Zerstörer der Astralzwerge"
"heroes.name_fancy.astral_dwarf_lemniss","Bergarbeiterin der Astralzwerge"
"heroes.name_fancy.astral_dwarf_maegwyn","Schenkin der Astralelfen"
"heroes.name_fancy.astral_dwarf_orcur","Gärtner der Astralzwerge"
"heroes.name_fancy.astral_dwarf_pluth","Bastler der Astralelfen"
"heroes.name_fancy.astral_dwarf_quari","Pilger der Astralelfen"
"heroes.name_fancy.astral_dwarf_salniss","Wächterin der Astralelfen"
"heroes.name_fancy.astral_dwarf_sedille","Lichtbringerin der Astralzwerge"
"heroes.name_fancy.astral_dwarf_vard","Großmeister der Astralelfen"
"heroes.name_fancy.astral_hammerclang","Astralelfenschmied"
"heroes.name_fancy.astral_lemonwood","Astralelfenschütze"
"heroes.name_fancy.astral_lionstring","Astralelfenschneider"
"heroes.name_fancy.astral_melodymuse","Astralelfendichterin"
"heroes.name_fancy.astral_moonbell","Astralelfenbote"
"heroes.name_fancy.astral_mooncure","Astralelfenräuchermeister"
"heroes.name_fancy.astral_moonflower","Astralelfenbotaniker"
"heroes.name_fancy.astral_sparklight","Astralelfen-Champion"
"heroes.name_fancy.astral_starlass","Astralelfenarmbrustschützin"
"heroes.name_fancy.astral_starswift","Astralelfenjüngling"
"heroes.name_fancy.astral_starwalker","König der Astralelfen"
"heroes.name_fancy.astral_voidstar","Große Astralelfenritterin"
"heroes.name_fancy.ballerina_armand","Skeptischer Kunstmäzen"
"heroes.name_fancy.ballerina_benno","Freund des Throns"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Singvogel der Oper"
"heroes.name_fancy.ballerina_daroga","Jadeäugiger Gentleman"
"heroes.name_fancy.ballerina_firmin","Neuer Schirmherr"
"heroes.name_fancy.ballerina_madame_giry","Matronin der Tänzer"
"heroes.name_fancy.ballerina_meg_giry","Ballerina-Sternchen"
"heroes.name_fancy.ballerina_odette","Der weiße Schwan"
"heroes.name_fancy.ballerina_odile","Schwarzer Schwan"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Geheimnisvoller Drahtzieher"
"heroes.name_fancy.ballerina_prince_siegfried","Künftiger König"
"heroes.name_fancy.ballerina_raul","Liebeskranker Adelsmann"
"heroes.name_fancy.ballerina_swan_maiden","Einer der kleinen Schwäne"
"heroes.name_fancy.ballerina_uberta","Die verwitwete Königin"
"heroes.name_fancy.ballerina_von_rothbart","Gefürchteter Magier"
"heroes.name_fancy.bard_astrid","Bardin der Auferstehung"
"heroes.name_fancy.bard_balafon","Bardin der Geisterfeste"
"heroes.name_fancy.bard_belladonna","Bardin des Übernatürlichen"
"heroes.name_fancy.bard_bhaltair","Ein-Zwerg-Band"
"heroes.name_fancy.bard_bonzo","Barde des Seltsamen"
"heroes.name_fancy.bard_celimene","Bardin der Illusion"
"heroes.name_fancy.bard_darkbeat","Moshpit-Maestro"
"heroes.name_fancy.bard_dunnar_hart","Der magmatische Schlagzeuger"
"heroes.name_fancy.bard_garyas","Barde der Freude"
"heroes.name_fancy.bard_lyria","Extrem engagierte Instrumentalistin"
"heroes.name_fancy.bard_merith","Schlängelnde Violinistin"
"heroes.name_fancy.bard_narcisa","Bardin des Zaubers"
