"heroes.name_fancy.astral_cosmicspeaker","Astral Elf Astronomer"
"heroes.name_fancy.astral_demilune","Astral Elf Oracle"
"heroes.name_fancy.astral_dreadstar","Queen of the Astral Elves"
"heroes.name_fancy.astral_dwarf_ceris","Astral Dwarf Magus"
"heroes.name_fancy.astral_dwarf_chires","Astral Dwarf Sweet Tooth"
"heroes.name_fancy.astral_dwarf_errin","Astral Dwarf Toymaker"
"heroes.name_fancy.astral_dwarf_gongoth","Astral Dwarf Contender"
"heroes.name_fancy.astral_dwarf_haumri","Astral Dwarf Augur"
"heroes.name_fancy.astral_dwarf_hygil","Astral Dwarf Cartographer"
"heroes.name_fancy.astral_dwarf_ixinn","Astral Dwarf Demolisher"
"heroes.name_fancy.astral_dwarf_lemniss","Astral Dwarf Miner"
"heroes.name_fancy.astral_dwarf_maegwyn","Barmaid of the Astral Dwarves"
"heroes.name_fancy.astral_dwarf_orcur","Astral Dwarf Gardener"
"heroes.name_fancy.astral_dwarf_pluth","Astral Dwarf Tinkerer"
"heroes.name_fancy.astral_dwarf_quari","Astral Dwarf Pilgrim"
"heroes.name_fancy.astral_dwarf_salniss","Astral Dwarf Warden"
"heroes.name_fancy.astral_dwarf_sedille","Astral Dwarf Lightbearer"
"heroes.name_fancy.astral_dwarf_vard","Astral Dwarf Grand Master"
"heroes.name_fancy.astral_hammerclang","Astral Elf Blacksmith"
"heroes.name_fancy.astral_lemonwood","Astral Elf Marksman"
"heroes.name_fancy.astral_lionstring","Astral Elf Dressmaker"
"heroes.name_fancy.astral_melodymuse","Astral Elf Poet"
"heroes.name_fancy.astral_moonbell","Astral Elf Summoner"
"heroes.name_fancy.astral_mooncure","Astral Elf Incense Master"
"heroes.name_fancy.astral_moonflower","Astral Elf Botanist"
"heroes.name_fancy.astral_sparklight","Astral Elf Champion"
"heroes.name_fancy.astral_starlass","Astral Elf Arbalist"
"heroes.name_fancy.astral_starswift","Astral Elf Youth"
"heroes.name_fancy.astral_starwalker","King of the Astral Elves"
"heroes.name_fancy.astral_voidstar","Astral Elf Great Knight"
"heroes.name_fancy.ballerina_armand","Sceptical Patron of Arts"
"heroes.name_fancy.ballerina_benno","Friend of the Throne"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Songbird of the Opera"
"heroes.name_fancy.ballerina_daroga","Jade Eyed Gentleman"
"heroes.name_fancy.ballerina_firmin","Upstart Patron"
"heroes.name_fancy.ballerina_madame_giry","Matron of Dancers"
"heroes.name_fancy.ballerina_meg_giry","Starlet Ballerina"
"heroes.name_fancy.ballerina_odette","The White Swan"
"heroes.name_fancy.ballerina_odile","Black Swan"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Mysterious Mastermind"
"heroes.name_fancy.ballerina_prince_siegfried","Future King"
"heroes.name_fancy.ballerina_raul","Lovesick Nobleman"
"heroes.name_fancy.ballerina_swan_maiden","One of The Little Swans"
"heroes.name_fancy.ballerina_uberta","The Widow Queen"
"heroes.name_fancy.ballerina_von_rothbart","Feared Magician"
"heroes.name_fancy.bard_astrid","Bard of Resurrection"
"heroes.name_fancy.bard_balafon","Bard of Spirit Festivals"
"heroes.name_fancy.bard_belladonna","Bard of Supernatural"
"heroes.name_fancy.bard_bhaltair","One-dwarf Band"
"heroes.name_fancy.bard_bonzo","Bard of Odd"
"heroes.name_fancy.bard_celimene","Bard of Illusion"
"heroes.name_fancy.bard_darkbeat","Mosh Pit Maestro"
"heroes.name_fancy.bard_dunnar_hart","The Magmatic Drummer"
"heroes.name_fancy.bard_garyas","Bard of Joy"
"heroes.name_fancy.bard_lyria","Exceptionally Eager Instrumentalist"
"heroes.name_fancy.bard_merith","Serpentine Violinist"
"heroes.name_fancy.bard_narcisa","Bard of Glamour"
"heroes.name_fancy.bard_ogima","Bard of Spirits"
"heroes.name_fancy.bard_phenexa","Bard of Whispers"
"heroes.name_fancy.bard_rhys","Bard of Valor"
"heroes.name_fancy.bard_winifred","Bard of Creation"
"heroes.name_fancy.bard_zarel","Bard of Lore"
"heroes.name_fancy.bard_zhabog","Bard of Eloquence"
"heroes.name_fancy.beachparty_andy_jay","Reveler of Sunlit Shores"
"heroes.name_fancy.beachparty_brebarg","Sandcastle Expert"
"heroes.name_fancy.beachparty_davey_wavey","Shark in Training"
"heroes.name_fancy.beachparty_dillo","Soaked Armadillo"
"heroes.name_fancy.beachparty_dolrak","Overly Tanned Dwarf"
"heroes.name_fancy.beachparty_flip","Seal Lifeguard"
"heroes.name_fancy.beachparty_flip_costume_donut","Seal Donut Vendor"
"heroes.name_fancy.beachparty_itham","Elf Swimming School Instructor"
"heroes.name_fancy.beachparty_mazoga","Orc Water Gunner"
"heroes.name_fancy.beachparty_misty","Snorkeling Gnome"
"heroes.name_fancy.beachparty_mortimer","Dark Elf Surfer"
"heroes.name_fancy.beachparty_serena","Shoreside Socialite"
"heroes.name_fancy.beachparty_zenukwa","Ice Cream Enthusiast"
"heroes.name_fancy.beowulf_aeschere","Sage of the Scyldings"
