"heroes.name_fancy.astral_cosmicspeaker","Elfa astral astrónoma"
"heroes.name_fancy.astral_demilune","Elfo astral oráculo"
"heroes.name_fancy.astral_demon_agharoth","Demonio astral custodio"
"heroes.name_fancy.astral_demon_anatemah","Emperatriz de los demonios astrales"
"heroes.name_fancy.astral_demon_carthizux","Demonio maníaco astral"
"heroes.name_fancy.astral_demon_haradea","Demonio astral dominadora del vacío"
"heroes.name_fancy.astral_demon_ibelis","Demonio astral guardia sombrío"
"heroes.name_fancy.astral_demon_mael","Demonio astral acechador"
"heroes.name_fancy.astral_demon_paimon","Demonio astral legislador"
"heroes.name_fancy.astral_demon_salome","Celebridad de los demonios astrales"
"heroes.name_fancy.astral_demon_turundh","Demonio astral inquisidor"
"heroes.name_fancy.astral_demon_ushal","Demonio astral cosmomago"
"heroes.name_fancy.astral_demon_xshahr","Demonio astral guerrero"
"heroes.name_fancy.astral_demon_zondalath","Demonio astral portadora del sol"
"heroes.name_fancy.astral_dreadstar","Reina de los elfos astrales"
"heroes.name_fancy.astral_dwarf_ceris","Enana astral maga"
"heroes.name_fancy.astral_dwarf_chires","Enana astral golosa"
"heroes.name_fancy.astral_dwarf_errin","Enana astral juguetera"
"heroes.name_fancy.astral_dwarf_gongoth","Enano astral contendiente"
"heroes.name_fancy.astral_dwarf_haumri","Enano astral augur"
"heroes.name_fancy.astral_dwarf_hygil","Enano astral cartógrafo"
"heroes.name_fancy.astral_dwarf_ixinn","Enana astral demoledora"
"heroes.name_fancy.astral_dwarf_lemniss","Enana astral minera"
"heroes.name_fancy.astral_dwarf_maegwyn","Enana astral tabernera"
"heroes.name_fancy.astral_dwarf_orcur","Enano astral jardinero"
"heroes.name_fancy.astral_dwarf_pluth","Enano astral chatarrero"
"heroes.name_fancy.astral_dwarf_quari","Enano astral peregrino"
"heroes.name_fancy.astral_dwarf_salniss","Enana astral guardiana"
"heroes.name_fancy.astral_dwarf_sedille","Enana astral alumbradora"
"heroes.name_fancy.astral_dwarf_vard","Gran maestro de los enanos astrales"
"heroes.name_fancy.astral_hammerclang","Elfo astral herrero"
"heroes.name_fancy.astral_lemonwood","Elfo astral arquero"
"heroes.name_fancy.astral_lionstring","Elfo astral sastre"
"heroes.name_fancy.astral_melodymuse","Elfa astral poetisa"
"heroes.name_fancy.astral_moonbell","Elfo astral invocador"
"heroes.name_fancy.astral_mooncure","Elfo astral experto en incienso"
"heroes.name_fancy.astral_moonflower","Elfo astral botanista"
"heroes.name_fancy.astral_sparklight","Elfo astral campeón"
"heroes.name_fancy.astral_starlass","Elfo astral ballestero"
"heroes.name_fancy.astral_starswift","Elfo astral infante"
"heroes.name_fancy.astral_starwalker","Rey de los elfos astrales"
"heroes.name_fancy.astral_voidstar","Elfa astral gran caballero"
"heroes.name_fancy.ballerina_armand","Mecenas de las artes escéptico"
"heroes.name_fancy.ballerina_benno","Amigo del trono"
"heroes.name_fancy.ballerina_charlotta","Prima donna"
"heroes.name_fancy.ballerina_christine_daae","Ave cantora de la ópera"
"heroes.name_fancy.ballerina_daroga","Caballero de ojos de jade"
"heroes.name_fancy.ballerina_firmin","Mecenas presuntuoso"
"heroes.name_fancy.ballerina_madame_giry","Matrona de las bailarinas"
