"heroes.name_fancy.astral_cosmicspeaker","Astraalihaltia-astronomi"
"heroes.name_fancy.astral_demilune","Astraalihaltiaoraakkeli"
"heroes.name_fancy.astral_demon_agharoth","Astraalidemonien portinvartija"
"heroes.name_fancy.astral_demon_anatemah","Astraalidemonien keisarinna"
"heroes.name_fancy.astral_demon_carthizux","Astraalidemonien sekopää"
"heroes.name_fancy.astral_demon_haradea","Astraalidemonien tyhjyyden taitaja"
"heroes.name_fancy.astral_demon_ibelis","Astraalidemonien varjovartija"
"heroes.name_fancy.astral_demon_mael","Astraalidemonien takaa-ajaja"
"heroes.name_fancy.astral_demon_paimon","Astraalidemonien lainlaatija"
"heroes.name_fancy.astral_demon_salome","Astraalidemonien julkimo"
"heroes.name_fancy.astral_demon_turundh","Astraalidemonien inkvisiittori"
"heroes.name_fancy.astral_demon_ushal","Astraalidemonien kosmomaagi"
"heroes.name_fancy.astral_demon_xshahr","Astraalidemonien sotaherra"
"heroes.name_fancy.astral_demon_zondalath","Astraalidemonien auringon käyttäjä"
"heroes.name_fancy.astral_dreadstar","Astraalihaltioiden kuningatar"
"heroes.name_fancy.astral_dwarf_ceris","Astraalikääpiömaagi"
"heroes.name_fancy.astral_dwarf_chires","Astraalikääpiöherkuttelija"
"heroes.name_fancy.astral_dwarf_errin","Astraalikääpiöleluntekijä"
"heroes.name_fancy.astral_dwarf_gongoth","Astraalikääpiöottelija"
"heroes.name_fancy.astral_dwarf_haumri","Astraalikääpiöennustaja"
"heroes.name_fancy.astral_dwarf_hygil","Astraalikääpiökartoittaja"
"heroes.name_fancy.astral_dwarf_ixinn","Astraalikääpiömurskaaja"
"heroes.name_fancy.astral_dwarf_lemniss","Astraalikääpiömainari"
"heroes.name_fancy.astral_dwarf_maegwyn","Astraalikääpiöiden baarineiti"
"heroes.name_fancy.astral_dwarf_orcur","Astraalikääpiöpuutarhuri"
"heroes.name_fancy.astral_dwarf_pluth","Astraalikääpiönikkari"
"heroes.name_fancy.astral_dwarf_quari","Pyhiinvaeltava astraalikääpiö"
"heroes.name_fancy.astral_dwarf_salniss","Astraalikääpiövartija"
"heroes.name_fancy.astral_dwarf_sedille","Astraalikääpiövalonkantaja"
"heroes.name_fancy.astral_dwarf_vard","Astraalikääpiösuurmestari"
"heroes.name_fancy.astral_hammerclang","Astraalihaltiaseppä"
"heroes.name_fancy.astral_lemonwood","Astraalihaltiajousimies"
"heroes.name_fancy.astral_lionstring","Astraalihaltiaompelija"
"heroes.name_fancy.astral_melodymuse","Astraalihaltiarunoilija"
"heroes.name_fancy.astral_moonbell","Astraalihaltiakutsuja"
"heroes.name_fancy.astral_mooncure","Astraalihaltiasuitsukemestari"
