"heroes.name_fancy.astral_cosmicspeaker","Astronome des elfes astraux"
"heroes.name_fancy.astral_demilune","Oracle des elfes astraux"
"heroes.name_fancy.astral_demon_agharoth","Démon astral gardien"
"heroes.name_fancy.astral_demon_anatemah","Démon astral impératrice"
"heroes.name_fancy.astral_demon_ibelis","Démon astral garde des ombres"
"heroes.name_fancy.astral_demon_mael","Démon astral poursuivant"
"heroes.name_fancy.astral_demon_paimon","Démon astral législateur"
"heroes.name_fancy.astral_demon_salome","Courtisane démone astrale"
"heroes.name_fancy.astral_demon_turundh","Inquisiteur démonique astral"
"heroes.name_fancy.astral_demon_xshahr","Démon astral seigneur de guerre"
"heroes.name_fancy.astral_dreadstar","Reine des elfes astraux"
"heroes.name_fancy.astral_dwarf_ceris","Mage des nains astraux"
"heroes.name_fancy.astral_dwarf_chires","Nain astral gourmand"
"heroes.name_fancy.astral_dwarf_errin","Nain astral fabricant de jouets"
"heroes.name_fancy.astral_dwarf_gongoth","Combattant des nains astraux"
"heroes.name_fancy.astral_dwarf_haumri","Augure des nains astraux"
"heroes.name_fancy.astral_dwarf_hygil","Nain astral cartographe"
"heroes.name_fancy.astral_dwarf_ixinn","Démolisseuse des nains astraux"
"heroes.name_fancy.astral_dwarf_lemniss","Naine astrale mineuse"
"heroes.name_fancy.astral_dwarf_maegwyn","Tenancière des nains astraux"
"heroes.name_fancy.astral_dwarf_orcur","Jardinier des nains astraux"
"heroes.name_fancy.astral_dwarf_pluth","Nain astral bricoleur"
"heroes.name_fancy.astral_dwarf_quari","Nain astral pèlerin"
"heroes.name_fancy.astral_dwarf_salniss","Naine astrale gardienne"
"heroes.name_fancy.astral_dwarf_sedille","Naine astrale porteuse de lumière"
"heroes.name_fancy.astral_dwarf_vard","Grand maître des nains astraux"
"heroes.name_fancy.astral_hammerclang","Elfe astral forgeron"
"heroes.name_fancy.astral_lemonwood","Elfe astral tireur d'élite"
"heroes.name_fancy.astral_lionstring","Elfe astral couturier"
"heroes.name_fancy.astral_melodymuse","Elfe astral poète"
"heroes.name_fancy.astral_moonbell","Invocateur des elfes astraux"
"heroes.name_fancy.astral_mooncure","Faiseur d'encens des elfes astraux"
"heroes.name_fancy.astral_moonflower","Elfe astrale botaniste"
"heroes.name_fancy.astral_sparklight","Champion elfe astral"
"heroes.name_fancy.astral_starlass","Elfe astral arbalétrier"
"heroes.name_fancy.astral_starswift","Jeune elfe astral"
"heroes.name_fancy.astral_starwalker","Roi des elfes astraux"
"heroes.name_fancy.astral_voidstar","Grand chevalier des elfes astraux"
"heroes.name_fancy.ballerina_armand","Mécène sceptique"
"heroes.name_fancy.ballerina_benno","Ami du trône"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Rossignol de l'opéra"
"heroes.name_fancy.ballerina_daroga","Gentilhomme aux yeux de jade"
"heroes.name_fancy.ballerina_firmin","Spectateur parvenu"
"heroes.name_fancy.ballerina_madame_giry","Matrone des danseuses"
"heroes.name_fancy.ballerina_meg_giry","Ballerine célèbre"
"heroes.name_fancy.ballerina_odette","Cygne blanc"
"heroes.name_fancy.ballerina_odile","Cygne noir"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Éminence mystérieuse"
"heroes.name_fancy.ballerina_prince_siegfried","Futur roi"
"heroes.name_fancy.ballerina_raul","Noble amoureux"
"heroes.name_fancy.ballerina_swan_maiden","Petit cygne"
"heroes.name_fancy.ballerina_uberta","Reine veuve"
"heroes.name_fancy.ballerina_von_rothbart","Magicien redouté"
"heroes.name_fancy.bard_astrid","Barde de résurrection"
"heroes.name_fancy.bard_balafon","Barde du festival des esprits"
"heroes.name_fancy.bard_belladonna","Barde du surnaturel"
"heroes.name_fancy.bard_bhaltair","Nain-orchestre"
"heroes.name_fancy.bard_bonzo","Barde de l'étrange"
"heroes.name_fancy.bard_celimene","Barde de l'illusion"
"heroes.name_fancy.bard_darkbeat","Maître du pogo"
"heroes.name_fancy.bard_dunnar_hart","Batteur magmatique"
"heroes.name_fancy.bard_garyas","Barde de la joie"
"heroes.name_fancy.bard_lyria","Musicienne enthousiaste"
"heroes.name_fancy.bard_merith","Violoniste ophidienne"
"heroes.name_fancy.bard_narcisa","Barde du charme"
"heroes.name_fancy.bard_ogima","Barde des esprits"
"heroes.name_fancy.bard_phenexa","Barde des murmures"
"heroes.name_fancy.bard_rhys","Barde du courage"
"heroes.name_fancy.bard_winifred","Barde de la création"
"heroes.name_fancy.bard_zarel","Barde de la connaissance"
"heroes.name_fancy.bard_zhabog","Barde de l'éloquence"
"heroes.name_fancy.beachparty_andy_jay","Fêtard du littoral ensoleillé"
"heroes.name_fancy.beachparty_brebarg","Pro des châteaux de sable"
"heroes.name_fancy.beachparty_davey_wavey","Requin en formation"
"heroes.name_fancy.beachparty_dillo","Tatou tout trempé"
"heroes.name_fancy.beachparty_dolrak","Nain trop bronzé"
"heroes.name_fancy.beachparty_flip","Phoque sauveteur"
"heroes.name_fancy.beachparty_flip_costume_donut","Phoque vendeur de beignets"
"heroes.name_fancy.beachparty_itham","Elfe maître-nageur"
"heroes.name_fancy.beachparty_mazoga","Orc éclabousseur"
"heroes.name_fancy.beachparty_misty","Gnome plongeuse"
"heroes.name_fancy.beachparty_mortimer","Elfe noir surfeur"
"heroes.name_fancy.beachparty_serena","Mondaine du littoral"
"heroes.name_fancy.beachparty_zenukwa","Fana des glaces"
"heroes.name_fancy.beauty_beast_cerissa","Fée gracieuse du château enchanté"
"heroes.name_fancy.beauty_beast_chandel","Illuminatrice du château enchanté"
"heroes.name_fancy.beauty_beast_dominique","Protecteur fidèle"
"heroes.name_fancy.beauty_beast_laurent","Garde pétrifié du château enchanté"
"heroes.name_fancy.beauty_beast_lucas","Frère cadet de Dominique"
"heroes.name_fancy.beauty_beast_rose_de_flo","Fleur du château enchanté"
"heroes.name_fancy.beauty_beast_the_beast","Prince esseulé du château enchanté"
"heroes.name_fancy.beowulf_aeschere","Sage des Scyldings"
"heroes.name_fancy.beowulf_beowulf","Épée des Geats"
"heroes.name_fancy.beowulf_breca","Compagnon bénéfique"
"heroes.name_fancy.beowulf_ecgtheow","Chef de guerre féroce"
"heroes.name_fancy.beowulf_freawaru","Tisseuse de paix"
"heroes.name_fancy.beowulf_grendel","Brute briseuse d'épées"
"heroes.name_fancy.beowulf_grendels_mother","Vieillarde terrifiante"
"heroes.name_fancy.beowulf_hrothgar","Maître de la taverne"
"heroes.name_fancy.beowulf_hygd","Reine des Geats"
"heroes.name_fancy.beowulf_modthryth","Protectrice sans remords"
"heroes.name_fancy.beowulf_nithgaest","Cauchemar de Beowulf"
"heroes.name_fancy.beowulf_unferth","Détenteur de Hrunting"
"heroes.name_fancy.beowulf_wealhtheow","Cœur royal"
"heroes.name_fancy.beowulf_weland","Artisane de talent"
"heroes.name_fancy.beowulf_wiglaf","Fils de Weohstan"
"heroes.name_fancy.blackguard_commander","Duc lugubre"
"heroes.name_fancy.blackguard_commander_costume_cute","Cartoon lugubre"
"heroes.name_fancy.blackguard_commander_costume_feather","Duc inconsolable"
"heroes.name_fancy.blackguard_commander_costume_glass","Vitrail lugubre"
"heroes.name_fancy.blackguard_commander_costume_metal","Duc du roc"
"heroes.name_fancy.blackguard_female_archer","Archère en herbe"
"heroes.name_fancy.blackguard_female_captain","Protectrice résolue"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Cartoon déterminée"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Vitrail résolu"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Gardienne résolue"
"heroes.name_fancy.blackguard_knight","Cavalier noble"
"heroes.name_fancy.blackguard_knight_costume_cute","Cavalier cartoonesque"
"heroes.name_fancy.blackguard_knight_costume_elegant","Noble pimpant"
"heroes.name_fancy.blackguard_knight_costume_glass","Cavalier de verre"
"heroes.name_fancy.blackguard_knight_costume_healer","Soigneur noble"
"heroes.name_fancy.blackguard_scout","Fugitif morgovien"
"heroes.name_fancy.blackguard_skulker","Assassin dérangé"
"heroes.name_fancy.blackguard_skulker_costume_cute","Cartoon détraqué"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Chirurgien détraqué"
"heroes.name_fancy.blackguard_skulker_costume_glass","Assassin de verre"
"heroes.name_fancy.castle_bear_armel","Ambassadeur arctique"
"heroes.name_fancy.castle_bear_bearnadette","Portraitiste"
"heroes.name_fancy.castle_bear_humbert","Protecteur des hautes terres"
"heroes.name_fancy.castle_bear_koda","Chevalier du bois aux pruniers"
"heroes.name_fancy.castle_bear_teddy","Cœur pur"
"heroes.name_fancy.castle_bear_torben","Seigneur des hautes terres"
"heroes.name_fancy.castle_bear_winnie","Armurière ursine"
"heroes.name_fancy.castle_bear_yona","Bouffon des hautes terres"
"heroes.name_fancy.castle_raven_aderyn","Médecin du château"
"heroes.name_fancy.castle_raven_eloise","Enchanteresse du château"
"heroes.name_fancy.castle_raven_franz","Protecteur du château"
"heroes.name_fancy.castle_raven_lewena","Tireuse d'élite du château"
"heroes.name_fancy.castle_raven_quintin","Traqueur du château"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Chasseur de glace des corbeaux"
"heroes.name_fancy.castle_raven_rayne","Capitaine du château"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Capitaine des corbeaux"
"heroes.name_fancy.castle_raven_wren","Éclaireur du château"
"heroes.name_fancy.castle_stag_alvar","Pionnier"
"heroes.name_fancy.castle_stag_cecilia","Élue du crépuscule"
"heroes.name_fancy.castle_stag_daemon","Vengeur des flétris"
"heroes.name_fancy.castle_stag_fawn","Écuyère dévouée"
"heroes.name_fancy.castle_stag_lysanor","Rêveuse de saphir"
"heroes.name_fancy.castle_stag_raleigh","Érudit de la forêt d'émeraude"
"heroes.name_fancy.castle_stag_siofra","Gardienne du serment"
"heroes.name_fancy.castle_stag_xiamara","Gardienne de la forêt d'émeraude"
"heroes.name_fancy.castle_wolf_bertulf","Chef du château"
"heroes.name_fancy.castle_wolf_esme","Archimage du château"
"heroes.name_fancy.castle_wolf_ferant","Protecteur du château"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Gardien des corbeaux"
"heroes.name_fancy.castle_wolf_ludwig","Défenseur du château"
"heroes.name_fancy.castle_wolf_quenell","Championne du château"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Championne des corbeaux"
"heroes.name_fancy.castle_wolf_wolfgang","Commandant du château"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Commandant des loups"
"heroes.name_fancy.champions_lazara","Championne de baseball"
"heroes.name_fancy.champions_mistra","Championne de lancer de disque"
"heroes.name_fancy.champions_nogu","Champion de javelot"
"heroes.name_fancy.champions_norman","Champion de joute"
"heroes.name_fancy.champions_ramona","Championne de course de béliers"
"heroes.name_fancy.champions_satori","Champion de sumo"
"heroes.name_fancy.christmas_albin","Expert du chocolat chaud"
"heroes.name_fancy.christmas_augustus","Gnome ancien"
"heroes.name_fancy.christmas_buster","Gnome grincheux"
"heroes.name_fancy.christmas_carol","Assistant du père Noël"
"heroes.name_fancy.christmas_cookie","Gnome scientifique"
"heroes.name_fancy.christmas_dizzy","Gnome amuseur"
"heroes.name_fancy.christmas_elf","Assistant du père Noël"
"heroes.name_fancy.christmas_elf_costume_gift_bookkeper","Comptable du Père Noël"
"heroes.name_fancy.christmas_florencia","Gardienne des neiges"
"heroes.name_fancy.christmas_frosty","Sentinelle du Nord"
"heroes.name_fancy.christmas_ginger","Gnome exploratrice"
"heroes.name_fancy.christmas_ginger_costume_gift_wrapper","Lutine maîtresse des cadeaux"
"heroes.name_fancy.christmas_holly","Gnome cuisinière"
"heroes.name_fancy.christmas_jolly","Gnome bûcheron"
"heroes.name_fancy.christmas_krampus","Goule festive"
"heroes.name_fancy.christmas_krampus_costume_eager_devil","Farceur des fêtes"
"heroes.name_fancy.christmas_mr_pengi","Capitaine de la garde du Père Noël"
"heroes.name_fancy.christmas_mr_pengi_costume_snowboarder","Capitaine de l'équipe de snowboard"
"heroes.name_fancy.christmas_mrs_claus","Cuisinière du Nord"
"heroes.name_fancy.christmas_mrs_claus_costume_fangirl","Amatrice de pulls des fêtes"
"heroes.name_fancy.christmas_noel","Garçon joyeux au traîneau"
"heroes.name_fancy.christmas_ottilia","Gnome décoratrice"
"heroes.name_fancy.christmas_peppermint","Gnome alchimiste"
"heroes.name_fancy.christmas_reindeer","Fidèle monture du père Noël"
"heroes.name_fancy.christmas_reindeer_costume_knightly_steed","Fier destrier du Père Noël"
"heroes.name_fancy.christmas_santa","Le porteur de cadeaux"
"heroes.name_fancy.christmas_santa_costume_metal","Père Noël rockeur"
"heroes.name_fancy.christmas_tinsel","Gnome bricoleuse"
"heroes.name_fancy.christmas_zappa","Gnome sorcier"
"heroes.name_fancy.circus_bobo","Yéti au grand cœur"
"heroes.name_fancy.circus_candy","Joyeuse luronne"
"heroes.name_fancy.circus_dandre","Jongleur adroit"
"heroes.name_fancy.circus_director_zuri","Maîtresse du cirque"
