"heroes.name_fancy.astral_cosmicspeaker","Astronom Elf Astral"
"heroes.name_fancy.astral_demilune","Orakel Elf Astral"
"heroes.name_fancy.astral_demon_agharoth","Penjaga Gerbang Setan Astral"
"heroes.name_fancy.astral_demon_anatemah","Kaisar Wanita Setan Astral"
"heroes.name_fancy.astral_demon_ibelis","Pengawal Bayangan Setan Astral"
"heroes.name_fancy.astral_demon_mael","Pengejar Setan Astral"
"heroes.name_fancy.astral_demon_paimon","Legislator Setan Astral"
"heroes.name_fancy.astral_demon_salome","Sosialita Setan Astral"
"heroes.name_fancy.astral_demon_turundh","Inkuisitor Setan Astral"
"heroes.name_fancy.astral_demon_xshahr","Panglima Perang Setan Astral"
"heroes.name_fancy.astral_dreadstar","Ratu Elf Astral"
"heroes.name_fancy.astral_dwarf_ceris","Magus Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_chires","Penyuka Manis Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_errin","Pembuat Mainan Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_gongoth","Kompetitornya Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_haumri","Augur Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_hygil","Kartografer Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_ixinn","Penghancurnya Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_lemniss","Penambangnya Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_maegwyn","Pelayan Bar Para Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_orcur","Tukang Kebun Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_pluth","Pengulik Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_quari","Peziarah Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_salniss","Penjaga Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_sedille","Pembawa Cahaya Kurcaci Astral"
"heroes.name_fancy.astral_dwarf_vard","Grand Master Kurcaci Astral"
"heroes.name_fancy.astral_hammerclang","Pandai Besi Elf Astral"
"heroes.name_fancy.astral_lemonwood","Jago Tembak Elf Astral"
"heroes.name_fancy.astral_lionstring","Penjahit Elf Astral"
"heroes.name_fancy.astral_melodymuse","Pujangga Elf Astral"
"heroes.name_fancy.astral_moonbell","Pemanggil Elf Astral"
"heroes.name_fancy.astral_mooncure","Master Dupa Elf Astral"
"heroes.name_fancy.astral_moonflower","Ahli Botani Elf Astral"
"heroes.name_fancy.astral_sparklight","Juara Elf Astral"
"heroes.name_fancy.astral_starlass","Pemanah Busur Silang Elf Astral"
"heroes.name_fancy.astral_starswift","Pemuda Elf Astral"
"heroes.name_fancy.astral_starwalker","Raja Elf Astral"
"heroes.name_fancy.astral_voidstar","Kesatria Agung Elf Astral"
"heroes.name_fancy.ballerina_armand","Pelindung Seni yang Skeptis"
"heroes.name_fancy.ballerina_benno","Teman Takhta"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Biduanita Opera"
"heroes.name_fancy.ballerina_daroga","Pria Bermata Giok"
"heroes.name_fancy.ballerina_firmin","Pelindung Pemula"
"heroes.name_fancy.ballerina_madame_giry","Ibu Pengawas Penari"
"heroes.name_fancy.ballerina_meg_giry","Balerina Bintang Muda"
"heroes.name_fancy.ballerina_odette","Angsa Putih"
"heroes.name_fancy.ballerina_odile","Angsa Hitam"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Dalang Misterius"
"heroes.name_fancy.ballerina_prince_siegfried","Raja Masa Depan"
"heroes.name_fancy.ballerina_raul","Bangsawan Mabuk Cinta"
"heroes.name_fancy.ballerina_swan_maiden","Salah Satu Angsa Kecil"
"heroes.name_fancy.ballerina_uberta","Ratu Janda"
