"heroes.name_fancy.astral_cosmicspeaker","Astronoma degli elfi astrali"
"heroes.name_fancy.astral_demilune","Oracolo degli elfi astrali"
"heroes.name_fancy.astral_demon_agharoth","Guardiano dei demoni astrali"
"heroes.name_fancy.astral_demon_anatemah","Imperatrice dei demoni astrali"
"heroes.name_fancy.astral_demon_ibelis","Guardiano d'ombra dei demoni astrali"
"heroes.name_fancy.astral_demon_mael","Inseguitore dei demoni astrali"
"heroes.name_fancy.astral_demon_paimon","Legislatore dei demoni astrali"
"heroes.name_fancy.astral_demon_salome","Demone astrale dell'alta società"
"heroes.name_fancy.astral_demon_xshahr","Condottiero dei demoni astrali"
"heroes.name_fancy.astral_dreadstar","Regina degli elfi astrali"
"heroes.name_fancy.astral_dwarf_ceris","Maga dei nani astrali"
"heroes.name_fancy.astral_dwarf_chires","Nano astrale golosa"
"heroes.name_fancy.astral_dwarf_errin","Nano astrale giocattolaio"
"heroes.name_fancy.astral_dwarf_gongoth","Contendente dei nani astrali"
"heroes.name_fancy.astral_dwarf_haumri","Fauno dei nani astrali"
"heroes.name_fancy.astral_dwarf_hygil","Cartografo dei nani astrali"
"heroes.name_fancy.astral_dwarf_ixinn","Demolitrice dei nani astrali"
"heroes.name_fancy.astral_dwarf_lemniss","Minatrice dei nani astrali"
"heroes.name_fancy.astral_dwarf_maegwyn","Barista dei nani astrali"
"heroes.name_fancy.astral_dwarf_orcur","Giardiniere dei nani astrali"
"heroes.name_fancy.astral_dwarf_pluth","Tuttofare dei nani astrali"
"heroes.name_fancy.astral_dwarf_quari","Pellegrino dei nani astrali"
"heroes.name_fancy.astral_dwarf_salniss","Guardiana dei nani astrali"
"heroes.name_fancy.astral_dwarf_sedille","Portatrice di luce dei nani astrali"
"heroes.name_fancy.astral_dwarf_vard","Gran maestro dei nani astrali"
"heroes.name_fancy.astral_hammerclang","Fabbro degli elfi astrali"
"heroes.name_fancy.astral_lemonwood","Tiratore scelto degli elfi astrali"
"heroes.name_fancy.astral_lionstring","Sarto degli elfi astrali"
