"heroes.name_fancy.astral_cosmicspeaker","アストラルエルフの天文学者"
"heroes.name_fancy.astral_demilune","アストラルエルフの神官"
"heroes.name_fancy.astral_demon_agharoth","アストラルデーモンの門番"
"heroes.name_fancy.astral_demon_anatemah","アストラルデーモンの女帝"
"heroes.name_fancy.astral_demon_carthizux","狂気のアストラルデーモン"
"heroes.name_fancy.astral_demon_haradea","アストラルデーモンのボイドベンダー"
"heroes.name_fancy.astral_demon_ibelis","アストラルデーモンの影の護衛"
"heroes.name_fancy.astral_demon_mael","アストラルデーモンの追跡者"
"heroes.name_fancy.astral_demon_paimon","アストラルデーモンの立法者"
"heroes.name_fancy.astral_demon_salome","アストラルデーモンの貴婦人"
"heroes.name_fancy.astral_demon_turundh","アストラルデーモンの尋問官"
"heroes.name_fancy.astral_demon_ushal","アストラルデーモンの宇宙魔術師"
"heroes.name_fancy.astral_demon_xshahr","アストラルデーモンの武将"
"heroes.name_fancy.astral_demon_zondalath","アストラルデーモンのサンウィールダー"
"heroes.name_fancy.astral_dreadstar","アストラルエルフの女王"
"heroes.name_fancy.astral_dwarf_ceris","アストラルドワーフの魔法使い"
"heroes.name_fancy.astral_dwarf_chires","アストラルドワーフの甘党"
"heroes.name_fancy.astral_dwarf_errin","アストラルドワーフのおもちゃ屋"
"heroes.name_fancy.astral_dwarf_gongoth","アストラルドワーフの競技手"
"heroes.name_fancy.astral_dwarf_haumri","アストラルドワーフの占い師"
"heroes.name_fancy.astral_dwarf_hygil","アストラルドワーフの地図職人"
"heroes.name_fancy.astral_dwarf_ixinn","アストラルドワーフの破壊者"
"heroes.name_fancy.astral_dwarf_lemniss","アストラルドワーフの鉱員"
"heroes.name_fancy.astral_dwarf_maegwyn","アストラルドワーフのバーメイド"
"heroes.name_fancy.astral_dwarf_orcur","アストラルドワーフの庭師"
"heroes.name_fancy.astral_dwarf_pluth","アストラルドワーフの修理屋"
"heroes.name_fancy.astral_dwarf_quari","アストラルドワーフの巡礼者"
"heroes.name_fancy.astral_dwarf_salniss","アストラルドワーフの監視者"
"heroes.name_fancy.astral_dwarf_sedille","アストラルドワーフの光をもたらす者"
"heroes.name_fancy.astral_dwarf_vard","アストラルドワーフのグランドマスター"
"heroes.name_fancy.astral_hammerclang","アストラルエルフの鍛冶師"
"heroes.name_fancy.astral_lemonwood","アストラルエルフの射手"
"heroes.name_fancy.astral_lionstring","アストラルエルフの裁縫師"
"heroes.name_fancy.astral_melodymuse","アストラルエルフの詩人"
"heroes.name_fancy.astral_moonbell","アストラルエルフの召喚者"
"heroes.name_fancy.astral_mooncure","アストラルエルフのお香マスター"
"heroes.name_fancy.astral_moonflower","アストラルエルフの植物学者"
"heroes.name_fancy.astral_sparklight","アストラルエルフの戦士"
"heroes.name_fancy.astral_starlass","アストラルエルフの石弓射手"
"heroes.name_fancy.astral_starswift","アストラルエルフの若者"
"heroes.name_fancy.astral_starwalker","アストラルエルフの王"
"heroes.name_fancy.astral_voidstar","アストラルエルフの偉大な騎士"
"heroes.name_fancy.ballerina_armand","疑り深い芸術支援者"
"heroes.name_fancy.ballerina_benno","王の友人"
"heroes.name_fancy.ballerina_charlotta","プリマ・ドンナ"
"heroes.name_fancy.ballerina_christine_daae","オペラの歌姫"
"heroes.name_fancy.ballerina_daroga","翡翠目の紳士"
"heroes.name_fancy.ballerina_firmin","成り上がり者の後援者"
"heroes.name_fancy.ballerina_madame_giry","踊り子の女監督"
"heroes.name_fancy.ballerina_meg_giry","スターレット・バレリーナ"
"heroes.name_fancy.ballerina_odette","一流のバレリーナ"
"heroes.name_fancy.ballerina_odile","黒鳥"
"heroes.name_fancy.ballerina_phantom_of_the_opera","不可思議な偉大な知能を持つ者"
"heroes.name_fancy.ballerina_prince_siegfried","未来の王"
"heroes.name_fancy.ballerina_raul","恋に溺れし貴人"
"heroes.name_fancy.ballerina_swan_maiden","幼き白鳥の1人"
"heroes.name_fancy.ballerina_uberta","未亡人の女王"
"heroes.name_fancy.ballerina_von_rothbart","恐れられし魔術師"
"heroes.name_fancy.bard_astrid","蘇生の吟遊詩人"
"heroes.name_fancy.bard_balafon","魂の祝祭の吟遊詩人"
"heroes.name_fancy.bard_belladonna","不可思議な吟遊詩人"
"heroes.name_fancy.bard_bhaltair","ワンドワーフバンド"
"heroes.name_fancy.bard_bonzo","奇妙なる吟遊詩人"
"heroes.name_fancy.bard_celimene","幻想の吟遊詩人"
"heroes.name_fancy.bard_darkbeat","モッシュピットの音楽家"
"heroes.name_fancy.bard_dunnar_hart","マグマのドラマー"
"heroes.name_fancy.bard_garyas","喜びの吟遊詩人"
"heroes.name_fancy.bard_lyria","桁外れな熱量の楽器奏者"
"heroes.name_fancy.bard_merith","狡猾なバイオリン奏者"
"heroes.name_fancy.bard_narcisa","魅惑の詩人"
"heroes.name_fancy.bard_ogima","魂の吟遊詩人"
"heroes.name_fancy.bard_phenexa","ささやきの詩人"
"heroes.name_fancy.bard_rhys","勇敢な詩人"
"heroes.name_fancy.bard_winifred","創造の詩人"
"heroes.name_fancy.bard_zarel","伝説の吟遊詩人"
"heroes.name_fancy.bard_zhabog","雄弁な詩人"
"heroes.name_fancy.beachparty_andy_jay","陽の照らす浜辺のパーティー野郎"
"heroes.name_fancy.beachparty_brebarg","砂のお城作りのプロ"
"heroes.name_fancy.beachparty_davey_wavey","訓練中のサメ"
"heroes.name_fancy.beachparty_dillo","ずぶ濡れのアルマジロ"
"heroes.name_fancy.beachparty_dolrak","日焼けをし過ぎたドワーフ"
"heroes.name_fancy.beachparty_flip","アザラシのライフガード"
"heroes.name_fancy.beachparty_flip_costume_donut","アザラシドーナッツの販売人"
"heroes.name_fancy.beachparty_itham","エルフの水泳コーチ"
"heroes.name_fancy.beachparty_mazoga","オークの水鉄砲手"
"heroes.name_fancy.beachparty_misty","シュノーケリング中のノーム"
"heroes.name_fancy.beachparty_mortimer","ダークエルフのサーファー"
"heroes.name_fancy.beachparty_serena","浜辺の貴婦人"
"heroes.name_fancy.beachparty_zenukwa","大のアイスクリーム好き"
"heroes.name_fancy.beauty_beast_cerissa","魔法の城の礼儀正しき妖精"
"heroes.name_fancy.beauty_beast_chandel","魔法の城の照明"
"heroes.name_fancy.beauty_beast_dominique","忠実な守護者"
"heroes.name_fancy.beauty_beast_ivete","魔法の城の嫉妬深い妖精"
"heroes.name_fancy.beauty_beast_jacquespierre","美女の父であり、有名な発明家"
"heroes.name_fancy.beauty_beast_laurent","魔法の城の石像守衛"
"heroes.name_fancy.beauty_beast_lucas","ドミニクの弟"
"heroes.name_fancy.beauty_beast_pendulus_clonk","魔法の城のせっかちな時計"
"heroes.name_fancy.beauty_beast_rose_de_flo","魔法の城の花"
"heroes.name_fancy.beauty_beast_seraphine","美女の意地悪な姉妹"
"heroes.name_fancy.beauty_beast_the_beast","魔法の城の孤独の王子"
"heroes.name_fancy.beowulf_aeschere","シュルド家の賢者"
"heroes.name_fancy.beowulf_beowulf","イェーアト族の剣"
"heroes.name_fancy.beowulf_breca","親密なる仲間"
"heroes.name_fancy.beowulf_ecgtheow","恐るべき戦闘指揮者"
"heroes.name_fancy.beowulf_freawaru","平和を紡ぐ者"
"heroes.name_fancy.beowulf_grendel","剣壊しの地獄の怪物"
"heroes.name_fancy.beowulf_grendels_mother","恐怖を広める湖の老婆"
"heroes.name_fancy.beowulf_hrothgar","宴の館の主人"
"heroes.name_fancy.beowulf_hygd","イェーアト族の女王"
"heroes.name_fancy.beowulf_modthryth","慈悲なき女性戦士"
"heroes.name_fancy.beowulf_nithgaest","ベオウルフの災いの元凶"
"heroes.name_fancy.beowulf_unferth","フルンティングの持ち主"
"heroes.name_fancy.beowulf_wealhtheow","指輪を与えられし高貴なる者"
"heroes.name_fancy.beowulf_weland","熟練の鍛冶師"
"heroes.name_fancy.beowulf_wiglaf","ウェーオホスターンの子"
"heroes.name_fancy.blackguard_commander","悲嘆の公爵"
"heroes.name_fancy.blackguard_commander_costume_cute","アニメ風の悲嘆の公爵"
"heroes.name_fancy.blackguard_commander_costume_feather","嘆きの公爵"
"heroes.name_fancy.blackguard_commander_costume_glass","悲嘆のヴィトレイル"
"heroes.name_fancy.blackguard_commander_costume_metal","岩石公爵"
"heroes.name_fancy.blackguard_female_archer","野心あふるる弓師"
"heroes.name_fancy.blackguard_female_captain","断固たる長"
"heroes.name_fancy.blackguard_female_captain_costume_cute","アニメ風の決意の女指揮官"
"heroes.name_fancy.blackguard_female_captain_costume_glass","揺るぎなきヴィトレイル"
