"heroes.name_fancy.astral_cosmicspeaker","아스트랄 엘프 천문학자"
"heroes.name_fancy.astral_demilune","아스트랄 엘프 오라클"
"heroes.name_fancy.astral_demon_agharoth","아스트랄 악귀 문지기"
"heroes.name_fancy.astral_demon_anatemah","아스트랄 악귀 여제"
"heroes.name_fancy.astral_demon_ibelis","아스트랄 데몬 섀도우가드"
"heroes.name_fancy.astral_demon_mael","아스트랄 악귀 추격자"
"heroes.name_fancy.astral_demon_paimon","아스트랄 악귀 의원"
"heroes.name_fancy.astral_demon_salome","아스트랄 데몬 소셜라이트"
"heroes.name_fancy.astral_demon_turundh","아스트랄 데몬 심문관"
"heroes.name_fancy.astral_demon_xshahr","아스트랄 악귀 군주"
"heroes.name_fancy.astral_dreadstar","아스트랄 엘프 여왕"
"heroes.name_fancy.astral_dwarf_ceris","아스트랄 드워프 매거스"
"heroes.name_fancy.astral_dwarf_chires","아스트랄 드워프 당중독자"
"heroes.name_fancy.astral_dwarf_errin","아스트랄 드워프 장난감제작자"
"heroes.name_fancy.astral_dwarf_gongoth","아스트랄 드워프 도전자"
"heroes.name_fancy.astral_dwarf_haumri","아스트랄 드워프 오우거"
"heroes.name_fancy.astral_dwarf_hygil","아스트랄 드워프 지도제작자"
"heroes.name_fancy.astral_dwarf_ixinn","아스트랄 드워프 파괴자"
"heroes.name_fancy.astral_dwarf_lemniss","아스트랄 드워프 광부"
"heroes.name_fancy.astral_dwarf_maegwyn","아스트랄 드워프 술집 종업원"
"heroes.name_fancy.astral_dwarf_orcur","아스트랄 드워프 정원사"
"heroes.name_fancy.astral_dwarf_pluth","아스트랄 드워프 땜장이"
"heroes.name_fancy.astral_dwarf_quari","아스트랄 드워프 순례자"
"heroes.name_fancy.astral_dwarf_salniss","아스트랄 드워프 감시자"
"heroes.name_fancy.astral_dwarf_sedille","아스트랄 드워프 라이트베어러"
"heroes.name_fancy.astral_dwarf_vard","아스트랄 드워프 그랜드 마스터"
"heroes.name_fancy.astral_hammerclang","아스트랄 엘프 대장장이"
"heroes.name_fancy.astral_lemonwood","아스트랄 엘프 명사수"
"heroes.name_fancy.astral_lionstring","아스트랄 엘프 재봉사"
"heroes.name_fancy.astral_melodymuse","아스트랄 엘프 시인"
"heroes.name_fancy.astral_moonbell","아스트랄 엘프 소환사"
"heroes.name_fancy.astral_mooncure","아스트랄 엘프 향 마스터"
"heroes.name_fancy.astral_moonflower","아스트랄 엘프 식물학자"
"heroes.name_fancy.astral_sparklight","아스트랄 엘프 챔피언"
"heroes.name_fancy.astral_starlass","아스트랄 엘프 궁수"
"heroes.name_fancy.astral_starswift","아스트랄 엘프 젊은이"
"heroes.name_fancy.astral_starwalker","아스트랄 엘프 왕"
"heroes.name_fancy.astral_voidstar","아스트랄 엘프 대기사"
"heroes.name_fancy.ballerina_armand","회의적인 예술 후원자"
"heroes.name_fancy.ballerina_benno","왕좌의 친구"
"heroes.name_fancy.ballerina_charlotta","프리마돈나"
"heroes.name_fancy.ballerina_christine_daae","오페라의 명금"
"heroes.name_fancy.ballerina_daroga","비취색 눈동자의 신사"
"heroes.name_fancy.ballerina_firmin","졸부 후원자"
"heroes.name_fancy.ballerina_madame_giry","무용수 관리자"
"heroes.name_fancy.ballerina_meg_giry","신인 발레리나"
"heroes.name_fancy.ballerina_odette","백조"
"heroes.name_fancy.ballerina_odile","흑조"
"heroes.name_fancy.ballerina_phantom_of_the_opera","신비한 주모자"
"heroes.name_fancy.ballerina_prince_siegfried","미래의 왕"
"heroes.name_fancy.ballerina_raul","사랑에 빠진 귀족"
"heroes.name_fancy.ballerina_swan_maiden","아기 백조 중 하나"
"heroes.name_fancy.ballerina_uberta","미망인 여왕"
"heroes.name_fancy.ballerina_von_rothbart","무시무시한 마술사"
"heroes.name_fancy.bard_astrid","부활의 음유시인"
"heroes.name_fancy.bard_balafon","영혼 축제의 음유시인"
"heroes.name_fancy.bard_belladonna","초자연의 시인"
"heroes.name_fancy.bard_bhaltair","난쟁이 1인 밴드"
"heroes.name_fancy.bard_bonzo","이상한 음유시인"
"heroes.name_fancy.bard_celimene","환상의 시인"
"heroes.name_fancy.bard_darkbeat","모시핏 마에스트로"
"heroes.name_fancy.bard_dunnar_hart","마그마 드러머"
"heroes.name_fancy.bard_garyas","즐거움의 시인"
"heroes.name_fancy.bard_lyria","유난히 열정적인 연주자"
"heroes.name_fancy.bard_merith","뱀 바이올리니스트"
"heroes.name_fancy.bard_narcisa","화려함의 시인"
"heroes.name_fancy.bard_ogima","영혼의 시인"
"heroes.name_fancy.bard_phenexa","속삭임의 시인"
"heroes.name_fancy.bard_rhys","용기의 시인"
"heroes.name_fancy.bard_winifred","창조의 시인"
"heroes.name_fancy.bard_zarel","이야기의 시인"
"heroes.name_fancy.bard_zhabog","달변의 시인"
"heroes.name_fancy.beachparty_andy_jay","햇살 가득한 해변의 계시자"
"heroes.name_fancy.beachparty_brebarg","모래성 전문가"
"heroes.name_fancy.beachparty_davey_wavey","훈련 중인 샤크"
"heroes.name_fancy.beachparty_dillo","흠뻑 젖은 아르마딜로"
"heroes.name_fancy.beachparty_dolrak","너무 많이 태운 드워프"
"heroes.name_fancy.beachparty_flip","바다표범 구조대원"
"heroes.name_fancy.beachparty_flip_costume_donut","물개 도넛 판매자"
"heroes.name_fancy.beachparty_itham","엘프 수영 교실 강사"
"heroes.name_fancy.beachparty_mazoga","오크 물총사수"
"heroes.name_fancy.beachparty_misty","스노클링 난쟁이 요청"
"heroes.name_fancy.beachparty_mortimer","다크 엘프 서퍼"
"heroes.name_fancy.beachparty_serena","해안가 소셜라이트"
