"heroes.name_fancy.astral_cosmicspeaker","Astralalv-astronom"
"heroes.name_fancy.astral_demilune","Astralalv-orakel"
"heroes.name_fancy.astral_demon_agharoth","Astraldemon-portvokter"
"heroes.name_fancy.astral_demon_anatemah","Astraldemon-keiserinne"
"heroes.name_fancy.astral_demon_ibelis","Astral demonskyggevakt"
"heroes.name_fancy.astral_demon_mael","Astraldemon-forfølger"
"heroes.name_fancy.astral_demon_paimon","Astraldemon-lovgiver"
"heroes.name_fancy.astral_demon_salome","Astral demonkjendis"
"heroes.name_fancy.astral_demon_xshahr","Astraldemon-krigsherre"
"heroes.name_fancy.astral_dreadstar","Dronning over astralalvene"
"heroes.name_fancy.astral_dwarf_ceris","Astraldvergprest"
"heroes.name_fancy.astral_dwarf_chires","Astraldverg-søtsakermaker"
"heroes.name_fancy.astral_dwarf_errin","Astraldverg-lekemaker"
"heroes.name_fancy.astral_dwarf_gongoth","Astraldvergutfordrer"
"heroes.name_fancy.astral_dwarf_haumri","Astraldvergtegntyder"
"heroes.name_fancy.astral_dwarf_hygil","Astraldverg-kartograf"
"heroes.name_fancy.astral_dwarf_ixinn","Astraldvergødelegger"
"heroes.name_fancy.astral_dwarf_lemniss","Astraldverg-gruvearbeider"
"heroes.name_fancy.astral_dwarf_maegwyn","Astraldvergbarpike"
"heroes.name_fancy.astral_dwarf_orcur","Astraldverggartner"
"heroes.name_fancy.astral_dwarf_pluth","Astraldvergoppfinner"
"heroes.name_fancy.astral_dwarf_quari","Astraldvergpilgrim"
"heroes.name_fancy.astral_dwarf_salniss","Astraldvergvokter"
"heroes.name_fancy.astral_dwarf_sedille","Astraldverg-lysbærer"
"heroes.name_fancy.astral_dwarf_vard","Astraldvergstormester"
"heroes.name_fancy.astral_hammerclang","Astralalv-smed"
"heroes.name_fancy.astral_lemonwood","Astralalv-skytter"
"heroes.name_fancy.astral_lionstring","Astralalv-skredder"
"heroes.name_fancy.astral_melodymuse","Astralalv-poet"
"heroes.name_fancy.astral_moonbell","Astralalv-fremkaller"
"heroes.name_fancy.astral_mooncure","Astralalv-røkelsesmester"
"heroes.name_fancy.astral_moonflower","Astralalv--botaniker"
"heroes.name_fancy.astral_sparklight","Astralalv-mester"
"heroes.name_fancy.astral_starlass","Astralalv-armbrøstskytter"
"heroes.name_fancy.astral_starswift","Astralalv-ungdom"
"heroes.name_fancy.astral_starwalker","Kongen over astralalvene"
"heroes.name_fancy.astral_voidstar","Astralalv-storridder"
"heroes.name_fancy.ballerina_armand","Skeptiske beskyttere av kunst"
"heroes.name_fancy.ballerina_benno","Venn av tronen"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Operaens sangfugl"
"heroes.name_fancy.ballerina_daroga","Gentleman med grønne øyne"
