"heroes.name_fancy.astral_cosmicspeaker","Astronomka astralnych elfów"
"heroes.name_fancy.astral_demilune","Wyrocznia astralnych elfów"
"heroes.name_fancy.astral_demon_agharoth","Astralny demoniczny stróż"
"heroes.name_fancy.astral_demon_anatemah","Astralna demoniczna imperatorka"
"heroes.name_fancy.astral_demon_carthizux","Astralny maniakalny demon"
"heroes.name_fancy.astral_demon_haradea","Astralny demoniczny zaklinacz pustki"
"heroes.name_fancy.astral_demon_ibelis","Mroczny strażnik astralnych demonów"
"heroes.name_fancy.astral_demon_mael","Astralny demoniczny prześladowca"
"heroes.name_fancy.astral_demon_paimon","Astralny demoniczny prawodawca"
"heroes.name_fancy.astral_demon_salome","Bywalec astralnych demonów"
"heroes.name_fancy.astral_demon_turundh","Astralny demon inkwizytor"
"heroes.name_fancy.astral_demon_ushal","Astralny demoniczny kosmomag"
"heroes.name_fancy.astral_demon_xshahr","Astralny demoniczny watażka"
"heroes.name_fancy.astral_demon_zondalath","Astralny demoniczny dzierżyciel słońca"
"heroes.name_fancy.astral_dreadstar","Królowa astralnych elfów"
"heroes.name_fancy.astral_dwarf_ceris","Magini astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_chires","Amator słodyczy astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_errin","Zabawkarz astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_gongoth","Wojak astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_haumri","Wróżbita astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_hygil","Kartograf astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_ixinn","Niszczyciel astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_lemniss","Górnik astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_maegwyn","Barmanka astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_orcur","Ogrodnik astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_pluth","Majsterkowicz astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_quari","Pielgrzym astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_salniss","Strażniczka astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_sedille","Nosiciel światła astralnych krasnoludów"
"heroes.name_fancy.astral_dwarf_vard","Arcymistrz astralnych krasnoludów"
"heroes.name_fancy.astral_hammerclang","Kowal astralnych elfów"
"heroes.name_fancy.astral_lemonwood","Strzelec astralnych elfów"
"heroes.name_fancy.astral_lionstring","Krawiec astralnych elfów"
"heroes.name_fancy.astral_melodymuse","Poeta astralnych elfów"
"heroes.name_fancy.astral_moonbell","Przywoływacz astralnych elfów"
"heroes.name_fancy.astral_mooncure","Mistrz kadzideł astralnych elfów"
"heroes.name_fancy.astral_moonflower","Botanik astralnych elfów"
"heroes.name_fancy.astral_sparklight","Czempion astralnych elfów"
"heroes.name_fancy.astral_starlass","Kusznik astralnych elfów"
"heroes.name_fancy.astral_starswift","Młody astralny elf"
"heroes.name_fancy.astral_starwalker","Król astralnych elfów"
"heroes.name_fancy.astral_voidstar","Wielki rycerz astralnych elfów"
"heroes.name_fancy.ballerina_armand","Sceptyczny mecenas sztuki"
"heroes.name_fancy.ballerina_benno","Przyjaciel tronu"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Ptaszyna operowa"
"heroes.name_fancy.ballerina_daroga","Nefrytooki dżentelmen"
"heroes.name_fancy.ballerina_firmin","Początkujący patron"
"heroes.name_fancy.ballerina_madame_giry","Opiekunka tancerzy"
"heroes.name_fancy.ballerina_meg_giry","Gwiezdna baletnica"
"heroes.name_fancy.ballerina_odette","Biały łabędź"
"heroes.name_fancy.ballerina_odile","Czarna łabędzica"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Tajemniczy geniusz"
"heroes.name_fancy.ballerina_prince_siegfried","Przyszły król"
"heroes.name_fancy.ballerina_raul","Tęskny szlachcic"
"heroes.name_fancy.ballerina_swan_maiden","Jedna z małych łabędzi"
"heroes.name_fancy.ballerina_uberta","Królowa wdowa"
"heroes.name_fancy.ballerina_von_rothbart","Straszny magik"
"heroes.name_fancy.bard_astrid","Bardka Wskrzeszenia"
"heroes.name_fancy.bard_balafon","Bardka Duchowego Festiwalu"
"heroes.name_fancy.bard_belladonna","Bard rzeczy nadprzyrodzonych"
"heroes.name_fancy.bard_bhaltair","Krasnolud Orkiestra"
"heroes.name_fancy.bard_bonzo","Bard Dziwactwa"
"heroes.name_fancy.bard_celimene","Bard iluzji"
"heroes.name_fancy.bard_darkbeat","Mistrz pogo"
"heroes.name_fancy.bard_dunnar_hart","Magmowy bębniarz"
"heroes.name_fancy.bard_garyas","Bard szczęścia"
"heroes.name_fancy.bard_lyria","Niezwykle ochocza instrumentalistka"
"heroes.name_fancy.bard_merith","Serpentynowa skrzypaczka"
"heroes.name_fancy.bard_narcisa","Bardka elegancji"
"heroes.name_fancy.bard_ogima","Bard dusz"
"heroes.name_fancy.bard_phenexa","Bardka szeptu"
"heroes.name_fancy.bard_rhys","Bard odwagi"
"heroes.name_fancy.bard_winifred","Bardka stworzenia"
"heroes.name_fancy.bard_zarel","Bard tradycji"
"heroes.name_fancy.bard_zhabog","Bard elokwencji"
"heroes.name_fancy.beachparty_andy_jay","Imprezowicz ze Słonecznych Brzegów"
"heroes.name_fancy.beachparty_brebarg","Znawca zamków z piasku"
"heroes.name_fancy.beachparty_davey_wavey","Trenujący rekin"
