"heroes.name_fancy.astral_cosmicspeaker","Astrônomo dos Elfos Astrais"
"heroes.name_fancy.astral_demilune","Oráculo dos Elfos Astrais"
"heroes.name_fancy.astral_demon_agharoth","Guardião dos Demônios Astrais"
"heroes.name_fancy.astral_demon_anatemah","Imperatriz dos Demônios Astrais"
"heroes.name_fancy.astral_demon_ibelis","Guarda das Sombras dos Demônios Astrais"
"heroes.name_fancy.astral_demon_mael","Perseguidor dos Demônios Astrais"
"heroes.name_fancy.astral_demon_paimon","Legislador dos Demônios Astrais"
"heroes.name_fancy.astral_demon_salome","Socialite dos Demônios Astrais"
"heroes.name_fancy.astral_demon_turundh","Inquisidor dos Demônios Astrais"
"heroes.name_fancy.astral_demon_xshahr","Senhor da guerra dos Demônios Astrais"
"heroes.name_fancy.astral_dreadstar","Rainha dos Elfos Astrais"
"heroes.name_fancy.astral_dwarf_ceris","Mago dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_chires","Guloso dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_errin","Fazedor de Brinquedos dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_gongoth","Competidor dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_haumri","Áugure dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_hygil","Cartógrafo dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_ixinn","Demolidor dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_lemniss","Mineira dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_maegwyn","Empregada dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_orcur","Jardineiro dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_pluth","Consertador dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_quari","Peregrino dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_salniss","Guardião dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_sedille","Portadora da Luz dos Anões Astrais"
"heroes.name_fancy.astral_dwarf_vard","Mestre dos Anões Astrais"
"heroes.name_fancy.astral_hammerclang","Ferreiro dos Elfos Astrais"
"heroes.name_fancy.astral_lemonwood","Atirador dos Elfos Astrais"
"heroes.name_fancy.astral_lionstring","Alfaiate dos Elfos Astrais"
"heroes.name_fancy.astral_melodymuse","Poeta dos Elfos Astrais"
"heroes.name_fancy.astral_moonbell","Convocador dos Elfos AStrais"
"heroes.name_fancy.astral_mooncure","Mestre do Incenso dos Elfos Astrais"
"heroes.name_fancy.astral_moonflower","Botânica dos Elfos Astrais"
"heroes.name_fancy.astral_sparklight","Campeão Élfico Astral"
"heroes.name_fancy.astral_starlass","Elfo Astral Besteiro"
"heroes.name_fancy.astral_starswift","Jovem Elfo Astral"
"heroes.name_fancy.astral_starwalker","Rei dos Elfos Astrais"
"heroes.name_fancy.astral_voidstar","Elfo Astral Cavaleiro"
"heroes.name_fancy.ballerina_armand","Patrono das Artes Cético"
"heroes.name_fancy.ballerina_benno","Amigo do Trono"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Pássaro Canoro"
"heroes.name_fancy.ballerina_daroga","Cavalheiro de Olhos Verdes"
"heroes.name_fancy.ballerina_firmin","Patrocinador"
"heroes.name_fancy.ballerina_madame_giry","Matrona das Bailarinas"
"heroes.name_fancy.ballerina_meg_giry","Bailarina Talentosa"
"heroes.name_fancy.ballerina_odette","Cisne Branco"
"heroes.name_fancy.ballerina_odile","Cisne Negro"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Gênio Misterioso"
"heroes.name_fancy.ballerina_prince_siegfried","Futuro Rei"
"heroes.name_fancy.ballerina_raul","Nobre Apaixonado"
"heroes.name_fancy.ballerina_swan_maiden","Pequena Cisne"
"heroes.name_fancy.ballerina_uberta","Rainha Viúva"
"heroes.name_fancy.ballerina_von_rothbart","Mágico Temido"
"heroes.name_fancy.bard_astrid","Bardo da Ressurreição"
"heroes.name_fancy.bard_balafon","Bardo dos Festivais Espirituais"
"heroes.name_fancy.bard_belladonna","Bardo do Sobrenatural"
"heroes.name_fancy.bard_bhaltair","Banda de Um Anão"
"heroes.name_fancy.bard_bonzo","Bardo do Inesperado"
"heroes.name_fancy.bard_celimene","Bardo da Ilusão"
