"heroes.name_fancy.astral_cosmicspeaker","Астральный эльф-астроном"
"heroes.name_fancy.astral_demilune","Астральный эльф-пророк"
"heroes.name_fancy.astral_demon_agharoth","Астральный демонический страж врат"
"heroes.name_fancy.astral_demon_anatemah","Астральная императрица демонов"
"heroes.name_fancy.astral_demon_ibelis","Теневой страж астральных демонов"
"heroes.name_fancy.astral_demon_mael","Астральный демонический охотник"
"heroes.name_fancy.astral_demon_paimon","Астральный демонический законодатель"
"heroes.name_fancy.astral_demon_salome","Светская львица астральных демонов"
"heroes.name_fancy.astral_demon_xshahr","Астральный демонический воевода"
"heroes.name_fancy.astral_dreadstar","Королева астральных эльфов"
"heroes.name_fancy.astral_dwarf_ceris","Волшебница астральных гномов"
"heroes.name_fancy.astral_dwarf_chires","Астральный гном-сладкоежка"
"heroes.name_fancy.astral_dwarf_errin","Астральный гном-кукольник"
"heroes.name_fancy.astral_dwarf_gongoth","Претендент астральных гномов"
"heroes.name_fancy.astral_dwarf_haumri","Гадатель астральных гномов"
"heroes.name_fancy.astral_dwarf_hygil","Астральный гном-картограф"
"heroes.name_fancy.astral_dwarf_ixinn","Подрывница астральных гномов"
"heroes.name_fancy.astral_dwarf_lemniss","Астральный гном-шахтер"
"heroes.name_fancy.astral_dwarf_maegwyn","Подавальщица-астральный гном"
"heroes.name_fancy.astral_dwarf_orcur","Астральный гном-садовод"
"heroes.name_fancy.astral_dwarf_pluth","Астральный гном-технарь"
"heroes.name_fancy.astral_dwarf_quari","Астральный гном-пилигрим"
"heroes.name_fancy.astral_dwarf_salniss","Астральный гном-стражница"
"heroes.name_fancy.astral_dwarf_sedille","Астральный гном, несущий свет"
"heroes.name_fancy.astral_dwarf_vard","Астральный гном-гроссмейстер"
"heroes.name_fancy.astral_hammerclang","Астральный эльф-кузнец"
"heroes.name_fancy.astral_lemonwood","Астральный эльф-лучник"
"heroes.name_fancy.astral_lionstring","Астральный эльф-портной"
"heroes.name_fancy.astral_melodymuse","Астральный эльф-поэт"
"heroes.name_fancy.astral_moonbell","Астральный эльф-призыватель"
"heroes.name_fancy.astral_mooncure","Астральный эльф-мастер воскурений"
"heroes.name_fancy.astral_moonflower","Астральный эльф-травник"
"heroes.name_fancy.astral_sparklight","Чемпион астральных эльфов"
"heroes.name_fancy.astral_starlass","Астральный эльф-арбалетчик"
"heroes.name_fancy.astral_starswift","Астральный эльф-подросток"
"heroes.name_fancy.astral_starwalker","Король астральных эльфов"
"heroes.name_fancy.astral_voidstar","Астральный эльф - доблестный рыцарь"
"heroes.name_fancy.ballerina_armand","Скептичный поклонник искусства"
"heroes.name_fancy.ballerina_benno","Друг правителей"
"heroes.name_fancy.ballerina_charlotta","Прима Донна"
"heroes.name_fancy.ballerina_christine_daae","Певчая птица Оперы"
"heroes.name_fancy.ballerina_daroga","Зеленоглазый господин"
"heroes.name_fancy.ballerina_firmin","Самонадеянный покровитель"
"heroes.name_fancy.ballerina_madame_giry","Главная балетмейстер"
"heroes.name_fancy.ballerina_meg_giry","Начинающая балерина"
"heroes.name_fancy.ballerina_odette","Белый лебедь"
"heroes.name_fancy.ballerina_odile","Черный лебедь"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Таинственный вдохновитель"
"heroes.name_fancy.ballerina_prince_siegfried","Будущий король"
"heroes.name_fancy.ballerina_raul","Страдающий от любви дворянин"
"heroes.name_fancy.ballerina_swan_maiden","Одна из маленьких лебедей"
"heroes.name_fancy.ballerina_uberta","Вдовая королева"
"heroes.name_fancy.ballerina_von_rothbart","Коварный волшебник"
"heroes.name_fancy.bard_astrid","Бард воскрешения"
"heroes.name_fancy.bard_balafon","Бард фестиваля духов"
"heroes.name_fancy.bard_belladonna","Бард сверхъестественного"
"heroes.name_fancy.bard_bhaltair","Гном-оркестр"
"heroes.name_fancy.bard_bonzo","Бард странностей"
"heroes.name_fancy.bard_celimene","Бард иллюзий"
"heroes.name_fancy.bard_darkbeat","Маэстро мошпита"
"heroes.name_fancy.bard_dunnar_hart","Магматический барабанщик"
"heroes.name_fancy.bard_garyas","Бард радости"
"heroes.name_fancy.bard_lyria","Удивительно радостная музыкант"
"heroes.name_fancy.bard_merith","Змеевидная скрипачка"
"heroes.name_fancy.bard_narcisa","Бард обаяния"
"heroes.name_fancy.bard_ogima","Бард духов"
"heroes.name_fancy.bard_phenexa","Бард слухов"
"heroes.name_fancy.bard_rhys","Бард доблести"
"heroes.name_fancy.bard_winifred","Бард творения"
"heroes.name_fancy.bard_zarel","Бард сказаний"
"heroes.name_fancy.bard_zhabog","Бард красноречия"
"heroes.name_fancy.beachparty_andy_jay","Гуляка по солнечным берегам"
"heroes.name_fancy.beachparty_brebarg","Эксперт по песочным замкам"
"heroes.name_fancy.beachparty_davey_wavey","Акула-ученик"
"heroes.name_fancy.beachparty_dillo","Мокрый броненосец"
"heroes.name_fancy.beachparty_dolrak","Дочерна загорелый гном"
"heroes.name_fancy.beachparty_flip","Тюлень-спасатель"
"heroes.name_fancy.beachparty_flip_costume_donut","Тюлень-продавец пончиков"
"heroes.name_fancy.beachparty_itham","Эльф-инструктор по плаванию"
"heroes.name_fancy.beachparty_mazoga","Орк-стрелок из водяного пистолета"
"heroes.name_fancy.beachparty_misty","Плавающий в маске гном"
"heroes.name_fancy.beachparty_mortimer","Темный эльф-серфер"
"heroes.name_fancy.beachparty_serena","Морская светская львица"
"heroes.name_fancy.beachparty_zenukwa","Любитель мороженого"
"heroes.name_fancy.beauty_beast_chandel","Просветительница зачарованного замка"
"heroes.name_fancy.beauty_beast_dominique","Верный защитник"
"heroes.name_fancy.beauty_beast_lucas","Младший брат Доминика"
"heroes.name_fancy.beauty_beast_rose_de_flo","Цветок зачарованного замка"
"heroes.name_fancy.beauty_beast_the_beast","Одинокий принц зачарованного замка"
"heroes.name_fancy.beowulf_aeschere","Мудрец из Скилдингса"
"heroes.name_fancy.beowulf_beowulf","Меч Гитса"
"heroes.name_fancy.beowulf_breca","Дар компаньона"
"heroes.name_fancy.beowulf_ecgtheow","Ярый военачальник"
"heroes.name_fancy.beowulf_freawaru","Ткач мира"
"heroes.name_fancy.beowulf_grendel","Адский громила-мечелом"
"heroes.name_fancy.beowulf_grendels_mother","Ужасающая озерная карга"
"heroes.name_fancy.beowulf_hrothgar","Глава медового зала"
"heroes.name_fancy.beowulf_hygd","Королева Гитса"
"heroes.name_fancy.beowulf_modthryth","Безжалостная щитоносная дева"
