"heroes.name_fancy.astral_cosmicspeaker","Stjärnalvernas astronom"
"heroes.name_fancy.astral_demilune","Stjärnalvernas orakel"
"heroes.name_fancy.astral_demon_agharoth","Stjärndemonernas portvakt"
"heroes.name_fancy.astral_demon_anatemah","Stjärndemonernas kejsarinna"
"heroes.name_fancy.astral_demon_ibelis","Stjärndemonsskuggvakt"
"heroes.name_fancy.astral_demon_mael","Stjärndemonernas förföljare"
"heroes.name_fancy.astral_demon_paimon","Stjärndemonernas lagstiftare"
"heroes.name_fancy.astral_demon_salome","Stjärndemonsikon"
"heroes.name_fancy.astral_demon_xshahr","Stjärndemonernas krigsherre"
"heroes.name_fancy.astral_dreadstar","Stjärnalvernas drottning"
"heroes.name_fancy.astral_dwarf_ceris","Stjärndvärgarnas magiker"
"heroes.name_fancy.astral_dwarf_chires","Stjärndvärgarnas gottegris"
"heroes.name_fancy.astral_dwarf_errin","Stjärndvärgarnas leksaksmakare"
"heroes.name_fancy.astral_dwarf_gongoth","Stjärndvärgarnas kämpe"
"heroes.name_fancy.astral_dwarf_haumri","Stjärndvärgarnas siare"
"heroes.name_fancy.astral_dwarf_hygil","Stjärndvärgarnas kartritare"
"heroes.name_fancy.astral_dwarf_ixinn","Stjärndvärgarnas förgörare"
"heroes.name_fancy.astral_dwarf_lemniss","Stjärndvärgarnas gruvarbetare"
"heroes.name_fancy.astral_dwarf_maegwyn","Stjärndvärgarnas krogmö"
"heroes.name_fancy.astral_dwarf_orcur","Stjärndvärgarnas trädgårdsmästare"
"heroes.name_fancy.astral_dwarf_pluth","Stjärndvärgarnas meckare"
"heroes.name_fancy.astral_dwarf_quari","Stjärndvärgarnas pilgrim"
"heroes.name_fancy.astral_dwarf_salniss","Stjärndvärgarnas väktare"
"heroes.name_fancy.astral_dwarf_sedille","Stjärndvärgarnas ljusbringare"
"heroes.name_fancy.astral_dwarf_vard","Stjärndvärgarnas stormästare"
"heroes.name_fancy.astral_hammerclang","Stjärnalvernas smed"
"heroes.name_fancy.astral_lemonwood","Stjärnalvernas skytt"
"heroes.name_fancy.astral_lionstring","Stjärnalvernas sömmerska"
"heroes.name_fancy.astral_melodymuse","Stjärnalvernas poet"
"heroes.name_fancy.astral_moonbell","Stjärnalvernas åkallare"
"heroes.name_fancy.astral_mooncure","Stjärnalvernas rökelsemästare"
"heroes.name_fancy.astral_moonflower","Stjärnalvernas botaniker"
"heroes.name_fancy.astral_sparklight","Stjärnalvsmästare"
"heroes.name_fancy.astral_starlass","Stjärnalvernas armborstskytt"
"heroes.name_fancy.astral_starswift","Stjärnalvsungdom"
"heroes.name_fancy.astral_starwalker","Stjärnalvernas konung"
"heroes.name_fancy.astral_voidstar","Stjärnalvernas storriddare"
"heroes.name_fancy.ballerina_armand","Skeptisk konstmecenat"
"heroes.name_fancy.ballerina_benno","Vän till tronen"
"heroes.name_fancy.ballerina_charlotta","Primadonna"
"heroes.name_fancy.ballerina_christine_daae","Operans sångfågel"
"heroes.name_fancy.ballerina_daroga","Jadeögd gentleman"
"heroes.name_fancy.ballerina_firmin","Högfärdig mecenat"
"heroes.name_fancy.ballerina_madame_giry","Dansarnas föreståndarinna"
"heroes.name_fancy.ballerina_meg_giry","Stjärnballerina"
"heroes.name_fancy.ballerina_odette","Den vita svanen"
"heroes.name_fancy.ballerina_odile","Svarta svanen"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Mystisk ränksmidare"
"heroes.name_fancy.ballerina_prince_siegfried","Framtida konung"
"heroes.name_fancy.ballerina_raul","Kärlekskrank adelsman"
"heroes.name_fancy.ballerina_swan_maiden","En av de små svanarna"
"heroes.name_fancy.ballerina_uberta","Änkedrottningen"
"heroes.name_fancy.ballerina_von_rothbart","Fruktad magiker"
"heroes.name_fancy.bard_astrid","Återupplivningens bard"
"heroes.name_fancy.bard_balafon","Andefestivalernas bard"
"heroes.name_fancy.bard_belladonna","Övernaturlig bard"
"heroes.name_fancy.bard_bhaltair","Endvärgsbard"
"heroes.name_fancy.bard_bonzo","Udda bard"
"heroes.name_fancy.bard_celimene","Illusionens bard"
"heroes.name_fancy.bard_darkbeat","Moshpit-maestro"
"heroes.name_fancy.bard_dunnar_hart","Den magmatiska trumslagaren"
"heroes.name_fancy.bard_garyas","Glädjens bard"
"heroes.name_fancy.bard_lyria","Ivrig instrumentalist"
"heroes.name_fancy.bard_merith","Slingrande violinist"
"heroes.name_fancy.bard_narcisa","Glamourös bard"
"heroes.name_fancy.bard_ogima","Andarnas bard"
"heroes.name_fancy.bard_phenexa","Viskningarnas bard"
"heroes.name_fancy.bard_rhys","Tapperhetens bard"
"heroes.name_fancy.bard_winifred","Skapelsens bard"
"heroes.name_fancy.bard_zarel","Kunskapens bard"
"heroes.name_fancy.bard_zhabog","Vältalighetens bard"
"heroes.name_fancy.beachparty_andy_jay","Solsträndernas livsnjutare"
"heroes.name_fancy.beachparty_brebarg","Sandslottsexpert"
"heroes.name_fancy.beachparty_davey_wavey","Haj på strider"
"heroes.name_fancy.beachparty_dillo","Blött bältdjur"
"heroes.name_fancy.beachparty_dolrak","Solbränd dvärg"
"heroes.name_fancy.beachparty_flip","Strandvaktssäl"
"heroes.name_fancy.beachparty_flip_costume_donut","Säl som säljer munkar"
"heroes.name_fancy.beachparty_itham","Alvisk simskolelärare"
"heroes.name_fancy.beachparty_mazoga","Vattenkrigarorch"
"heroes.name_fancy.beachparty_misty","Snorklande gnom"
"heroes.name_fancy.beachparty_mortimer","Mörkeralvssurfare"
"heroes.name_fancy.beachparty_serena","Strändernas societetslejon"
"heroes.name_fancy.beachparty_zenukwa","Glassgalning"
"heroes.name_fancy.beauty_beast_chandel","Upplysare på det förtrollade slottet"
"heroes.name_fancy.beauty_beast_dominique","Den trogna beskyddaren"
"heroes.name_fancy.beauty_beast_lucas","Dominiques lillebror"
"heroes.name_fancy.beauty_beast_rose_de_flo","Blomma på det förtrollade slottet"
"heroes.name_fancy.beauty_beast_the_beast","Ensam prins på det förtrollade slottet"
"heroes.name_fancy.beowulf_aeschere","Sköldungarnas saga"
"heroes.name_fancy.beowulf_beowulf","Götarnas svärd"
"heroes.name_fancy.beowulf_breca","Gynnsam kompanjon"
"heroes.name_fancy.beowulf_ecgtheow","Vild krigsledare"
"heroes.name_fancy.beowulf_freawaru","Fredsvävare"
"heroes.name_fancy.beowulf_grendel","Svärdsbrytande helvetesodjur"
"heroes.name_fancy.beowulf_grendels_mother","Skräckspridande tjärnhagga"
"heroes.name_fancy.beowulf_hrothgar","Mjödhallens mästare"
"heroes.name_fancy.beowulf_hygd","Geaternas drottning"
"heroes.name_fancy.beowulf_modthryth","Ångerlös sköldmö"
"heroes.name_fancy.beowulf_nithgaest","Beowulfs bane"
"heroes.name_fancy.beowulf_unferth","Hruntings bärare"
"heroes.name_fancy.beowulf_wealhtheow","Ringfrälst, kungahjärtad"
"heroes.name_fancy.beowulf_weland","Skicklig smed"
"heroes.name_fancy.beowulf_wiglaf","Weohstans son"
"heroes.name_fancy.blackguard_commander","Sörjande hertig"
"heroes.name_fancy.blackguard_commander_costume_cute","Sörjande tecknad figur"
"heroes.name_fancy.blackguard_commander_costume_feather","Sörjande hertig"
"heroes.name_fancy.blackguard_commander_costume_glass","Sörjande glasmålning"
"heroes.name_fancy.blackguard_commander_costume_metal","Hertigen av Rock"
"heroes.name_fancy.blackguard_female_archer","Hoppfull bågskytt"
"heroes.name_fancy.blackguard_female_captain","Beslutsam vakt"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Resolut tecknad figur"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Beslutsam glasmålning"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Resolut övervakare"
"heroes.name_fancy.blackguard_knight","Nobel ryttare"
"heroes.name_fancy.blackguard_knight_costume_cute","Tecknad ryttare"
"heroes.name_fancy.blackguard_knight_costume_elegant","Stilig adelsman"
"heroes.name_fancy.blackguard_knight_costume_glass","Glasryttare"
"heroes.name_fancy.blackguard_knight_costume_healer","Ädel helare"
"heroes.name_fancy.blackguard_scout","Morgoviansk flykting"
"heroes.name_fancy.blackguard_skulker","Obunden lönnmördare"
"heroes.name_fancy.blackguard_skulker_costume_cute","Obunden tecknad figur"
"heroes.name_fancy.blackguard_skulker_costume_doctor","Vansinnig kirurg"
"heroes.name_fancy.blackguard_skulker_costume_glass","Glaslönnmördare"
"heroes.name_fancy.castle_bear_armel","Arktisk ambassadör"
"heroes.name_fancy.castle_bear_bearnadette","Porträttmålare"
"heroes.name_fancy.castle_bear_humbert","Högländernas försvarare"
"heroes.name_fancy.castle_bear_koda","Plommonskogens riddare"
"heroes.name_fancy.castle_bear_teddy","Den renhjärtade"
"heroes.name_fancy.castle_bear_torben","Högländernas härskare"
"heroes.name_fancy.castle_bear_winnie","Björnsmed"
"heroes.name_fancy.castle_bear_yona","Högländernas skojare"
"heroes.name_fancy.castle_raven_aderyn","Slottets sjukvårdare"
"heroes.name_fancy.castle_raven_eloise","Slottets besvärjerska"
"heroes.name_fancy.castle_raven_franz","Slottets beskyddare"
"heroes.name_fancy.castle_raven_lewena","Slottets prickskytt"
"heroes.name_fancy.castle_raven_quintin","Slottets stalkare"
"heroes.name_fancy.castle_raven_quintin_costume_ice","Korparnas frostjägare"
"heroes.name_fancy.castle_raven_rayne","Slottets kapten"
"heroes.name_fancy.castle_raven_rayne_costume_energy","Korparnas kapten"
"heroes.name_fancy.castle_raven_wren","Slottets spanare"
"heroes.name_fancy.castle_stag_alvar","Stigfinnaren"
"heroes.name_fancy.castle_stag_cecilia","Välsignad av skymningen"
"heroes.name_fancy.castle_stag_daemon","De vittrades hämnare"
"heroes.name_fancy.castle_stag_fawn","Trogen väpnare"
"heroes.name_fancy.castle_stag_lysanor","Safirdrömmens siare"
"heroes.name_fancy.castle_stag_raleigh","Smaragdskogens lärde"
"heroes.name_fancy.castle_stag_siofra","Edsväktaren"
"heroes.name_fancy.castle_stag_xiamara","Smaragdskogens väktare"
"heroes.name_fancy.castle_wolf_bertulf","Slottets kock"
"heroes.name_fancy.castle_wolf_esme","Slottets ärkemagiker"
"heroes.name_fancy.castle_wolf_ferant","Slottets väktare"
"heroes.name_fancy.castle_wolf_ferant_costume_fire","Vargarnas väktare"
"heroes.name_fancy.castle_wolf_ludwig","Slottets försvarare"
"heroes.name_fancy.castle_wolf_quenell","Slottets kämpe"
"heroes.name_fancy.castle_wolf_quenell_costume_wood","Vargarnas kämpe"
"heroes.name_fancy.castle_wolf_wolfgang","Slottets befälhavare"
"heroes.name_fancy.castle_wolf_wolfgang_costume_treasure","Vargarnas befälhavare"
"heroes.name_fancy.champions_lazara","Basebollmästare"
"heroes.name_fancy.champions_mistra","Mästerlig diskuskastare"
"heroes.name_fancy.champions_nogu","Spjutkastskämpe"
"heroes.name_fancy.champions_norman","Tornerspelskämpe"
"heroes.name_fancy.champions_ramona","Rammarkämpe"
"heroes.name_fancy.champions_satori","Sumokrigare"
"heroes.name_fancy.christmas_albin","Varm choklad-kännare"
"heroes.name_fancy.christmas_augustus","Åldrad hustomte"
"heroes.name_fancy.christmas_buster","Grinig trädgårdstomte"
"heroes.name_fancy.christmas_carol","Tomtens hjälpreda"
"heroes.name_fancy.christmas_cookie","Tomteforskare"
"heroes.name_fancy.christmas_dizzy","Tomteunderhållare"
