"heroes.name_fancy.astral_cosmicspeaker","Gök Bilimcisi Astral Elf"
"heroes.name_fancy.astral_demilune","Kahin Astral Elf"
"heroes.name_fancy.astral_demon_agharoth","Astral İblis Bekçi"
"heroes.name_fancy.astral_demon_anatemah","Astral İblis İmparatoriçe"
"heroes.name_fancy.astral_demon_ibelis","Astral İblis Gölge Muhafızı"
"heroes.name_fancy.astral_demon_mael","Astral İblis Takipçi"
"heroes.name_fancy.astral_demon_paimon","Astral İblis Yasaman"
"heroes.name_fancy.astral_demon_salome","Sosyetik Astral İblis"
"heroes.name_fancy.astral_demon_xshahr","Astral İblis Savaş Lordu"
"heroes.name_fancy.astral_dreadstar","Astral Elflerin Kraliçesi"
"heroes.name_fancy.astral_dwarf_ceris","Büyücü Astral Cüce"
"heroes.name_fancy.astral_dwarf_chires","Tatlı Düşkünü Astral Cüce"
"heroes.name_fancy.astral_dwarf_errin","Oyuncakçı Astral Cüce"
"heroes.name_fancy.astral_dwarf_gongoth","Mücadeleci Astral Cüce"
"heroes.name_fancy.astral_dwarf_haumri","Falcı Astral Cüce"
"heroes.name_fancy.astral_dwarf_hygil","Haritacı Astral Cüce"
"heroes.name_fancy.astral_dwarf_ixinn","Yok Edici Astral Cüce"
"heroes.name_fancy.astral_dwarf_lemniss","Madenci Astral Cüce"
"heroes.name_fancy.astral_dwarf_maegwyn","Astral Cücelerin Barmeni"
"heroes.name_fancy.astral_dwarf_orcur","Bahçıvan Astral Cüce"
"heroes.name_fancy.astral_dwarf_pluth","Tamirci Astral Cüce"
"heroes.name_fancy.astral_dwarf_quari","Yolcu Astral Cüce"
"heroes.name_fancy.astral_dwarf_salniss","Bekçi Astral Cüce"
"heroes.name_fancy.astral_dwarf_sedille","Işık Taşıyan Astral Cüce"
"heroes.name_fancy.astral_dwarf_vard","Astral Cücelerin Büyük Üstadı"
"heroes.name_fancy.astral_hammerclang","Demirci Astral Elf"
"heroes.name_fancy.astral_lemonwood","Nişancı Astral Elf"
"heroes.name_fancy.astral_lionstring","Terzi Astral Elf"
"heroes.name_fancy.astral_melodymuse","Astral Elf Şairi"
"heroes.name_fancy.astral_moonbell","Çağırıcı Astral Elf"
"heroes.name_fancy.astral_mooncure","Tütsü Ustası Astral Elf"
"heroes.name_fancy.astral_moonflower","Botanikçi Astral Elf"
"heroes.name_fancy.astral_sparklight","Astral Elf Şampiyonu"
"heroes.name_fancy.astral_starlass","Arbaletli Astral Elf"
"heroes.name_fancy.astral_starswift","Genç Astral Elf"
"heroes.name_fancy.astral_starwalker","Astral Elflerin Kralı"
"heroes.name_fancy.astral_voidstar","Astral Elf Büyük Şövalyesi"
"heroes.name_fancy.ballerina_armand","Kuşkucu Sanat Hamisi"
"heroes.name_fancy.ballerina_benno","Tahtın Dostu"
"heroes.name_fancy.ballerina_charlotta","Prima Donna"
"heroes.name_fancy.ballerina_christine_daae","Operanın Ötücü Kuşu"
"heroes.name_fancy.ballerina_daroga","Yeşim Gözlü Beyefendi"
"heroes.name_fancy.ballerina_firmin","Sonradan Görme Patron"
"heroes.name_fancy.ballerina_madame_giry","Baş Dansçı"
"heroes.name_fancy.ballerina_meg_giry","Genç Yıldız Balerin"
"heroes.name_fancy.ballerina_odette","Beyaz Kuğu"
"heroes.name_fancy.ballerina_odile","Kara Kuğu"
"heroes.name_fancy.ballerina_phantom_of_the_opera","Esrarengiz Deha"
"heroes.name_fancy.ballerina_prince_siegfried","Geleceğin Kralı"
"heroes.name_fancy.ballerina_raul","Kara Sevdalı Asilzade"
"heroes.name_fancy.ballerina_swan_maiden","Küçük Kuğulardan Biri"
"heroes.name_fancy.ballerina_uberta","Dul Kraliçe"
"heroes.name_fancy.ballerina_von_rothbart","Korkulan Büyücü"
"heroes.name_fancy.bard_astrid","Diriliş Ozanı"
"heroes.name_fancy.bard_balafon","Ruh Festivallerinin Ozanı"
"heroes.name_fancy.bard_belladonna","Doğaüstü Ozanı"
"heroes.name_fancy.bard_bhaltair","Tek Cüceli Grup"
"heroes.name_fancy.bard_bonzo","Tuhaflıklar Ozanı"
"heroes.name_fancy.bard_celimene","İlüzyon Ozanı"
"heroes.name_fancy.bard_darkbeat","Pogo Alanı Üstadı"
"heroes.name_fancy.bard_dunnar_hart","Magma Davulcusu"
"heroes.name_fancy.bard_garyas","Neşe Ozanı"
"heroes.name_fancy.bard_lyria","Son Derece Hevesli Çalgıcı"
"heroes.name_fancy.bard_merith","Yılanımsı Kemancı"
"heroes.name_fancy.bard_narcisa","Cazibe Ozanı"
"heroes.name_fancy.bard_ogima","Ruh Ozanı"
"heroes.name_fancy.bard_phenexa","Fısıltı Ozanı"
"heroes.name_fancy.bard_rhys","Cesaret Ozanı"
"heroes.name_fancy.bard_winifred","Yaratılış Ozanı"
"heroes.name_fancy.bard_zarel","İlim Ozanı"
"heroes.name_fancy.bard_zhabog","Güzel Konuşma Ozanı"
"heroes.name_fancy.beachparty_andy_jay","Güneşli Kıyı Düşkünü"
"heroes.name_fancy.beachparty_brebarg","Kumdan Kale Uzmanı"
"heroes.name_fancy.beachparty_davey_wavey","Eğitim Gören Köpek Balığı"
"heroes.name_fancy.beachparty_dillo","Sırılsıklam Armadillo"
"heroes.name_fancy.beachparty_dolrak","Fazla Bronzlaşmış Cüce"
"heroes.name_fancy.beachparty_flip","Fok Cankurtaran"
"heroes.name_fancy.beachparty_flip_costume_donut","Donut Satıcısı Fok"
"heroes.name_fancy.beachparty_itham","Elf Yüzme Okulu Eğitmeni"
"heroes.name_fancy.beachparty_mazoga","Su Tabancalı Katil Balina"
"heroes.name_fancy.beachparty_misty","Şnorkelli Cüce"
"heroes.name_fancy.beachparty_mortimer","Sörfçü Karanlık Elf"
"heroes.name_fancy.beachparty_serena","Sosyetik Tatilci"
"heroes.name_fancy.beachparty_zenukwa","Dondurmasever"
"heroes.name_fancy.beauty_beast_chandel","Efsunlu Kaleyi Aydınlatan"
"heroes.name_fancy.beauty_beast_dominique","İnançlı Koruyucu"
"heroes.name_fancy.beauty_beast_lucas","Dominique'in Erkek Kardeşi"
"heroes.name_fancy.beauty_beast_rose_de_flo","Efsunlu Kalenin Çiçeği"
"heroes.name_fancy.beauty_beast_the_beast","Efsunlu Kalenin Yalnız Prensi"
"heroes.name_fancy.beowulf_aeschere","Scylding'lerin Bilgesi"
"heroes.name_fancy.beowulf_beowulf","Geat'lerin Kılıcı"
"heroes.name_fancy.beowulf_breca","Lütuf Yoldaşı"
"heroes.name_fancy.beowulf_ecgtheow","Azılı Savaş Lideri"
"heroes.name_fancy.beowulf_freawaru","Barış Dokumacısı"
"heroes.name_fancy.beowulf_grendel","Kılıç Kıran Cehennem Canavarı"
"heroes.name_fancy.beowulf_grendels_mother","Dehşet Saçan Göl Karısı"
"heroes.name_fancy.beowulf_hrothgar","Şaraphane Ustası"
"heroes.name_fancy.beowulf_hygd","Geat'lerin Kraliçesi"
"heroes.name_fancy.beowulf_modthryth","Amansız Savaşçı"
"heroes.name_fancy.beowulf_nithgaest","Beowulf'un Felaketi"
"heroes.name_fancy.beowulf_unferth","Hrunting'i Kullanan"
"heroes.name_fancy.beowulf_wealhtheow","Yüzüklerle Bezenmiş, Asil Kalpli"
"heroes.name_fancy.beowulf_weland","Yetenekli Demirci"
"heroes.name_fancy.beowulf_wiglaf","Weohstan'ın Oğlu"
"heroes.name_fancy.blackguard_commander","Kederli Dük"
"heroes.name_fancy.blackguard_commander_costume_cute","Kederli Çizgi"
"heroes.name_fancy.blackguard_commander_costume_feather","Yas Tutan Dük"
"heroes.name_fancy.blackguard_commander_costume_glass","Kederli Vitray"
"heroes.name_fancy.blackguard_commander_costume_metal","Kaya Dükü"
"heroes.name_fancy.blackguard_female_archer","Hırslı Okçu"
"heroes.name_fancy.blackguard_female_captain","Cesur Bekçi"
"heroes.name_fancy.blackguard_female_captain_costume_cute","Azimli Çizgi"
"heroes.name_fancy.blackguard_female_captain_costume_glass","Azimli Vitray"
"heroes.name_fancy.blackguard_female_captain_costume_musketeer","Kararlı Denetmen"
"heroes.name_fancy.blackguard_knight","Asil Kavalye"
