"heroes.name.astral_cosmicspeaker","コスミックスピーカー"
"heroes.name.astral_demilune","デミルーン"
"heroes.name.astral_demon_agharoth","アガロス"
"heroes.name.astral_demon_anatemah","アナテマ"
"heroes.name.astral_demon_haradea","ハラデア"
"heroes.name.astral_demon_ibelis","イベリス"
"heroes.name.astral_demon_mael","メイル"
"heroes.name.astral_demon_paimon","パイモン"
"heroes.name.astral_demon_salome","サロメ"
"heroes.name.astral_demon_turundh","トゥルンド"
"heroes.name.astral_demon_xshahr","クシャール"
"heroes.name.astral_demon_zondalath","ゾンダラス"
"heroes.name.astral_dreadstar","ドレッドスター"
"heroes.name.astral_dwarf_ceris","セリス"
"heroes.name.astral_dwarf_chires","チュレス"
"heroes.name.astral_dwarf_errin","エリン"
"heroes.name.astral_dwarf_gongoth","ゴンゴス"
"heroes.name.astral_dwarf_haumri","ハウムリ"
"heroes.name.astral_dwarf_hygil","ヒュギル"
"heroes.name.astral_dwarf_ixinn","イクシン"
"heroes.name.astral_dwarf_lemniss","レムニス"
"heroes.name.astral_dwarf_maegwyn","メイグウィン"
"heroes.name.astral_dwarf_orcur","オルクル"
"heroes.name.astral_dwarf_pluth","プルース"
"heroes.name.astral_dwarf_quari","クアリ"
"heroes.name.astral_dwarf_salniss","サルニス"
"heroes.name.astral_dwarf_sedille","セディル"
"heroes.name.astral_dwarf_vard","ヴァード"
"heroes.name.astral_hammerclang","ハンマークラング"
"heroes.name.astral_lemonwood","レモンウッド"
"heroes.name.astral_lionstring","ライオンストリング"
"heroes.name.astral_melodymuse","メロディーミューズ"
"heroes.name.astral_moonbell","ムーンベル"
"heroes.name.astral_mooncure","ムーンキュア"
"heroes.name.astral_moonflower","ムーンフラワー"
"heroes.name.astral_sparklight","スパークライト"
"heroes.name.astral_starlass","スターラス"
"heroes.name.astral_starswift","スタースイフト"
"heroes.name.astral_starwalker","スターウォーカー"
"heroes.name.astral_voidstar","ヴォイドスター"
"heroes.name.ballerina_armand","アルマンド・モンチャーミン"
"heroes.name.ballerina_benno","ベンノ"
"heroes.name.ballerina_charlotta","シャルロッタ"
"heroes.name.ballerina_christine_daae","クリスティーン・ダーエ"
"heroes.name.ballerina_daroga","ダローガ"
"heroes.name.ballerina_firmin","ファーミン・リチャード"
"heroes.name.ballerina_madame_giry","マダム・ジリー"
"heroes.name.ballerina_meg_giry","メグ・ジリー"
"heroes.name.ballerina_odette","オデット"
"heroes.name.ballerina_odile","オディール"
"heroes.name.ballerina_phantom_of_the_opera","オペラ座の怪人"
"heroes.name.ballerina_prince_siegfried","ジークフリート王子"
"heroes.name.ballerina_raul","ラウル"
"heroes.name.ballerina_swan_maiden","白鳥の乙女"
"heroes.name.ballerina_uberta","ウベルタ"
"heroes.name.ballerina_von_rothbart","フォン・ロッドバルド"
"heroes.name.bard_astrid","アストリッド"
"heroes.name.bard_balafon","サリマタ"
"heroes.name.bard_belladonna","ベラドンナ"
"heroes.name.bard_bhaltair","バルタール"
"heroes.name.bard_bonzo","ボンゾ"
"heroes.name.bard_celimene","セリメーヌ"
"heroes.name.bard_darkbeat","ダークビート"
"heroes.name.bard_dunnar_hart","ダナーハート"
"heroes.name.bard_garyas","ギャリアス"
"heroes.name.bard_lyria","リリア"
"heroes.name.bard_merith","メリス"
"heroes.name.bard_narcisa","ナルシサ"
"heroes.name.bard_ogima","オギマ"
"heroes.name.bard_phenexa","フェネクサ"
"heroes.name.bard_rhys","リース"
"heroes.name.bard_winifred","ウィニフレッド"
"heroes.name.bard_zarel","ザレル"
"heroes.name.bard_zhabog","ザボッグ"
"heroes.name.beachparty_andy_jay","アンディ・ジェイ"
"heroes.name.beachparty_brebarg","ブレバーグ"
"heroes.name.beachparty_davey_wavey","ディヴィ・ウェイヴィ"
"heroes.name.beachparty_dillo","ディロ"
"heroes.name.beachparty_dolrak","ドラーク"
"heroes.name.beachparty_flip","フリップ"
"heroes.name.beachparty_itham","アイサム"
"heroes.name.beachparty_mazoga","マゾーガ"
"heroes.name.beachparty_misty","ミスティ"
"heroes.name.beachparty_mortimer","モータイマー"
"heroes.name.beachparty_serena","セレナ"
"heroes.name.beachparty_zenukwa","ゼヌーカ"
"heroes.name.beauty_beast_beauty","ビューティー"
"heroes.name.beauty_beast_cerissa","セリッサ"
"heroes.name.beauty_beast_chandel","シャンデル"
"heroes.name.beauty_beast_dominique","ドミニク"
"heroes.name.beauty_beast_glamiera","グラミエラ"
"heroes.name.beauty_beast_henriette","アンリエット"
"heroes.name.beauty_beast_ivete","イヴェチ"
"heroes.name.beauty_beast_jacquespierre","ジャック=ピエール"
"heroes.name.beauty_beast_laurent","ローラン"
"heroes.name.beauty_beast_lucas","ルカス"
"heroes.name.beauty_beast_mirielle","ミリエル"
"heroes.name.beauty_beast_pendulus_clonk","ペンデュラス・クロンク"
"heroes.name.beauty_beast_rose_de_flo","ロゼ・ドゥ・フロ"
"heroes.name.beauty_beast_seraphine","セラフィン"
"heroes.name.beauty_beast_the_beast","野獣"
"heroes.name.beowulf_aeschere","エシェール"
"heroes.name.beowulf_beowulf","ベオウルフ"
"heroes.name.beowulf_breca","ブレカ"
"heroes.name.beowulf_ecgtheow","エッジセーオウ"
"heroes.name.beowulf_freawaru","フレーアワル"
"heroes.name.beowulf_grendel","グレンデル"
"heroes.name.beowulf_grendels_mother","グレンデルの母"
"heroes.name.beowulf_hrothgar","フロースガル"
"heroes.name.beowulf_hygd","ヒュイド"
"heroes.name.beowulf_modthryth","モードスリューゾ"
"heroes.name.beowulf_nithgaest","ニースイェースト"
"heroes.name.beowulf_unferth","ウンフェルス"
"heroes.name.beowulf_wealhtheow","ウェアルフセーオウ"
"heroes.name.beowulf_weland","ウエイランド"
"heroes.name.beowulf_wiglaf","ウィーイラーフ"
"heroes.name.blackguard_commander","トリビュータス"
"heroes.name.blackguard_female_archer","ナイトシェード"
"heroes.name.blackguard_female_captain","プリスカ"
"heroes.name.blackguard_knight","リガルド"
"heroes.name.blackguard_scout","ジュリウス"
"heroes.name.blackguard_skulker","レンフェルド"
"heroes.name.castle_bear_armel","アルメル"
"heroes.name.castle_bear_bearnadette","ビーナデット"
"heroes.name.castle_bear_humbert","アンベール"
"heroes.name.castle_bear_koda","コダ"
"heroes.name.castle_bear_teddy","テディ"
"heroes.name.castle_bear_torben","トーベン"
