"heroes.name.astral_cosmicspeaker","코즈믹스피커"
"heroes.name.astral_demilune","데미룬"
"heroes.name.astral_demon_agharoth","아가로스"
"heroes.name.astral_demon_anatemah","아나테마"
"heroes.name.astral_demon_ibelis","이벨리스"
"heroes.name.astral_demon_mael","메일"
"heroes.name.astral_demon_paimon","파이몬"
"heroes.name.astral_demon_salome","살로메"
"heroes.name.astral_demon_turundh","투룬드"
"heroes.name.astral_demon_xshahr","샤흐르"
"heroes.name.astral_dreadstar","드레드스타"
"heroes.name.astral_dwarf_ceris","세리스"
"heroes.name.astral_dwarf_chires","체이스"
"heroes.name.astral_dwarf_errin","에린"
"heroes.name.astral_dwarf_gongoth","곤고스"
"heroes.name.astral_dwarf_haumri","하움리"
"heroes.name.astral_dwarf_hygil","헤길"
"heroes.name.astral_dwarf_ixinn","익신"
"heroes.name.astral_dwarf_lemniss","렘니스"
"heroes.name.astral_dwarf_maegwyn","매그윈"
"heroes.name.astral_dwarf_orcur","오르커"
"heroes.name.astral_dwarf_pluth","플루스"
"heroes.name.astral_dwarf_quari","콰리"
"heroes.name.astral_dwarf_salniss","샐니스"
"heroes.name.astral_dwarf_sedille","세딜"
"heroes.name.astral_dwarf_vard","바드"
"heroes.name.astral_hammerclang","해머클랑"
"heroes.name.astral_lemonwood","레몬우드"
"heroes.name.astral_lionstring","라이온스트링"
"heroes.name.astral_melodymuse","멜로디뮤즈"
"heroes.name.astral_moonbell","문벨"
"heroes.name.astral_mooncure","문큐어"
"heroes.name.astral_moonflower","문플라워"
"heroes.name.astral_sparklight","스파크라이트"
"heroes.name.astral_starlass","스타래스"
"heroes.name.astral_starswift","스타스위프트"
"heroes.name.astral_starwalker","스타워커"
"heroes.name.astral_voidstar","보이드스타"
"heroes.name.ballerina_armand","아르망 몬차르민"
"heroes.name.ballerina_benno","베노"
"heroes.name.ballerina_charlotta","샬로타"
"heroes.name.ballerina_christine_daae","크리스틴 다에"
"heroes.name.ballerina_daroga","데로가"
"heroes.name.ballerina_firmin","퍼민 리차드"
"heroes.name.ballerina_madame_giry","마담 기리"
"heroes.name.ballerina_meg_giry","멕기리"
"heroes.name.ballerina_odette","오데트"
"heroes.name.ballerina_odile","오딜"
"heroes.name.ballerina_phantom_of_the_opera","오페라의 유령"
"heroes.name.ballerina_prince_siegfried","지그프리트 왕자"
"heroes.name.ballerina_raul","라울"
"heroes.name.ballerina_swan_maiden","백조의 처녀"
"heroes.name.ballerina_uberta","우베르타"
"heroes.name.ballerina_von_rothbart","폰 로스바르트"
"heroes.name.bard_astrid","아스트리드"
"heroes.name.bard_balafon","살리마타"
"heroes.name.bard_belladonna","벨라도나"
"heroes.name.bard_bhaltair","발타이르"
"heroes.name.bard_bonzo","본조"
"heroes.name.bard_celimene","셀리미네"
"heroes.name.bard_darkbeat","다크비트"
"heroes.name.bard_dunnar_hart","둔나르 하트"
"heroes.name.bard_garyas","가르야스"
"heroes.name.bard_lyria","리리아"
"heroes.name.bard_merith","머리스"
"heroes.name.bard_narcisa","나르시사"
"heroes.name.bard_ogima","오기마"
"heroes.name.bard_phenexa","페넥사"
"heroes.name.bard_rhys","리스"
"heroes.name.bard_winifred","위니프레드"
"heroes.name.bard_zarel","자렐"
"heroes.name.bard_zhabog","자하보그"
"heroes.name.beachparty_andy_jay","앤디 제이"
"heroes.name.beachparty_brebarg","브레바그"
"heroes.name.beachparty_davey_wavey","데이비 웨이비"
"heroes.name.beachparty_dillo","딜로"
"heroes.name.beachparty_dolrak","돌락"
"heroes.name.beachparty_flip","플립"
"heroes.name.beachparty_itham","아이햄"
"heroes.name.beachparty_mazoga","마조가"
"heroes.name.beachparty_misty","미스티"
"heroes.name.beachparty_mortimer","모티머"
"heroes.name.beachparty_serena","세레나"
"heroes.name.beachparty_zenukwa","제누크와"
"heroes.name.beauty_beast_beauty","뷰티"
"heroes.name.beauty_beast_cerissa","세리사"
"heroes.name.beauty_beast_chandel","샨델"
"heroes.name.beauty_beast_dominique","도미닉"
"heroes.name.beauty_beast_glamiera","글래미에라"
"heroes.name.beauty_beast_henriette","헨리에트"
