"heroes.name.astral_cosmicspeaker","Cosmicspeaker"
"heroes.name.astral_demilune","Demilune"
"heroes.name.astral_demon_agharoth","Agharoth"
"heroes.name.astral_demon_anatemah","Anatemah"
"heroes.name.astral_demon_haradea","Haradea"
"heroes.name.astral_demon_ibelis","Ibelis"
"heroes.name.astral_demon_mael","Mael"
"heroes.name.astral_demon_paimon","Paimon"
"heroes.name.astral_demon_salome","Salome"
"heroes.name.astral_demon_turundh","Turundh"
"heroes.name.astral_demon_xshahr","Xshahr"
"heroes.name.astral_demon_zondalath","Zondalath"
"heroes.name.astral_dreadstar","Dreadstar"
"heroes.name.astral_dwarf_ceris","Ceris"
"heroes.name.astral_dwarf_chires","Chires"
"heroes.name.astral_dwarf_errin","Errin"
"heroes.name.astral_dwarf_gongoth","Gongoth"
"heroes.name.astral_dwarf_haumri","Haumri"
"heroes.name.astral_dwarf_hygil","Hygil"
"heroes.name.astral_dwarf_ixinn","Ixinn"
"heroes.name.astral_dwarf_lemniss","Lemniss"
"heroes.name.astral_dwarf_maegwyn","Maegwyn"
"heroes.name.astral_dwarf_orcur","Orcur"
"heroes.name.astral_dwarf_pluth","Pluth"
"heroes.name.astral_dwarf_quari","Quari"
"heroes.name.astral_dwarf_salniss","Salniss"
"heroes.name.astral_dwarf_sedille","Sedille"
"heroes.name.astral_dwarf_vard","Vard"
"heroes.name.astral_hammerclang","Hammerclang"
"heroes.name.astral_lemonwood","Lemonwood"
"heroes.name.astral_lionstring","Lionstring"
"heroes.name.astral_melodymuse","Melodymuse"
"heroes.name.astral_moonbell","Moonbell"
"heroes.name.astral_mooncure","Mooncure"
"heroes.name.astral_moonflower","Moonflower"
"heroes.name.astral_sparklight","Sparklight"
"heroes.name.astral_starlass","Starlass"
"heroes.name.astral_starswift","Starswift"
"heroes.name.astral_starwalker","Starwalker"
"heroes.name.astral_voidstar","Voidstar"
"heroes.name.ballerina_armand","Armand Moncharmin"
"heroes.name.ballerina_benno","Benno"
"heroes.name.ballerina_charlotta","Charlotta"
"heroes.name.ballerina_christine_daae","Christine Daae"
"heroes.name.ballerina_daroga","Daroga"
"heroes.name.ballerina_firmin","Firmin Richard"
"heroes.name.ballerina_madame_giry","Madame Giry"
"heroes.name.ballerina_meg_giry","Meg Giry"
"heroes.name.ballerina_odette","Odette"
"heroes.name.ballerina_odile","Odile"
"heroes.name.ballerina_phantom_of_the_opera","Spook van de Opera"
"heroes.name.ballerina_prince_siegfried","Prins Siegfried"
"heroes.name.ballerina_raul","Raul"
"heroes.name.ballerina_swan_maiden","Zwanenmeisje"
"heroes.name.ballerina_uberta","Uberta"
"heroes.name.ballerina_von_rothbart","Von Rothbart"
"heroes.name.bard_astrid","Astrid"
"heroes.name.bard_balafon","Salimata"
"heroes.name.bard_belladonna","Belladonna"
"heroes.name.bard_bhaltair","Bhaltair"
"heroes.name.bard_bonzo","Bonzo"
"heroes.name.bard_celimene","Celimene"
"heroes.name.bard_darkbeat","Darkbeat"
"heroes.name.bard_dunnar_hart","Dunnar Hart"
"heroes.name.bard_garyas","Garyas"
"heroes.name.bard_lyria","Lyria"
"heroes.name.bard_merith","Merith"
"heroes.name.bard_narcisa","Narcisa"
"heroes.name.bard_ogima","Ogima"
"heroes.name.bard_phenexa","Phenexa"
"heroes.name.bard_rhys","Rhys"
"heroes.name.bard_winifred","Winifred"
"heroes.name.bard_zarel","Zarel"
"heroes.name.bard_zhabog","Zhabog"
"heroes.name.beachparty_andy_jay","Andy Jay"
"heroes.name.beachparty_brebarg","Brebarg"
"heroes.name.beachparty_davey_wavey","Davey Wavey"
"heroes.name.beachparty_dillo","Dillo"
"heroes.name.beachparty_dolrak","Dolrak"
"heroes.name.beachparty_flip","Flip"
"heroes.name.beachparty_itham","Itham"
"heroes.name.beachparty_mazoga","Mazoga"
"heroes.name.beachparty_misty","Misty"
"heroes.name.beachparty_mortimer","Mortimer"
"heroes.name.beachparty_serena","Serena"
"heroes.name.beachparty_zenukwa","Zenuk'wa"
"heroes.name.beauty_beast_beauty","Beauty"
"heroes.name.beauty_beast_cerissa","Cerissa"
"heroes.name.beauty_beast_chandel","Chandel"
"heroes.name.beauty_beast_dominique","Dominique"
"heroes.name.beauty_beast_glamiera","Glamiera"
"heroes.name.beauty_beast_henriette","Henriette"
"heroes.name.beauty_beast_ivete","Ivete"
"heroes.name.beauty_beast_jacquespierre","Jacques-Pierre"
"heroes.name.beauty_beast_laurent","Laurent"
"heroes.name.beauty_beast_lucas","Lucas"
"heroes.name.beauty_beast_mirielle","Mirielle"
"heroes.name.beauty_beast_pendulus_clonk","Pendulus Clonk"
"heroes.name.beauty_beast_rose_de_flo","Rose de Flo"
"heroes.name.beauty_beast_seraphine","Séraphine"
"heroes.name.beauty_beast_the_beast","The Beast"
"heroes.name.beowulf_aeschere","Aeschere"
"heroes.name.beowulf_beowulf","Beowulf"
"heroes.name.beowulf_breca","Breca"
"heroes.name.beowulf_ecgtheow","Ecgtheow"
"heroes.name.beowulf_freawaru","Freawaru"
"heroes.name.beowulf_grendel","Grendel"
"heroes.name.beowulf_grendels_mother","Grendel's Moeder"
"heroes.name.beowulf_hrothgar","Hrothgar"
"heroes.name.beowulf_hygd","Hygd"
"heroes.name.beowulf_modthryth","Modthryth"
"heroes.name.beowulf_nithgaest","Nithgaest"
"heroes.name.beowulf_unferth","Unferth"
"heroes.name.beowulf_wealhtheow","Wealhtheow"
"heroes.name.beowulf_weland","Weland"
"heroes.name.beowulf_wiglaf","Wiglaf"
"heroes.name.blackguard_commander","Tiburtus"
"heroes.name.blackguard_female_archer","Nachtschade"
"heroes.name.blackguard_female_captain","Prisca"
