"lottery.title.7thbirthday","استدعاء عيد الميلاد"
"lottery.title.allianceeventsummon","استدعاء مهمة التحالف"
"lottery.title.ancientdragonsummon","استدعاء التنين القديم"
"lottery.title.ascensionitemsummon","استدعاء التصعيد"
"lottery.title.ascensionsummon","القوة الفورية"
"lottery.title.astralelvessummon","استدعاء الأقزام النجميين"
"lottery.title.blacksummon","استدعاء الجمعة البيضاء"
"lottery.title.challengeeventsummon","حدث الاستدعاء"
"lottery.title.costumesummon","استدعاء الأزياء"
"lottery.title.covenantsummon","استدعاء المعاهدة"
"lottery.title.dailysummon","استدعاء يومي"
"lottery.title.elementaldragonsummon","استدعاء التنين الجوهري"
"lottery.title.elementalherosummon","الاستدعاء الجوهري"
"lottery.title.epicdragonsummon","استدعاء التنين الأسطوري"
"lottery.title.epicherosummon","استدعاء البطل الملحمي"
"lottery.title.epictroopsummon","استدعاء القوات الملحمية"
"lottery.title.goblinsummon","استدعاء الجن"
"lottery.title.harvestsummon","استدعاء الحصاد"
"lottery.title.itemsummon","استدعاء التصعيد"
"lottery.title.leaguesummon","استدعاء دوري الأبطال"
"lottery.title.legendarytroopsummon","استدعاء القوة الأسطورية"
"lottery.title.legendssummon","استدعاء الأساطير"
"lottery.title.limitbreakitemsummon","استدعاء الأثير"
"lottery.title.lottery_updated","تم تحديث الاستدعاء"
"lottery.title.mercenarywarsummon","استدعاء الممالك الثلاث"
"lottery.title.mimicsummon","استدعاء البازار"
"lottery.title.monsterislandsummon","استدعاء جزيرة الوحوش"
"lottery.title.moths","استدعاء مهمة التحالف"
"lottery.title.permanentancientdragonsummon","استدعاء التنين القديم"
"lottery.title.pickupsummon","استدعاء الاختيار"
"lottery.title.season2","استدعاء أطلانطس"
"lottery.title.season3","استدعاء فالهالا"
"lottery.title.season4","استدعاء العالم السفلي"
"lottery.title.season5","استدعاء الكثبان الرملية"
"lottery.title.seasonal","استدعاء موسمي"
"lottery.title.seasonalpremiumsummon.halloween2025","الاستدعاء الدموي"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","استدعاء الحظ"
"lottery.title.shadowsummon","استدعاء الظل"
"lottery.title.silverdragonsummon","استدعاء فضي"
"lottery.title.solsticesummon","استدعاء الانقلاب الشمسي"
"lottery.title.spring","استدعاء الربيع"
"lottery.title.summon.view.untoldtales","الحكايات المخفية"
"lottery.title.superelementalsummon","الاستدعاء الجوهري الفائق"
"lottery.title.templesummon","استدعاء المعبد"
"lottery.title.titanhuntersummon","استدعاء صائد العمالقة"
"lottery.title.towereventsummon","استدعاء البرج"
"lottery.title.towertroopsummon","استدعاء قوات البرج"
"lottery.title.untoldtales","استدعاء الحكايات المخفية"
"lottery.title.untoldtales1","ألغاز الأعماق"
"lottery.title.untoldtales2","كنوز اللهب والصقيع"
"lottery.title.wildernesssummon","استدعاء البرية"
