"lottery.title.7thbirthday","生日召唤"
"lottery.title.allianceeventsummon","联盟任务召唤"
"lottery.title.ancientdragonsummon","远古巨龙召唤"
"lottery.title.ascensionitemsummon","进阶召唤"
"lottery.title.ascensionsummon","即时力量"
"lottery.title.astralelvessummon","星体召唤"
"lottery.title.blacksummon","黑色星期五召唤"
"lottery.title.challengeeventsummon","活动召唤"
"lottery.title.costumesummon","服装召唤"
"lottery.title.covenantsummon","盟约召唤"
"lottery.title.dailysummon","每日召唤"
"lottery.title.elementaldragonsummon","元素巨龙召唤"
"lottery.title.elementalherosummon","元素人召唤"
"lottery.title.epicdragonsummon","传奇巨龙召唤"
"lottery.title.epicherosummon","史诗英雄召唤"
"lottery.title.epictroopsummon","史诗队伍召唤"
"lottery.title.goblinsummon","哥布林召唤"
"lottery.title.harvestsummon","丰收召唤"
"lottery.title.itemsummon","进阶召唤"
"lottery.title.leaguesummon","英雄锦标赛召唤"
"lottery.title.legendarytroopsummon","传奇队伍召唤"
"lottery.title.legendssummon","神话召唤"
"lottery.title.limitbreakitemsummon","艾瑟尔召唤"
"lottery.title.lottery_updated","召唤已更新"
"lottery.title.mercenarywarsummon","三国召唤"
"lottery.title.mimicsummon","市集召唤"
"lottery.title.monsterislandsummon","怪兽岛召唤"
"lottery.title.moths","联盟任务召唤"
"lottery.title.permanentancientdragonsummon","远古巨龙召唤"
"lottery.title.pickupsummon","节选召唤"
"lottery.title.season2","亚特兰蒂斯召唤"
"lottery.title.season3","瓦尔哈拉召唤"
"lottery.title.season4","蛮荒地界召唤"
"lottery.title.season5","沙丘召唤"
"lottery.title.seasonal","季节召唤"
"lottery.title.seasonalpremiumsummon.halloween2025","血色召唤"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","幸运召唤"
"lottery.title.shadowsummon","暗影召唤"
"lottery.title.silverdragonsummon","白银召唤"
"lottery.title.solsticesummon","至日召唤"
"lottery.title.spring","春日召唤"
"lottery.title.summon.view.untoldtales","秘闻"
"lottery.title.superelementalsummon","超级元素人召唤"
"lottery.title.templesummon","神殿召唤"
"lottery.title.titanhuntersummon","泰坦猎手召唤"
"lottery.title.towereventsummon","高塔召唤"
"lottery.title.towertroopsummon","高塔队伍召唤"
"lottery.title.untoldtales","秘闻召唤"
"lottery.title.untoldtales1","深海奥秘"
"lottery.title.untoldtales2","烈焰与冰霜宝藏"
"lottery.title.wildernesssummon","荒野召唤"
