"lottery.title.7thbirthday","Fødselsdagshidkaldelse"
"lottery.title.allianceeventsummon","Allianceekspeditionshidkaldelse"
"lottery.title.ancientdragonsummon","Ældgammel dragehidkaldelse"
"lottery.title.ascensionitemsummon","Forfremmelseshidkaldelse"
"lottery.title.ascensionsummon","Øjeblikkelig kraft"
"lottery.title.astralelvessummon","Astralhidkaldelse"
"lottery.title.blacksummon","Black Friday-hidkaldelse"
"lottery.title.challengeeventsummon","Eventhidkaldelse"
"lottery.title.costumesummon","Kostumehidkaldelse"
"lottery.title.covenantsummon","Pagthidkaldelse"
"lottery.title.dailysummon","Daglig hidkaldelse"
"lottery.title.elementaldragonsummon","Elementær dragehidkaldelse"
"lottery.title.elementalherosummon","Elementær hidkaldelse"
"lottery.title.epicdragonsummon","Legendarisk dragehidkaldelse"
"lottery.title.epicherosummon","Episk heltehidkaldelse"
"lottery.title.epictroopsummon","Episk enhedshidkaldelse"
"lottery.title.featuredsummon","Elementær hidkaldelse"
"lottery.title.goblinsummon","Goblinhidkaldelse"
"lottery.title.harvestsummon","Høsthidkaldelse"
"lottery.title.itemsummon","Forfremmelseshidkaldelse"
"lottery.title.leaguesummon","Helteligahidkaldelse"
"lottery.title.legendarytroopsummon","Legendarisk enhedshidkaldelse"
"lottery.title.legendssummon","Legendehidkaldelse"
"lottery.title.limitbreakitemsummon","Æter-hidkaldelse"
"lottery.title.lottery_updated","Hidkaldelse opdateret"
"lottery.title.mercenarywarsummon","3 riger-hidkaldelse"
"lottery.title.mimicsummon","Efterligner-hidkaldelse"
"lottery.title.monsterislandsummon","Monsterøhidkaldelse"
"lottery.title.moths","Allianceekspeditionshidkaldelse"
"lottery.title.pickupsummon","Afhentningshidkaldelse"
"lottery.title.season2","Atlantis-hidkaldelse"
"lottery.title.season3","Valhalla-hidkaldelse"
"lottery.title.season4","Underrige-hidkaldelse"
"lottery.title.season5","Sandklit-hidkaldelse"
"lottery.title.seasonal","Sæsonbestemt hidkaldelse"
"lottery.title.seasonalpremiumsummon","Sangvinsk hidkaldelse"
"lottery.title.shadowsummon","Skyggehidkaldelse"
"lottery.title.silverdragonsummon","Sølvhidkaldelse"
"lottery.title.solsticesummon","Solhverv-hidkaldelse"
"lottery.title.spring","Forårshidkaldelse"
"lottery.title.summon.view.untoldtales","Ufortalte historier"
"lottery.title.superelementalsummon","Superelementærhidkaldelse"
"lottery.title.templesummon","Tempelhidkaldelse"
"lottery.title.towereventsummon","Tårnhidkaldelse"
"lottery.title.towertroopsummon","Tårn-enhedshidkaldelse"
"lottery.title.untoldtales","Ufortalte historier-hidkaldelse"
"lottery.title.untoldtales1","Mysterier fra dybet"
"lottery.title.untoldtales2","Flammens og frostens skatte"
"lottery.title.wildernesssummon","Vildnis-hidkaldelse"
