"lottery.title.7thbirthday","Geburtstagsbeschwörung"
"lottery.title.allianceeventsummon","Allianz-Quest-Beschwörung"
"lottery.title.ancientdragonsummon","Antike Drachenbeschwörung"
"lottery.title.ascensionitemsummon","Aufstieg-Beschwörung"
"lottery.title.ascensionsummon","Sofortige Kraft"
"lottery.title.astralelvessummon","Astral-Beschwörung"
"lottery.title.blacksummon","Black-Friday-Beschwörung"
"lottery.title.challengeeventsummon","Event-Beschwörung"
"lottery.title.costumesummon","Kostümbeschwörung"
"lottery.title.covenantsummon","Pakt-Beschwörung"
"lottery.title.dailysummon","Tägliche Beschwörung"
"lottery.title.elementaldragonsummon","Elementare Drachenbeschwörung"
"lottery.title.elementalherosummon","Elementare Beschwörung"
"lottery.title.epicdragonsummon","Legendäre Drachenbeschwörung"
"lottery.title.epicherosummon","Epische Heldenbeschwörung"
"lottery.title.epictroopsummon","Epische Truppenbeschwörung"
"lottery.title.goblinsummon","Goblin-Beschwörung"
"lottery.title.harvestsummon","Erntebeschwörung"
"lottery.title.itemsummon","Aufstieg-Beschwörung"
"lottery.title.leaguesummon","Heldenliga-Beschwörung"
"lottery.title.legendarytroopsummon","Legendärer-Trupp-Beschwörung"
"lottery.title.legendssummon","Legenden-Beschwörung"
"lottery.title.limitbreakitemsummon","Ether-Beschwörung"
"lottery.title.lottery_updated","Herbeirufung aktualisiert"
"lottery.title.mercenarywarsummon","Drei-Königreiche-Beschwörung"
"lottery.title.mimicsummon","Basarbeschwörung"
"lottery.title.monsterislandsummon","Monsterinsel-Beschwörung"
"lottery.title.moths","Allianz-Quest-Beschwörung"
"lottery.title.pickupsummon","Auswahl-Beschwörung"
"lottery.title.season2","Atlantis-Beschwörung"
"lottery.title.season3","Walhalla-Beschwörung"
"lottery.title.season4","Unterwildnis-Beschwörung"
"lottery.title.season5","Dünen-Beschwörung"
"lottery.title.seasonal","Saisonale Beschwörung"
"lottery.title.seasonalpremiumsummon","Blutbeschwörung"
"lottery.title.shadowsummon","Schattenbeschwörung"
"lottery.title.silverdragonsummon","Silberbeschwörung"
"lottery.title.solsticesummon","Sonnenwende-Beschwörung"
"lottery.title.spring","Frühlingsbeschwörung"
"lottery.title.summon.view.untoldtales","Unerzählte Geschichten"
"lottery.title.superelementalsummon","Superelementar-Beschwörung"
"lottery.title.templesummon","Tempelbeschwörung"
"lottery.title.titanhuntersummon","Titanenjäger-Beschwörung"
"lottery.title.towereventsummon","Turm-Beschwörung"
"lottery.title.towertroopsummon","Turmtruppen-Beschwörung"
"lottery.title.untoldtales","„Unerzählte Geschichten“-Beschwörung"
"lottery.title.untoldtales1","Geheimnisse der Tiefe"
"lottery.title.untoldtales2","Schätze von Flamme und Frost"
"lottery.title.wildernesssummon","Wildnis-Beschwörung"
