"lottery.title.7thbirthday","Birthday Summon"
"lottery.title.allianceeventsummon","Alliance Quest Summon"
"lottery.title.ancientdragonsummon","Ancient Dragon Summon"
"lottery.title.ascensionitemsummon","Ascension Summon"
"lottery.title.ascensionsummon","Instant Power"
"lottery.title.astralelvessummon","Astral Summon"
"lottery.title.blacksummon","Black Friday Summon"
"lottery.title.challengeeventsummon","Event Summon"
"lottery.title.costumesummon","Costume Summon"
"lottery.title.covenantsummon","Covenant Summon"
"lottery.title.dailysummon","Daily Summon"
"lottery.title.elementaldragonsummon","Elemental Dragon Summon"
"lottery.title.elementalherosummon","Elemental Summon"
"lottery.title.epicdragonsummon","Legendary Dragon Summon"
"lottery.title.epicherosummon","Epic Hero Summon"
"lottery.title.epictroopsummon","Epic Troop Summon"
"lottery.title.goblinsummon","Goblin Summon"
"lottery.title.harvestsummon","Harvest Summon"
"lottery.title.itemsummon","Ascension Summon"
"lottery.title.leaguesummon","Hero League Summon"
"lottery.title.legendarytroopsummon","Legendary Troop Summon"
"lottery.title.legendssummon","Legends Summon"
"lottery.title.limitbreakitemsummon","Aether Summon"
"lottery.title.lottery_updated","Summon Updated"
"lottery.title.mercenarywarsummon","3 Kingdoms Summon"
"lottery.title.mimicsummon","Bazaar Summon"
"lottery.title.monsterislandsummon","Monster Island Summon"
"lottery.title.moths","Alliance Quest Summon"
"lottery.title.permanentancientdragonsummon","Ancient Dragon Summon"
"lottery.title.pickupsummon","Pick Up Summon"
"lottery.title.season2","Atlantis Summon"
"lottery.title.season3","Valhalla Summon"
"lottery.title.season4","Underwild Summon"
"lottery.title.season5","Dunes Summon"
"lottery.title.seasonal","Seasonal Summon"
"lottery.title.seasonalpremiumsummon.halloween2025","Sanguine Summon"
"lottery.title.seasonalpremiumsummon.lunarnewyear2026","Fortune Summon"
"lottery.title.shadowsummon","Shadow Summon"
"lottery.title.silverdragonsummon","Silver Summon"
"lottery.title.solsticesummon","Solstice Summon"
"lottery.title.spring","Spring Summon"
"lottery.title.summon.view.untoldtales","Untold Tales"
"lottery.title.superelementalsummon","Super Elemental Summon"
"lottery.title.templesummon","Temple Summon"
"lottery.title.titanhuntersummon","Titan Hunter Summon"
"lottery.title.towereventsummon","Tower Summon"
"lottery.title.towertroopsummon","Tower Troop Summon"
"lottery.title.untoldtales","Untold Tales Summon"
"lottery.title.untoldtales1","Mysteries of the Deep"
"lottery.title.untoldtales2","Treasures of Flame and Frost"
"lottery.title.wildernesssummon","Wilderness Summon"
