"lottery.title.7thbirthday","Invocación de aniversario"
"lottery.title.allianceeventsummon","Invocación de aventura de alianza"
"lottery.title.ancientdragonsummon","Invocación dragontina ancestral"
"lottery.title.ascensionitemsummon","Invocación de ascensión"
"lottery.title.ascensionsummon","Poder inmediato"
"lottery.title.astralelvessummon","Invocación astral"
"lottery.title.blacksummon","Invocación del Black Friday"
"lottery.title.challengeeventsummon","Invocación de evento"
"lottery.title.costumesummon","Invocación de atuendo"
"lottery.title.covenantsummon","Invocación de coalición"
"lottery.title.dailysummon","Invocación diaria"
"lottery.title.elementaldragonsummon","Invocación de dragón elemental"
"lottery.title.elementalherosummon","Invocación elemental"
"lottery.title.epicdragonsummon","Invocación de dragón legendario"
"lottery.title.epicherosummon","Portal de héroes épico"
"lottery.title.epictroopsummon","Portal de tropas épico"
"lottery.title.goblinsummon","Invocación de duendes"
"lottery.title.harvestsummon","Invocación de cosecha"
"lottery.title.itemsummon","Invocación de ascensión"
"lottery.title.leaguesummon","Invocación de la Liga de los Héroes"
"lottery.title.legendarytroopsummon","Invocación de tropas legendarias"
"lottery.title.legendssummon","Invocación de leyendas"
"lottery.title.limitbreakitemsummon","Invocación de éter"
"lottery.title.lottery_updated","Invocación actualizada"
"lottery.title.mercenarywarsummon","Invocación de los Tres Reinos"
"lottery.title.mimicsummon","Invocación del bazar"
"lottery.title.monsterislandsummon","Invocación de la isla monstruosa"
"lottery.title.moths","Invocación de aventura de alianza"
"lottery.title.pickupsummon","Invocación de repunte"
"lottery.title.season2","Invocación de Atlantis"
"lottery.title.season3","Invocación de Valhalla"
"lottery.title.season4","Invocación de las profundidades"
"lottery.title.season5","Invocación de las dunas"
"lottery.title.seasonal","Invocación de temporada"
"lottery.title.seasonalpremiumsummon","Invocación sanguinaria"
"lottery.title.shadowsummon","Invocación de las sombras"
"lottery.title.silverdragonsummon","Invocación de plata"
"lottery.title.solsticesummon","Invocación del solsticio"
"lottery.title.spring","Invocación de primavera"
"lottery.title.summon.view.untoldtales","Historias no contadas"
"lottery.title.superelementalsummon","Invocación superelemental"
"lottery.title.templesummon","Invocación de templo"
"lottery.title.titanhuntersummon","Invocación cazatitanes"
"lottery.title.towereventsummon","Invocación de torre"
"lottery.title.towertroopsummon","Invocación de tropas de torre"
"lottery.title.untoldtales","Invocación de Historias no contadas"
"lottery.title.untoldtales1","Misterios de las profundidades"
"lottery.title.untoldtales2","Tesoros de hielo y fuego"
"lottery.title.wildernesssummon","Invocación de la tierra salvaje"
