"lottery.title.7thbirthday","Syntymäpäiväkutsu"
"lottery.title.allianceeventsummon","Liittoumaseikkailukutsu"
"lottery.title.ancientdragonsummon","Muinainen lohikäärmekutsu"
"lottery.title.ascensionitemsummon","Ylennyskutsu"
"lottery.title.ascensionsummon","Pikavoima"
"lottery.title.astralelvessummon","Astraalikutsu"
"lottery.title.blacksummon","Black Fridayn kutsu"
"lottery.title.challengeeventsummon","Tapahtumakutsu"
"lottery.title.costumesummon","Asukutsu"
"lottery.title.covenantsummon","Kovenanttikutsu"
"lottery.title.dailysummon","Päivittäinen kutsu"
"lottery.title.elementaldragonsummon","Elementaalinen lohikäärmekutsu"
"lottery.title.elementalherosummon","Elementaalikutsu"
"lottery.title.epicdragonsummon","Legendaarinen lohikäärmekutsu"
"lottery.title.epicherosummon","Eeppisen sankarin kutsu"
"lottery.title.epictroopsummon","Eeppisen joukon kutsu"
"lottery.title.goblinsummon","Hiisikutsu"
"lottery.title.harvestsummon","Satokutsu"
"lottery.title.itemsummon","Ylennyskutsu"
"lottery.title.leaguesummon","Sankariliigakutsu"
"lottery.title.legendarytroopsummon","Legendaarisen joukon kutsu"
"lottery.title.legendssummon","Legendat-kutsu"
"lottery.title.limitbreakitemsummon","Eetterikutsu"
"lottery.title.lottery_updated","Kutsu päivitetty"
"lottery.title.mercenarywarsummon","3 kuningaskunnan kutsu"
"lottery.title.mimicsummon","Basaarikutsu"
"lottery.title.monsterislandsummon","Hirviösaaren kutsu"
"lottery.title.moths","Liittoumaseikkailukutsu"
"lottery.title.pickupsummon","Keräilykutsu"
"lottery.title.season2","Atlantis-kutsu"
"lottery.title.season3","Valhalla-kutsu"
"lottery.title.season4","Syvänkölä-kutsu"
"lottery.title.season5","Dyynikutsu"
"lottery.title.seasonal","Kausikutsu"
"lottery.title.seasonalpremiumsummon","Verikutsu"
"lottery.title.shadowsummon","Varjokutsu"
"lottery.title.silverdragonsummon","Hopeakutsu"
"lottery.title.solsticesummon","Päivänseisauksen kutsu"
"lottery.title.spring","Kevätkutsu"
"lottery.title.summon.view.untoldtales","Kertomattomat tarinat"
"lottery.title.superelementalsummon","Superelementaalikutsu"
"lottery.title.templesummon","Temppelikutsu"
"lottery.title.titanhuntersummon","Titaaninmetsästäjäkutsu"
"lottery.title.towereventsummon","Tornikutsu"
"lottery.title.towertroopsummon","Tornijoukkokutsu"
"lottery.title.untoldtales","Kertomattomat tarinat -kutsu"
"lottery.title.untoldtales1","Syvyyksien mysteerit"
"lottery.title.untoldtales2","Liekin ja hallan aarteet"
"lottery.title.wildernesssummon","Erämaan kutsu"
